RAVEN_sample_ID,hour,_ROM_Cluster,Year,scaling,Dispatch__SteamGen__production__reactor_heat,Dispatch__Converter1__production__reactor_heat,Dispatch__Converter1__production__heat,Dispatch__NewBOP__production__electricity,Dispatch__NewBOP__production__heat,Dispatch__Charger__production__tes_heat,Dispatch__Charger__production__reactor_heat,Dispatch__TES__level__tes_heat,Dispatch__TES__charge__tes_heat,Dispatch__TES__discharge__tes_heat,Dispatch__Convert2__production__tes_heat,Dispatch__Convert2__production__heat,Dispatch__Grid__production__electricity,price,ProbabilityWeight,prefix,PointProbability
0,0.0,0,2018,1.0,203.0,-2.53762836706e-09,2.53762836706e-09,3.33215721744e-09,-7.73122324233e-09,202.999999997,-202.999999997,900.468262648,-202.999999984,-8.20582491013e-09,-5.19359487527e-09,5.19359487527e-09,-3.33215721744e-09,28.2670474408,1.0,1,1.0
0,0.0,1,2018,1.0,203.0,4.28713783874e-09,-4.28713783874e-09,-2.84379466188e-09,6.59813146607e-09,203.000000004,-203.000000004,900.468262661,-203.0,-6.76165347758e-09,2.31099362733e-09,-2.31099362733e-09,2.84379466188e-09,13.4369632116,1.0,1,1.0
0,0.0,2,2018,1.0,203.0,-201.448515943,201.448515943,173.981668774,-403.669765136,1.5514840572,-1.5514840572,462.329328342,-322.853240718,523.523005854,-202.221249193,202.221249193,-173.981668774,15.3941969504,1.0,1,1.0
0,0.0,3,2018,1.0,203.0,4.94854947528e-09,-4.94854947528e-09,-4.25960618427e-09,9.88307699367e-09,203.000000005,-203.000000005,900.468262665,-203.000000001,-9.24405998704e-09,4.93452751839e-09,-4.93452751839e-09,4.25960618427e-09,22.8266145594,1.0,1,1.0
0,0.0,4,2018,1.0,203.0,-85.5871452876,85.5871452876,67.7852481752,-157.274357715,117.412854712,-117.412854712,751.264706279,-45.7256422773,-7.66525727239e-09,-71.6872124274,71.6872124274,-67.7852481752,22.4125133387,1.0,1,1.0
0,0.0,5,2018,1.0,203.0,4.62059995164e-09,-4.62059995164e-09,-3.53955928021e-09,8.21243452484e-09,203.000000005,-203.000000005,900.468262663,-203.0,-8.25941583704e-09,3.5918345732e-09,-3.5918345732e-09,3.53955928021e-09,25.571840511,1.0,1,1.0
0,0.0,6,2018,1.0,203.0,-201.448515942,201.448515942,173.981668773,-403.669765135,1.55148405791,-1.55148405791,496.361048032,7.54867159067e-09,200.669765127,-202.221249193,202.221249193,-173.981668773,26.8349252696,1.0,1,1.0
0,0.0,7,2018,1.0,203.0,-201.448515943,201.448515943,173.981668774,-403.669765136,1.55148405695,-1.55148405695,496.36104803,7.53885979138e-09,200.669765129,-202.221249193,202.221249193,-173.981668774,40.0316601675,1.0,1,1.0
0,0.0,8,2018,1.0,203.0,-153.630229132,153.630229132,140.754755474,-326.577158871,49.3697708683,-49.3697708683,577.623790215,6.14461389003e-09,123.577158865,-172.94692974,172.94692974,-140.754755474,25.350045483,1.0,1,1.0
0,0.0,9,2018,1.0,203.0,-201.448515942,201.448515942,173.981668773,-403.669765135,1.55148405758,-1.55148405758,496.361048031,6.48305831725e-09,200.669765129,-202.221249193,202.221249193,-173.981668773,28.6815805999,1.0,1,1.0
0,0.0,10,2018,1.0,203.0,-201.448515941,201.448515941,173.981668772,-403.669765132,1.55148405947,-1.55148405947,496.361048033,-3.93060301877e-11,200.669765133,-202.221249192,202.221249192,-173.981668772,32.7698357338,1.0,1,1.0
0,0.0,11,2018,1.0,203.0,-36.5562826156,36.5562826156,24.7011562545,-57.3112674118,166.443717384,-166.443717384,846.098020471,-145.688732581,-7.37933704873e-09,-20.7549847961,20.7549847961,-24.7011562545,40.0215233927,1.0,1,1.0
