SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight,prefix,ProbabilityWeight-TES_capacity,ProbabilityWeight-Charger_capacity,PointProbability
203.0,-203.0,-400.0,-203.0,300.0,-203.0,-1e+200,269465641.412,1659493.64118,269475310.911,271884089.486,266639602.67,267033364.033,271755653.053,17.0,2.75391914512e+12,0.047619047619,0.000324675324675,1,0.15,0.0454545454545,1.443001443e-07
203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,284619859.952,2068485.56844,284689845.896,288291825.64,280930340.25,281494824.975,287244415.819,20.0,4.27863254686e+12,0.047619047619,0.000541125541126,2,0.25,0.0454545454545,1.443001443e-07
203.0,-203.0,-400.0,-203.0,800.0,-203.0,-1e+200,290936254.828,2502539.55722,290433185.199,295372148.64,286323591.145,287565069.523,294379650.777,18.0,6.26270423544e+12,0.047619047619,0.000324675324675,3,0.15,0.0454545454545,1.443001443e-07
203.0,-203.0,-400.0,-203.0,900.0,-203.0,-1e+200,292750329.604,1994582.77633,292991317.021,296415112.992,289010080.349,289353237.432,295819024.716,20.0,3.97836045163e+12,0.047619047619,0.00021645021645,4,0.1,0.0454545454545,1.443001443e-07
203.0,-203.0,-400.0,-203.0,1000.0,-203.0,-1e+200,294404124.178,2864984.17376,294247869.341,298520672.064,288402541.035,290497370.449,298112067.023,19.0,8.20813431588e+12,0.047619047619,0.00021645021645,5,0.1,0.0454545454545,1.443001443e-07
203.0,-203.0,-400.0,-203.0,1100.0,-203.0,-1e+200,296956398.633,2089314.97944,296466202.818,299968765.012,293349009.44,293875897.909,299918361.432,17.0,4.36523708333e+12,0.047619047619,0.00021645021645,6,0.1,0.0454545454545,1.443001443e-07
203.0,-203.0,-400.0,-203.0,1200.0,-203.0,-1e+200,298864653.742,2406072.36853,298573177.204,304202911.695,294876728.036,295863404.482,302412136.065,18.0,5.7891842426e+12,0.047619047619,0.000127705627706,7,0.059,0.0454545454545,1.443001443e-07
203.0,-203.0,-400.0,-203.0,1218.0,-203.0,-1e+200,300049847.803,2477780.57607,300060054.718,303926215.504,293885489.964,295295485.02,303412676.108,19.0,6.13939658314e+12,0.047619047619,0.000108225108225,8,0.05,0.0454545454545,1.443001443e-07
203.0,-203.0,-380.0,-203.0,300.0,-203.0,-1e+200,268393518.11,1852359.82773,268548669.633,272292366.342,265004472.556,265577697.564,271350611.619,18.0,3.43123693137e+12,0.0952380952381,0.000649350649351,10,0.15,0.0454545454545,1.443001443e-07
203.0,-203.0,-400.0,-203.0,1300.0,-203.0,-1e+200,301522609.853,2727113.67032,301593729.065,306025589.182,296165534.17,297761180.671,305472625.076,20.0,7.43714897086e+12,0.047619047619,8.87445887446e-05,9,0.041,0.0454545454545,1.443001443e-07
