"Eastern Date Hour","Gen Name","Gen PTID","DAM Gen LBMP","DAM Gen Losses","DAM Gen Congestion","DAM Gen Price Version"
"2020/01/01 00:00:00","NINE_MILE_1","23575","7.13","-0.15","-0.69","1"
"2020/01/01 01:00:00","NINE_MILE_1","23575","6.43","-0.14","-0.62","1"
"2020/01/01 02:00:00","NINE_MILE_1","23575","6.34","-0.14","-0.54","1"
"2020/01/01 03:00:00","NINE_MILE_1","23575","6.1","-0.14","-0.51","1"
"2020/01/01 04:00:00","NINE_MILE_1","23575","5.67","-0.12","-0.56","1"
"2020/01/01 05:00:00","NINE_MILE_1","23575","6.2","-0.13","-0.59","1"
"2020/01/01 06:00:00","NINE_MILE_1","23575","4.6","-0.09","-0.81","1"
"2020/01/01 07:00:00","NINE_MILE_1","23575","8.56","-0.2","-0.5","1"
"2020/01/01 08:00:00","NINE_MILE_1","23575","12.33","-0.35","-0.28","1"
"2020/01/01 09:00:00","NINE_MILE_1","23575","13.4","-0.38","-0.27","1"
"2020/01/01 10:00:00","NINE_MILE_1","23575","12.2","-0.33","-0.31","1"
"2020/01/01 11:00:00","NINE_MILE_1","23575","12.21","-0.33","-0.3","1"
"2020/01/01 12:00:00","NINE_MILE_1","23575","12.21","-0.33","-0.29","1"
"2020/01/01 13:00:00","NINE_MILE_1","23575","11.36","-0.29","-0.36","1"
"2020/01/01 14:00:00","NINE_MILE_1","23575","10.92","-0.28","-0.42","1"
"2020/01/01 15:00:00","NINE_MILE_1","23575","12.01","-0.31","-0.39","1"
"2020/01/01 16:00:00","NINE_MILE_1","23575","14.65","-0.38","-0.4","1"
"2020/01/01 17:00:00","NINE_MILE_1","23575","15.68","-0.35","-0.69","1"
"2020/01/01 18:00:00","NINE_MILE_1","23575","15.53","-0.37","-0.57","1"
"2020/01/01 19:00:00","NINE_MILE_1","23575","15.38","-0.37","-0.44","1"
"2020/01/01 20:00:00","NINE_MILE_1","23575","14.68","-0.37","-0.37","1"
"2020/01/01 21:00:00","NINE_MILE_1","23575","14.57","-0.38","-0.31","1"
"2020/01/01 22:00:00","NINE_MILE_1","23575","11.32","-0.28","-0.46","1"
"2020/01/01 23:00:00","NINE_MILE_1","23575","7.79","-0.18","-0.66","1"
"2020/01/02 00:00:00","NINE_MILE_1","23575","5.8","-0.11","-0.79","1"
"2020/01/02 01:00:00","NINE_MILE_1","23575","5.67","-0.12","-0.68","1"
"2020/01/02 02:00:00","NINE_MILE_1","23575","5.63","-0.12","-0.64","1"
"2020/01/02 03:00:00","NINE_MILE_1","23575","5.56","-0.13","-0.59","1"
"2020/01/02 04:00:00","NINE_MILE_1","23575","5.63","-0.12","-0.64","1"
"2020/01/02 05:00:00","NINE_MILE_1","23575","6.1","-0.12","-0.71","1"
