turbine_capacity,htse_ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,scenario_label,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-turbine_capacity
500.0,-400.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,3163738513.18,9.78449203572e-07,3163738513.18,3163738513.18,3163738513.18,3163738513.18,3163738513.18,20.0,9.57362843972e-13,0.5,1,0.002,0.5
1000.0,-400.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,4206211592.37,0.0,4206211592.37,4206211592.37,4206211592.37,4206211592.37,4206211592.37,20.0,0.0,0.5,2,0.002,0.5
