iteration,accepted,SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV
0.0,first,203.0,-203.0,-402.0,-203.0,1218.0,-203.0,-1e+200,310655185.38,2509013.78855,310713006.27
1.0,accepted,203.0,-203.0,-411.185378785,-200.79283344,1214.61119807,-203.0,-1e+200,310677590.486,2069325.93557,310545570.208
2.0,rejected,203.0,-203.0,-426.573735573,-198.375538887,1215.88628975,-203.0,-1e+200,310585183.26,1921745.16807,310645912.006
3.0,rerun,203.0,-203.0,-411.185378785,-200.79283344,1214.61119807,-203.0,-1e+200,311185562.054,2995090.98067,311211333.689
4.0,rejected,203.0,-203.0,-425.204212534,-201.9508271,1216.64194833,-203.0,-1e+200,310365306.639,2029752.33086,310052058.22
5.0,rerun,203.0,-203.0,-411.185378785,-200.79283344,1214.61119807,-203.0,-1e+200,310918305.231,1929920.45,310880978.017
6.0,accepted,203.0,-203.0,-410.679742847,-201.661060904,1216.57474283,-203.0,-1e+200,310948370.442,1557086.94367,310853520.824
7.0,accepted,203.0,-203.0,-425.097566592,-200.375743633,1218.0,-203.0,-1e+200,311097557.584,2010083.07008,310930093.74
8.0,rejected,203.0,-203.0,-440.62055851,-201.764132072,1217.41781189,-203.0,-1e+200,309980120.659,1653023.28894,309920321.422
9.0,rerun,203.0,-203.0,-425.097566592,-200.375743633,1218.0,-203.0,-1e+200,310602968.608,1994314.43366,310158381.705
10.0,accepted,203.0,-203.0,-418.476539916,-199.924870388,1215.65305023,-203.0,-1e+200,310971654.216,2281974.00495,311246413.203
11.0,accepted,203.0,-203.0,-407.892249118,-199.909899249,1217.06164662,-203.0,-1e+200,311808426.638,1901895.96669,311949125.246
12.0,rejected,203.0,-203.0,-416.216273495,-199.424190484,1215.82330955,-203.0,-1e+200,310708336.913,1924556.65872,310284880.0
13.0,rerun,203.0,-203.0,-407.892249118,-199.909899249,1217.06164662,-203.0,-1e+200,310891960.098,2571369.06482,309832092.327
14.0,accepted,203.0,-203.0,-401.667452099,-200.267570249,1216.50753399,-203.0,-1e+200,311462947.38,2542928.17903,311794757.114
15.0,rejected,203.0,-203.0,-405.35169257,-200.691545676,1216.72728422,-203.0,-1e+200,311461447.634,2173976.25155,310930672.571
16.0,rerun,203.0,-203.0,-401.667452099,-200.267570249,1216.50753399,-203.0,-1e+200,310167596.646,1691324.15138,309816603.908
17.0,accepted,203.0,-203.0,-404.638894786,-200.163432865,1215.97800966,-203.0,-1e+200,311582837.999,1678068.52111,311723239.509
18.0,accepted,203.0,-203.0,-404.539860545,-200.514613225,1215.87527361,-203.0,-1e+200,311784882.767,2122192.66286,312233724.687
19.0,rejected,203.0,-203.0,-403.740310283,-200.735405783,1215.36291566,-203.0,-1e+200,311579711.087,2500227.64689,311515536.227
20.0,rerun,203.0,-203.0,-404.539860545,-200.514613225,1215.87527361,-203.0,-1e+200,311102263.719,2010148.79917,310911643.102
