co2_shipping,diesel_sales,e_sales,elec_cap_market,ft_capex,ft_fom,ft_vom,h2_ptc,h2_storage_capex,htse_capex,htse_elec_cap_market,htse_fom,htse_vom,jet_fuel_sales,naphtha_sales,plant,taxes
-159556675.39999998,67596719.527,2460801431.0436006,-5860214.342,-64590994.81,-305989671.6000001,-107571298.56000003,5320219257.6,-6349175.089,-768220875.0,-462130996.7999998,-501614080.0,-244125893.386,149628733.064,58264473.724999994,braidwood,-3047126949.452601
-181941219.30000004,82505791.371,1317080774.72179,-6062491.627999999,-64117789.57,-316551531.0000001,-111284341.96000002,3612255836.1000004,-15827641.73,-492968970.0,-306786488.9999999,-332997404.4000001,-173726796.87900004,158885299.974,54169944.733,cooper,-1778043762.7627897
-194078973.56000003,79052465.37400001,268199947.49893898,-5931802.188000002,-64117789.57,-309727613.6000001,-108885379.76000002,2381820594.1000004,-2689000.0,-331479135.0,-201840517.40000004,-219085164.4,-123187766.95399997,144176099.783,77493385.82700002,prairie_island,-678923816.354939
-318375700.1999999,97058773.24800001,4822640884.07,-6576092.799999999,-64174373.97,-343369091.7999999,-120712110.60000001,6430992992.4,-21915669.97,-819186000.8,-552988308.2000003,-600233967.0000002,-293719670.61599994,178756070.00299996,55536235.828999996,stp,-5022824687.403999
-216764494.59999996,86936338.53199999,2025170722.5516398,-6576092.799999999,-64117789.57,-343369091.7999999,-120712110.60000001,4468067921.400001,-12037500.0,-574694595.0,-387945340.1999999,-421090223.9999999,-210869648.31300002,168833368.83100003,91728575.088,davis_besse,-2478279793.069641
