RAVEN_sample_ID,hour,_ROM_Cluster,Year,scaling,Dispatch__SteamGen__production__reactor_heat,Dispatch__Converter1__production__heat,Dispatch__Converter1__production__reactor_heat,Dispatch__NewBOP__production__heat,Dispatch__NewBOP__production__electricity,Dispatch__Charger__production__reactor_heat,Dispatch__Charger__production__tes_heat,Dispatch__TES__level__tes_heat,Dispatch__TES__charge__tes_heat,Dispatch__TES__discharge__tes_heat,Dispatch__Convert2__production__heat,Dispatch__Convert2__production__tes_heat,Dispatch__Grid__production__electricity,price,ProbabilityWeight,prefix,PointProbability
0,0.0,0,2018,1.0,203.0,101.475927509,-101.475927509,-202.999989022,87.4929952686,-101.524072491,101.524072491,1041.62335042,-1.09714206684e-05,-6.40041645381e-09,101.524061513,-101.524061513,-87.4929952686,58.9880904489,1.0,1,1.0
0,0.0,1,2018,1.0,203.0,101.475927509,-101.475927509,-202.999989022,87.4929952686,-101.524072491,101.524072491,1041.62335041,-1.10103237581e-05,3.2600606986e-08,101.524061513,-101.524061513,-87.4929952686,5.0406861326,1.0,1,1.0
0,0.0,2,2018,1.0,203.0,203.00000001,-203.00000001,-406.000002039,174.986000879,9.63574265728e-09,-9.63574265728e-09,827.642549513,7.61489848511e-09,203.000002032,203.00000203,-203.00000203,-174.986000879,126.497073065,1.0,1,1.0
0,0.0,3,2018,1.0,203.0,101.47592751,-101.47592751,-202.999989026,87.4929952704,-101.52407249,101.52407249,1041.62335041,-1.09704448536e-05,-3.11771760988e-09,101.524061516,-101.524061516,-87.4929952704,27.3998944757,1.0,1,1.0
0,0.0,4,2018,1.0,203.0,176.687171517,-176.687171517,-365.399988108,157.487394875,-26.3128284827,26.3128284827,870.438721865,7.71050931845e-09,162.399988101,188.712816591,-188.712816591,-157.487394875,25.3949991516,1.0,1,1.0
0,0.0,5,2018,1.0,203.0,101.475927509,-101.475927509,-202.999989022,87.4929952686,-101.524072491,101.524072491,1041.62335042,-1.09705806151e-05,-7.10767723861e-09,101.524061514,-101.524061514,-87.4929952686,18.0971390613,1.0,1,1.0
0,0.0,6,2018,1.0,203.0,101.47592751,-101.47592751,-202.999989026,87.49299527,-101.52407249,101.52407249,1041.62335041,-1.09670953349e-05,-7.37251248733e-09,101.524061516,-101.524061516,-87.49299527,19.9206919461,1.0,1,1.0
0,0.0,7,2018,1.0,203.0,101.475927509,-101.475927509,-202.999989022,87.4929952683,-101.524072491,101.524072491,1041.62335042,-1.09729016592e-05,-5.51784110257e-09,101.524061513,-101.524061513,-87.4929952683,21.7131083916,1.0,1,1.0
0,0.0,8,2018,1.0,203.0,101.475927509,-101.475927509,-202.999989022,87.4929952684,-101.524072491,101.524072491,1041.62335042,-1.09719510978e-05,-6.27926179771e-09,101.524061513,-101.524061513,-87.4929952684,17.8128963329,1.0,1,1.0
0,0.0,9,2018,1.0,203.0,101.475927512,-101.475927512,-202.999989033,87.4929952733,-101.524072488,101.524072488,1041.6233504,-1.09634644996e-05,-3.37767504716e-09,101.524061521,-101.524061521,-87.4929952733,18.879569032,1.0,1,1.0
0,0.0,10,2018,1.0,203.0,101.475927511,-101.475927511,-202.999989028,87.492995271,-101.524072489,101.524072489,1041.62335041,-1.0965308003e-05,-6.736378626e-09,101.524061517,-101.524061517,-87.492995271,18.1334429416,1.0,1,1.0
0,0.0,11,2018,1.0,203.0,101.47592751,-101.47592751,-202.999989025,87.4929952699,-101.52407249,101.52407249,1041.62335041,-1.09676807389e-05,-7.08758465786e-09,101.524061515,-101.524061515,-87.4929952699,17.9728953856,1.0,1,1.0
0,0.0,12,2018,1.0,203.0,203.00000001,-203.00000001,-406.00000204,174.986000879,9.93448421519e-09,-9.93448421519e-09,827.642549512,4.83308993814e-09,203.000002035,203.00000203,-203.00000203,-174.986000879,241.197397302,1.0,1,1.0
0,0.0,13,2018,1.0,203.0,101.475927509,-101.475927509,-202.999989022,87.4929952683,-101.524072491,101.524072491,1041.62335041,-1.09806539097e-05,2.16611214622e-09,101.524061513,-101.524061513,-87.4929952683,9.49032224544,1.0,1,1.0
0,0.0,14,2018,1.0,203.0,203.00000001,-203.00000001,-406.000002039,174.986000879,9.66352196248e-09,-9.66352196248e-09,827.642549513,5.41741087465e-09,203.000002034,203.00000203,-203.00000203,-174.986000879,54.752538509,1.0,1,1.0
0,0.0,15,2018,1.0,203.0,101.475931169,-101.475931169,-202.999999999,87.4929999995,-101.524068831,101.524068831,1041.62334,3.85242456041e-09,-4.94992955853e-09,101.52406883,-101.52406883,-87.4929999995,19.8144151019,1.0,1,1.0
0,0.0,16,2018,1.0,203.0,101.475927509,-101.475927509,-202.999989022,87.4929952685,-101.524072491,101.524072491,1041.62335042,-1.09705259573e-05,-7.32382700012e-09,101.524061513,-101.524061513,-87.4929952685,19.5583853488,1.0,1,1.0
0,0.0,17,2018,1.0,203.0,203.000000008,-203.000000008,-406.000002036,174.986000877,7.95763285999e-09,-7.95763285999e-09,827.642549517,7.12873415196e-09,203.000002029,203.000002028,-203.000002028,-174.986000877,23.0991220017,1.0,1,1.0
0,0.0,18,2018,1.0,203.0,203.000000008,-203.000000008,-406.000002036,174.986000877,7.82250828638e-09,-7.82250828638e-09,827.642549517,7.64267831812e-09,203.000002028,203.000002028,-203.000002028,-174.986000877,27.3372620033,1.0,1,1.0
0,0.0,19,2018,1.0,203.0,101.475927509,-101.475927509,-202.999989023,87.4929952689,-101.524072491,101.524072491,1041.62335041,-1.09694677656e-05,-7.46567267508e-09,101.524061514,-101.524061514,-87.4929952689,20.6527675024,1.0,1,1.0
0,1.0,0,2018,1.0,203.0,202.999999986,-202.999999986,-406.000001993,174.986000859,-1.37777058253e-08,1.37777058253e-08,827.642559977,7.33481602474e-09,203.000001985,203.000002006,-203.000002006,-174.986000859,89.4922794182,1.0,1,1.0
0,1.0,1,2018,1.0,203.0,101.475931167,-101.475931167,-202.999999992,87.4929999964,-101.524068833,101.524068833,1041.62335042,-4.05605255206e-08,3.21476171527e-08,101.524068825,-101.524068825,-87.4929999964,9.77136871905,1.0,1,1.0
0,1.0,2,2018,1.0,203.0,203.00000001,-203.00000001,-406.00000204,174.986000879,9.82386385193e-09,-9.82386385193e-09,613.661759026,7.61489848511e-09,203.000002032,203.00000203,-203.00000203,-174.986000879,179.952989565,1.0,1,1.0
0,1.0,3,2018,1.0,203.0,101.475931168,-101.475931168,-202.999999995,87.4929999979,-101.524068832,101.524068832,1041.62335042,-4.95672924757e-09,1.95734566926e-10,101.524068827,-101.524068827,-87.4929999979,32.4346976403,1.0,1,1.0
0,1.0,4,2018,1.0,203.0,203.000000008,-203.000000008,-406.000002037,174.986000878,8.34761111831e-09,-8.34761111831e-09,656.457931381,7.71050931846e-09,203.000002029,203.000002028,-203.000002028,-174.986000878,28.9165149639,1.0,1,1.0
0,1.0,5,2018,1.0,203.0,101.47593117,-101.47593117,-203.0,87.4930000001,-101.52406883,101.52406883,1041.62335042,5.6111355724e-09,-5.32834616074e-09,101.52406883,-101.52406883,-87.4930000001,24.2846754382,1.0,1,1.0
0,1.0,6,2018,1.0,203.0,101.475931204,-101.475931204,-203.000000103,87.4930000443,-101.524068796,101.524068796,1041.6233503,7.47766823292e-09,9.53944285753e-08,101.524068899,-101.524068899,-87.4930000443,23.5482225612,1.0,1,1.0
0,1.0,7,2018,1.0,203.0,172.634289365,-172.634289365,-358.870659556,154.673254269,-30.3657106346,30.3657106346,877.321248886,7.47765735166e-09,155.870659549,186.236370191,-186.236370191,-154.673254269,42.8514746518,1.0,1,1.0
0,1.0,8,2018,1.0,203.0,101.47593117,-101.47593117,-203.000000001,87.4930000005,-101.52406883,101.52406883,1041.62335041,5.77058299062e-09,-4.56272082128e-09,101.524068831,-101.524068831,-87.4930000005,29.423163428,1.0,1,1.0
0,1.0,9,2018,1.0,203.0,101.475931168,-101.475931168,-202.999999996,87.4929999983,-101.524068832,101.524068832,1041.62335041,-4.7021182585e-09,8.07846517668e-10,101.524068828,-101.524068828,-87.4929999983,20.9407902188,1.0,1,1.0
0,1.0,10,2018,1.0,203.0,101.475931168,-101.475931168,-202.999999994,87.4929999976,-101.524068832,101.524068832,1041.62335042,-8.7479117263e-11,-5.54536182107e-09,101.524068826,-101.524068826,-87.4929999976,19.7349335414,1.0,1,1.0
0,1.0,11,2018,1.0,203.0,101.475931169,-101.475931169,-202.999999999,87.4929999994,-101.524068831,101.524068831,1041.62335041,3.94772465066e-09,-5.34507093587e-09,101.524068829,-101.524068829,-87.4929999994,20.3635060097,1.0,1,1.0
0,1.0,12,2018,1.0,203.0,203.000000009,-203.000000009,-406.000002038,174.986000879,9.23815700019e-09,-9.23815700019e-09,613.661759026,4.83308993815e-09,203.000002034,203.000002029,-203.000002029,-174.986000879,45.5555992831,1.0,1,1.0
0,1.0,13,2018,1.0,203.0,101.475931171,-101.475931171,-203.000000003,87.4930000015,-101.524068829,101.524068829,1041.62335041,-1.01265096487e-09,4.38299399793e-09,101.524068832,-101.524068832,-87.4930000015,19.6337702936,1.0,1,1.0
0,1.0,14,2018,1.0,203.0,164.300564417,-164.300564417,-345.099986049,148.738093987,-38.6994355826,38.6994355826,677.856012383,5.41741087461e-09,142.099986043,180.799421631,-180.799421631,-148.738093987,23.1790685451,1.0,1,1.0
0,1.0,15,2018,1.0,203.0,101.475927511,-101.475927511,-202.999989028,87.4929952712,-101.524072489,101.524072489,1041.62335041,-1.09643661207e-05,-7.22626915457e-09,101.524061518,-101.524061518,-87.4929952712,18.8702071029,1.0,1,1.0
0,1.0,16,2018,1.0,203.0,203.000000009,-203.000000009,-406.000002039,174.986000879,9.35534229457e-09,-9.35534229457e-09,827.642559929,7.93259231431e-09,203.000002031,203.000002029,-203.000002029,-174.986000879,37.1448226576,1.0,1,1.0
0,1.0,17,2018,1.0,203.0,101.475931168,-101.475931168,-202.999999994,87.4929999975,-101.524068832,101.524068832,827.642549523,2.22449909172e-10,-5.93501444976e-09,101.524068826,-101.524068826,-87.4929999975,18.8191676985,1.0,1,1.0
0,1.0,18,2018,1.0,203.0,203.000000001,-203.000000001,-406.000002021,174.986000871,7.20694202758e-10,-7.20694202758e-10,613.661759049,7.64267831812e-09,203.000002014,203.000002021,-203.000002021,-174.986000871,25.2937156169,1.0,1,1.0
0,1.0,19,2018,1.0,203.0,202.999999963,-202.999999963,-406.000001949,174.98600084,-3.72647760496e-08,3.72647760496e-08,827.642560023,7.7915719519e-09,203.000001941,203.000001986,-203.000001986,-174.98600084,26.4602615461,1.0,1,1.0
0,2.0,0,2018,1.0,203.0,7.65055400798e-08,-7.65055400798e-08,-1.53063264758e-07,6.59702671109e-08,-202.999999923,202.999999923,1020.22526934,-202.99999984,-7.33481602475e-09,7.65577246787e-08,-7.65577246787e-08,-6.59702671109e-08,79.0890379617,1.0,1,1.0
0,2.0,1,2018,1.0,203.0,189.634803326,-189.634803326,-385.700000008,166.236700004,-13.3651966739,13.3651966739,849.040640903,4.87807790485e-09,182.700000003,196.065196682,-196.065196682,-166.236700004,46.3840425131,1.0,1,1.0
0,2.0,2,2018,1.0,203.0,-4.79099135336e-09,4.79099135336e-09,9.58214005623e-09,-4.12990236424e-09,-203.000000005,203.000000005,806.24446854,-203.000000002,-7.61489848511e-09,-4.79114870288e-09,4.79114870288e-09,4.12990236424e-09,16.2913452262,1.0,1,1.0
0,2.0,3,2018,1.0,203.0,203.000000009,-203.000000009,-406.000002038,174.986000879,9.18325283463e-09,-9.18325283463e-09,827.642559929,6.33717579481e-09,203.000002032,203.000002029,-203.000002029,-174.986000879,82.8099954032,1.0,1,1.0
0,2.0,4,2018,1.0,203.0,-4.26555057705e-09,4.26555057705e-09,8.53070572239e-09,-3.67673416635e-09,-203.000000004,203.000000004,849.040640894,-203.000000001,-7.71050931846e-09,-4.26515514534e-09,4.26515514534e-09,3.67673416635e-09,19.8161743195,1.0,1,1.0
0,2.0,5,2018,1.0,203.0,101.475931171,-101.475931171,-203.000000004,87.4930000018,-101.524068829,101.524068829,1041.62335041,7.59956787079e-09,-3.32587155594e-09,101.524068833,-101.524068833,-87.4930000018,31.9439492736,1.0,1,1.0
0,2.0,6,2018,1.0,203.0,101.475931135,-101.475931135,-202.999999894,87.4929999545,-101.524068865,101.524068865,1041.62335041,-9.819303144e-08,-7.48540982254e-09,101.52406876,-101.52406876,-87.4929999545,21.3461782984,1.0,1,1.0
0,2.0,7,2018,1.0,203.0,203.00000001,-203.00000001,-406.00000204,174.986000879,9.89251062589e-09,-9.89251062589e-09,663.340458399,7.47765735167e-09,203.000002032,203.00000203,-203.00000203,-174.986000879,143.411975606,1.0,1,1.0
0,2.0,8,2018,1.0,203.0,189.634803323,-189.634803323,-385.700000003,166.236700001,-13.3651966772,13.3651966772,849.040640908,7.97865928761e-09,182.699999995,196.06519668,-196.06519668,-166.236700001,36.4181735935,1.0,1,1.0
