iteration,accepted,npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,mean_NPV,std_NPV,med_NPV
0.0,first,769.0,-650.0,-10496.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,20692.0,1708433652.54,4651888.84028,1707824165.24
1.0,accepted,769.0,-695.358380753,-13347.1548105,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,22451.9706478,1736324552.32,7558216.62976,1737645624.5
2.0,accepted,769.0,-754.0,-11313.4008303,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30911.2861897,1863317960.74,1906653.08076,1863067515.42
3.0,accepted,769.0,-754.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,18932.7303923,1882357585.2,1061222.91619,1881870665.87
4.0,rejected,769.0,-754.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,22578.7016941,1876228784.51,10780036.039,1880444913.66
5.0,rerun,769.0,-754.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,18932.7303923,1880089156.48,2486038.808,1880379183.59
6.0,rejected,769.0,-754.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,17792.0,1874269550.52,10681480.4211,1877564492.28
7.0,rerun,769.0,-754.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,18932.7303923,1872700744.4,8563573.32185,1873059523.79
8.0,rejected,769.0,-754.0,-11022.0336841,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,17792.0,1866542029.25,1912655.40112,1867276278.16
9.0,rerun,769.0,-754.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,18932.7303923,1879572556.24,6359476.61013,1882488831.43
10.0,accepted,769.0,-754.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,17792.0,1878826620.0,7071144.27483,1881638641.99
11.0,rejected,769.0,-733.917327169,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,19256.0659289,1847604665.45,1987100.5275,1847080993.88
12.0,rerun,769.0,-754.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,17792.0,1877156864.77,3102416.25838,1877191451.9
13.0,rejected,769.0,-754.0,-10500.3701176,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,19553.9321039,1873476867.67,6295447.0516,1876225598.77
14.0,rerun,769.0,-754.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,17792.0,1881333379.31,2014357.96495,1881825870.98
