turbine_capacity,htse_ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,scenario_label,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-turbine_capacity,PointProbability,ProbabilityWeight
1193.0,-1000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,3595588968.76,2731170.34854,3596089138.38,3599234598.44,3591669050.18,3592295901.58,3598617428.69,5.0,7.45929147274e+12,1,0.5,0.000838222967309,0.5
2386.0,-1000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,5459342305.74,20862660.6027,5452828541.79,5483044829.99,5438414441.84,5439254253.71,5482397906.77,5.0,4.35250607425e+14,2,0.5,0.000838222967309,0.5
