iteration,accepted,H2_storage_capacity,overflow_capacity,H2_market_capacity,IES_delta_cap,mean_NPV
0.0,first,50000.0,-1000.0,-1.00000000009,0.25,-626270374.05
1.0,accepted,106107.576264,-1000.0,-9.99982319172e-11,0.0,-480081108.239
2.0,accepted,35519.5410879,-1000.0,-9.99982319172e-11,0.0,-451567381.73
3.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.0,-436907692.988
4.0,rejected,399216.000348,-1000.0,-9.99982319172e-11,0.282472669383,-669058040.753
5.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-432806388.165
6.0,rejected,162183.417593,-1000.0,-9.99982319172e-11,0.143020782278,-530747008.454
7.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-432005619.501
8.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.0,-432892005.52
9.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.0,-434064882.068
10.0,rejected,0.0,-1000.0,-9.99982319172e-11,0.979263044097,-562391429.6
11.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-429908287.963
12.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.0,-429256350.571
13.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.0,-435028205.778
14.0,rejected,289610.881856,-1000.0,-9.99982319172e-11,0.0,-566947059.651
15.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-435241107.604
16.0,rejected,200360.387663,-1000.0,-9.99982319172e-11,0.0,-524748489.646
17.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-435215629.162
18.0,rejected,164733.794445,-1000.0,-9.99982319172e-11,0.0,-510149319.407
19.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-427415432.735
20.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.0,-434706933.433
21.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.0,-430528357.307
22.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.0,-432416040.004
23.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.0,-435667275.716
24.0,rejected,269091.136088,-1000.0,-9.99982319172e-11,0.85678724581,-681437783.458
25.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-433855096.218
26.0,rejected,0.0,-1000.0,-9.99982319172e-11,0.0609434500872,-438125098.686
27.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-432552680.282
28.0,rejected,8410.93642293,-1000.0,-9.99982319172e-11,0.223126153338,-472474794.268
29.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-432408951.454
30.0,rejected,0.0,-1000.0,-9.99982319172e-11,0.510232135452,-503857463.568
31.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-425771737.919
32.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.0,-430134319.275
33.0,rejected,2362.16712979,-1000.0,-9.99982319172e-11,0.0,-435375709.441
34.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-429606620.498
