iteration,accepted,Additional_NPP_capacity,turbine_capacity,grid_capacity,NPP_unused_capacity,H2_storage_capacity,ETES_storage_capacity,Hitec_XL_storage_capacity,Dowtherm_A_storage_capacity,Li_ion_storage_capacity,mean_NPV
0.0,first,0.5,200.0,100.0,-100.0,0.5,0.5,0.5,0.5,0.5,1347492994.84
1.0,rejected,0.0,200.0,100.0,-100.0,1.077699472,0.971796838163,0.105870319208,0.880913119876,1.09232040517,755941867.894
2.0,rerun,0.5,200.0,100.0,-100.0,0.5,0.5,0.5,0.5,0.5,1418790445.89
3.0,accepted,0.0,200.0,100.0,-100.0,0.678956820688,0.463677257086,0.1006013919,0.990122013121,0.661295843457,1400805849.03
4.0,accepted,0.0,200.0,100.0,-100.0,0.0638306618107,0.0,0.35843160615,1.49967361281,0.244220266176,2065024234.65
5.0,accepted,0.0,200.0,100.0,-100.0,0.0,0.0,0.0966814787456,1.53331432271,0.0,2273711835.75
6.0,rejected,0.0,200.0,100.0,-100.0,0.0,0.617398798111,0.0,0.86450544962,0.0,2133701744.27
7.0,rerun,0.0,200.0,100.0,-100.0,0.0,0.0,0.0966814787456,1.53331432271,0.0,2262688140.88
8.0,rejected,0.0,200.0,100.0,-100.0,0.0,0.647514289566,0.0,1.46512831437,0.13578487042,1988835157.74
9.0,rerun,0.0,200.0,100.0,-100.0,0.0,0.0,0.0966814787456,1.53331432271,0.0,2301691346.2
10.0,rejected,0.0,200.0,100.0,-100.0,0.0,0.0826765363657,0.107197949213,1.79587308106,0.0,2178276720.23
11.0,rerun,0.0,200.0,100.0,-100.0,0.0,0.0,0.0966814787456,1.53331432271,0.0,2250269061.44
12.0,rejected,0.0,200.0,100.0,-100.0,0.0,0.0,0.209793983474,1.66935786141,0.0,2245880330.08
13.0,rerun,0.0,200.0,100.0,-100.0,0.0,0.0,0.0966814787456,1.53331432271,0.0,2294679837.59
14.0,rejected,0.0,200.0,100.0,-100.0,0.0,0.0,0.0704962268758,1.5668829946,0.0,2261672396.19
15.0,rerun,0.0,200.0,100.0,-100.0,0.0,0.0,0.0966814787456,1.53331432271,0.0,2227685076.79
16.0,rejected,0.0219263817895,200.0,100.0,-100.0,0.0,0.0198858770377,0.0597340793531,1.5575451415,0.0,2238170520.32
17.0,rerun,0.0,200.0,100.0,-100.0,0.0,0.0,0.0966814787456,1.53331432271,0.0,2287541867.45
18.0,rejected,0.00281079976991,200.0,100.0,-100.0,0.0,0.00110935991933,0.0925750862906,1.54240122658,0.0,2260270121.53
19.0,rerun,0.0,200.0,100.0,-100.0,0.0,0.0,0.0966814787456,1.53331432271,0.0,2279320561.11
20.0,accepted,0.0,200.0,100.0,-100.0,0.0,0.0,0.0986748842719,1.52536925735,0.0,2273730590.78
