iteration,accepted,H2_storage_capacity,H2_market_capacity,Secondary_capacity,E_Penalty_capacity,IES_delta_cap,NPP_bid_adjust,mean_NPV
0.0,first,50000.0,-1.0,10000.0,-10000.0,0.25,5000.0,1740949001.91
1.0,rejected,281052.749277,-1.65460367485,10000.0,-10000.0,2.77166369993,0.0,1216655590.63
2.0,rerun,50000.0,-1.0,10000.0,-10000.0,0.25,5000.0,1730886699.24
3.0,rejected,19470.4226326,-1.5698048097,10000.0,-10000.0,2.4404924029,0.0,1380252882.9
4.0,rerun,50000.0,-1.0,10000.0,-10000.0,0.25,5000.0,1744243485.7
5.0,accepted,0.0,-4.4989937744,10000.0,-10000.0,0.0,0.0,2656384531.84
6.0,rejected,0.0,0.0,10000.0,-10000.0,0.61155186945,0.0,1889665017.17
7.0,rerun,0.0,-4.4989937744,10000.0,-10000.0,0.0,0.0,2652941072.48
8.0,rejected,195681.555546,0.0,10000.0,-10000.0,0.0,0.0,1873284688.84
9.0,rerun,0.0,-4.4989937744,10000.0,-10000.0,0.0,0.0,2652892918.68
10.0,rejected,0.0,-3.42758798293,10000.0,-10000.0,0.0,18282.511284,1394768633.06
11.0,rerun,0.0,-4.4989937744,10000.0,-10000.0,0.0,0.0,2649416694.85
12.0,rejected,0.0,0.0,10000.0,-10000.0,0.826377672636,10510.0417796,1857338205.72
13.0,rerun,0.0,-4.4989937744,10000.0,-10000.0,0.0,0.0,2646663300.95
14.0,rejected,15989.5947487,0.0,10000.0,-10000.0,0.693662795031,17372.6159752,1818656085.04
15.0,rerun,0.0,-4.4989937744,10000.0,-10000.0,0.0,0.0,2644721278.91
16.0,rejected,111222.644943,-2.44939750482,10000.0,-10000.0,0.0,21592.795862,1489508821.49
17.0,rerun,0.0,-4.4989937744,10000.0,-10000.0,0.0,0.0,2653157493.5
18.0,rejected,0.0,-0.143030124969,10000.0,-10000.0,0.0,0.0,1937899260.92
19.0,rerun,0.0,-4.4989937744,10000.0,-10000.0,0.0,0.0,2655800772.01
20.0,rejected,0.0,0.0,10000.0,-10000.0,0.502663462939,868.341420416,1899573675.51
21.0,rerun,0.0,-4.4989937744,10000.0,-10000.0,0.0,0.0,2653633354.99
