SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-Charger_capacity,ProbabilityWeight-TES_capacity,ProbabilityWeight-NewBOP_capacity,PointProbability,ProbabilityWeight,prefix
203.0,-203.0,-420.0,-203.0,800.0,-203.0,-1e+200,455853664.592,15773299.9811,456316505.28,481704825.379,425343830.88,433066963.824,478278018.558,18.0,2.48796992294e+14,0.115384615385,0.139275766017,0.166666666667,1.7855867438e-06,0.00267838011571,4
203.0,-203.0,-420.0,-203.0,700.0,-203.0,-1e+200,458542974.191,13062567.7441,457624732.711,486131522.341,436402194.87,440654905.712,478694908.546,15.0,1.70630676068e+14,0.115384615385,0.139275766017,0.166666666667,1.7855867438e-06,0.00267838011571,3
203.0,-203.0,-420.0,-203.0,500.0,-203.0,-1e+200,455372911.527,8956859.14564,457087531.909,470061615.063,439392992.219,439781810.934,465807323.041,14.0,8.02253257549e+13,0.115384615385,0.0696378830084,0.166666666667,1.7855867438e-06,0.00133919005785,1
203.0,-203.0,-420.0,-203.0,600.0,-203.0,-1e+200,451929559.506,8867076.20463,450483927.142,468882676.032,435410243.222,440213107.998,464244947.997,12.0,7.86250404187e+13,0.115384615385,0.139275766017,0.166666666667,1.7855867438e-06,0.00267838011571,2
203.0,-203.0,-420.0,-203.0,1200.0,-203.0,-1e+200,458076094.758,9811698.07318,459027864.963,469789175.628,435637661.188,441092311.719,468804447.204,15.0,9.62694190793e+13,0.115384615385,0.0821727019499,0.166666666667,1.7855867438e-06,0.00158024426827,8
203.0,-203.0,-420.0,-203.0,1100.0,-203.0,-1e+200,458314693.323,13108090.4503,458781564.99,487209394.778,430994731.859,438070631.32,475257798.339,17.0,1.71822035254e+14,0.115384615385,0.139275766017,0.166666666667,1.7855867438e-06,0.00267838011571,7
203.0,-203.0,-420.0,-203.0,900.0,-203.0,-1e+200,460538582.043,13117212.0632,463665893.598,481935720.85,436394475.651,441994133.763,479831639.279,15.0,1.7206125231e+14,0.115384615385,0.139275766017,0.166666666667,1.7855867438e-06,0.00267838011571,5
203.0,-203.0,-420.0,-203.0,1000.0,-203.0,-1e+200,460887623.312,10392910.3258,459434379.655,477536705.039,443320221.193,446561296.974,475278505.628,15.0,1.08012585041e+14,0.115384615385,0.139275766017,0.166666666667,1.7855867438e-06,0.00267838011571,6
203.0,-203.0,-400.0,-203.0,500.0,-203.0,-1e+200,449145889.888,16291185.2411,451648554.778,479617465.992,420821949.229,427822476.723,472111397.761,10.0,2.65402716559e+14,0.115384615385,0.0696378830084,0.333333333333,1.7855867438e-06,0.00267838011571,10
203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,460825805.272,12602995.2026,462224447.185,481515632.7,440084745.631,442884574.232,477460228.956,8.0,1.58835488076e+14,0.115384615385,0.139275766017,0.333333333333,1.7855867438e-06,0.00535676023141,11
203.0,-203.0,-400.0,-203.0,700.0,-203.0,-1e+200,460945665.144,11291164.2552,465334551.417,472133810.579,441562897.797,445767748.432,472014108.554,9.0,1.27490390237e+14,0.115384615385,0.139275766017,0.333333333333,1.7855867438e-06,0.00535676023141,12
203.0,-203.0,-420.0,-203.0,1218.0,-203.0,-1e+200,461101081.912,11568041.7431,460735878.957,485246581.262,439889012.476,445773073.052,475874075.703,15.0,1.33819589769e+14,0.115384615385,0.0125348189415,0.166666666667,1.7855867438e-06,0.000241054210414,9
203.0,-203.0,-400.0,-203.0,900.0,-203.0,-1e+200,457489755.487,13769242.41,458493792.682,478091400.933,439247342.704,441070224.668,474586884.04,6.0,1.89592036544e+14,0.115384615385,0.139275766017,0.333333333333,1.7855867438e-06,0.00535676023141,14
203.0,-203.0,-400.0,-203.0,800.0,-203.0,-1e+200,458492020.973,14635656.192,465418442.128,480379999.433,434422691.385,437095637.296,474198986.549,12.0,2.14202432172e+14,0.115384615385,0.139275766017,0.333333333333,1.7855867438e-06,0.00535676023141,13
203.0,-203.0,-400.0,-203.0,1000.0,-203.0,-1e+200,457821176.97,11018449.8784,459352221.593,472675603.697,442260308.492,444092192.143,470945948.311,7.0,1.21406237722e+14,0.115384615385,0.139275766017,0.333333333333,1.7855867438e-06,0.00535676023141,15
203.0,-203.0,-400.0,-203.0,1100.0,-203.0,-1e+200,464405806.608,9855728.60591,463003779.669,483150111.593,447229457.119,449964299.141,479040289.983,12.0,9.71353863534e+13,0.115384615385,0.139275766017,0.333333333333,1.7855867438e-06,0.00535676023141,16
203.0,-203.0,-380.0,-203.0,600.0,-203.0,-1e+200,447201886.811,12650841.8876,446942355.4,466500690.458,428889426.578,432022679.286,463036513.665,8.0,1.60043800464e+14,0.115384615385,0.139275766017,0.333333333333,1.7855867438e-06,0.00535676023141,20
203.0,-203.0,-380.0,-203.0,500.0,-203.0,-1e+200,436401261.297,7606562.81692,436974249.243,451504840.253,426052182.333,427792598.876,448364410.674,10.0,5.78597978878e+13,0.115384615385,0.0696378830084,0.333333333333,1.7855867438e-06,0.00267838011571,19
203.0,-203.0,-400.0,-203.0,1200.0,-203.0,-1e+200,458243891.713,11197826.0398,459803523.509,470356351.878,439001311.247,442904611.654,469238295.723,6.0,1.25391308017e+14,0.115384615385,0.0821727019499,0.333333333333,1.7855867438e-06,0.00316048853653,17
203.0,-203.0,-400.0,-203.0,1218.0,-203.0,-1e+200,457055380.565,12067968.4392,454224425.209,483338227.704,440313959.334,444121421.0,476442073.007,11.0,1.4563586225e+14,0.115384615385,0.0125348189415,0.333333333333,1.7855867438e-06,0.000482108420827,18
203.0,-203.0,-380.0,-203.0,700.0,-203.0,-1e+200,449941435.16,10178396.9104,452413029.153,462716052.798,435384699.226,436667264.916,461088749.259,6.0,1.03599763666e+14,0.115384615385,0.139275766017,0.333333333333,1.7855867438e-06,0.00535676023141,21
