turbine_capacity,elec_market_capacity,scenario_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-turbine_capacity,PointProbability
300.0,-1e+200,baseline_high,1360930912.78,nan,1360930912.78,1360930912.78,1360930912.78,1360930912.78,1360930912.78,1.0,nan,1,0.5,0.5,0.00142857142857
1000.0,-1e+200,baseline_high,4536436375.95,nan,4536436375.95,4536436375.95,4536436375.95,4536436375.95,4536436375.95,1.0,nan,2,0.5,0.5,0.00142857142857
