turbine_capacity,htse_ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,scenario_label,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-turbine_capacity,prefix,PointProbability
1014.9,-1000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,8031437986.33,9.78449203572e-07,8031437986.33,8031437986.33,8031437986.33,8031437986.33,8031437986.33,20.0,9.57362843972e-13,0.5,0.5,1,0.00101512536798
2000.0,-1000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,11871799086.4,13447220.5056,11872033169.6,11895806931.9,11846402685.5,11849300986.9,11890945594.0,20.0,1.80827739325e+14,0.5,0.5,2,0.00101512536798
