iteration,accepted,H2_storage_capacity,overflow_capacity,H2_market_capacity,IES_delta_cap,mean_NPV
0.0,first,50000.0,-1000.0,-1.00000000009,0.25,-8169692094.28
1.0,rejected,466710.583252,-1000.0,-1.54119357235,0.0,-8405304427.55
2.0,rerun,50000.0,-1000.0,-1.00000000009,0.25,-8161530177.19
3.0,rejected,242657.796509,-1000.0,-5.21264296619,0.0,-8756733536.34
4.0,rerun,50000.0,-1000.0,-1.00000000009,0.25,-8167296388.66
5.0,accepted,208641.07057,-1000.0,-9.99982319172e-11,0.0,-8067795150.85
6.0,rejected,188252.6989,-1000.0,-9.99982319172e-11,0.963653151525,-8196129931.27
7.0,rerun,208641.07057,-1000.0,-9.99982319172e-11,0.0,-8071923305.76
8.0,accepted,6160.78869884,-1000.0,-9.99982319172e-11,0.665298108565,-8063576393.23
9.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.0,-7968638303.38
10.0,rejected,51699.1092699,-1000.0,-9.99982319172e-11,0.0,-7992695049.41
11.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7969822477.84
12.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.0,-7974610720.0
13.0,rejected,339372.489494,-1000.0,-9.99982319172e-11,0.618740508981,-8233079260.52
14.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7967937811.04
15.0,rejected,0.0,-1000.0,-9.99982319172e-11,1.04798249111,-8113215566.17
16.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7965241321.09
17.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.0,-7974399015.44
18.0,rejected,234417.181537,-1000.0,-9.99982319172e-11,0.851412506261,-8200888982.16
19.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7972460799.34
20.0,rejected,46742.6388402,-1000.0,-9.99982319172e-11,0.0,-8005877480.55
21.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7964716370.56
22.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.0,-7975689805.98
23.0,rejected,0.0,-1000.0,-9.99982319172e-11,0.892863429709,-8098166935.3
24.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7969207354.26
25.0,rejected,0.0,-1000.0,-1.75274596353,0.0,-8212416068.87
26.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7973625348.42
27.0,rejected,198569.149799,-1000.0,-9.99982319172e-11,0.0,-8072257083.66
28.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7969542686.8
29.0,rejected,127208.325111,-1000.0,-9.99982319172e-11,0.0,-8033832771.65
30.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7973016591.48
31.0,rejected,0.0,-1000.0,-9.99982319172e-11,0.483939758598,-8043715363.13
32.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7975320628.14
33.0,rejected,0.0,-1000.0,-9.99982319172e-11,0.412819346525,-8027567777.55
34.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7959668367.58
35.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.0,-7974762410.18
36.0,rejected,47043.9784034,-1000.0,-2.67454844627,0.431100575165,-8398359359.89
37.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7974740573.08
38.0,rejected,0.0,-1000.0,-9.99982319172e-11,0.471531460058,-8044720049.5
39.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7975586989.92
40.0,rejected,54908.5908152,-1000.0,-1.0579879002,0.569870758874,-8220072369.43
41.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7968354507.45
42.0,rejected,0.0,-1000.0,-9.99982319172e-11,0.319338240609,-8017654772.21
43.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7970570728.22
44.0,rejected,0.0,-1000.0,-0.429761903937,0.0,-8035449575.69
45.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7974065067.85
46.0,rejected,0.0,-1000.0,-1.70470040659,0.256687222181,-8235817567.63
47.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7982582996.88
48.0,rejected,62894.9662757,-1000.0,-0.537063068383,0.319963252795,-8127231132.01
49.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7973462657.46
50.0,rejected,0.0,-1000.0,-1.64754959305,0.0613609183688,-8206209225.05
51.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7968481831.48
52.0,rejected,0.0,-1000.0,-0.866847087335,0.0,-8098210687.7
53.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7971986392.15
54.0,rejected,54628.0866999,-1000.0,-9.99982319172e-11,0.0,-7999302032.98
55.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7971085080.55
56.0,rejected,32181.3922367,-1000.0,-0.641673138754,0.0,-8069927915.16
57.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7976622516.19
58.0,rejected,23403.5728529,-1000.0,-0.985548605327,0.100742940645,-8127064955.12
59.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7968784976.74
60.0,rejected,47740.943041,-1000.0,-9.99982319172e-11,0.0,-8004797241.14
61.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7978924211.61
62.0,rejected,28307.2765339,-1000.0,-0.41655664957,0.163922411616,-8070923984.55
63.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-7961484700.01
64.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.0,-7970789187.32
65.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.0331670895237,-7969222892.39
66.0,rejected,0.0,-1000.0,-0.143483008312,0.223715753573,-8015422543.37
67.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0331670895237,-7979236832.24
