iteration,accepted,turbine_capacity,htse_capacity,elec_market_capacity,h2_market_capacity,h2_storage_capacity,mean_NPV
0.0,first,75950.0,-75900.0,-1e+200,-1e+200,10000.95,1849697.38519
1.0,accepted,595218.832109,-75900.0,-1e+200,-1e+200,10000.95,14495745.4347
2.0,accepted,1114487.66422,-75900.0,-1e+200,-1e+200,10000.95,27141793.4842
3.0,accepted,1500000.0,-75900.0,-1e+200,-1e+200,10000.95,36530393.8015
4.0,accepted,1500000.0,-75900.0,-1e+200,-1e+200,10000.95,36530393.8015
