iteration,accepted,SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV
0.0,first,203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,275354356.016,180294.43154,275427728.979
1.0,accepted,203.0,-203.0,-407.950672394,-202.042708627,646.919510495,-203.0,-1e+200,275962417.058,281377.702839,275962765.774
2.0,rejected,203.0,-203.0,-399.388496293,-201.642848752,594.103080604,-203.0,-1e+200,275405342.578,349686.080386,275489399.8
3.0,rerun,203.0,-203.0,-407.950672394,-202.042708627,646.919510495,-203.0,-1e+200,275833489.22,196126.267503,275868042.465
4.0,accepted,203.0,-203.0,-406.665829113,-202.307584149,602.040692707,-203.0,-1e+200,275963362.5,297424.159773,275889624.734
5.0,rejected,203.0,-203.0,-414.261500571,-201.399200333,665.427988436,-203.0,-1e+200,275487008.746,254834.035705,275438106.258
6.0,rerun,203.0,-203.0,-406.665829113,-202.307584149,602.040692707,-203.0,-1e+200,275966427.526,297675.747176,275958169.194
7.0,rejected,203.0,-203.0,-408.280771174,-202.977107038,554.385466878,-203.0,-1e+200,275761962.654,299589.446941,275829304.621
8.0,rerun,203.0,-203.0,-406.665829113,-202.307584149,602.040692707,-203.0,-1e+200,275987889.678,222327.612287,276004866.733
9.0,accepted,203.0,-203.0,-405.61405713,-203.304064769,613.386371813,-203.0,-1e+200,276069637.152,244916.449157,276168573.052
10.0,rejected,203.0,-203.0,-400.956714212,-202.528630292,599.093578738,-203.0,-1e+200,275481284.296,188205.311842,275477852.438
11.0,rerun,203.0,-203.0,-405.61405713,-203.304064769,613.386371813,-203.0,-1e+200,276043412.45,244935.966047,276009326.186
12.0,rejected,203.0,-203.0,-410.421567414,-203.15580295,618.535350273,-203.0,-1e+200,275837389.426,274545.206404,275843566.558
13.0,rerun,203.0,-203.0,-405.61405713,-203.304064769,613.386371813,-203.0,-1e+200,275994050.36,219649.158634,276056522.607
14.0,rejected,203.0,-203.0,-402.440495753,-203.457980569,614.53976728,-203.0,-1e+200,275730338.98,251507.864948,275731731.0
15.0,rerun,203.0,-203.0,-405.61405713,-203.304064769,613.386371813,-203.0,-1e+200,276070412.233,252631.239973,276106242.611
16.0,rejected,203.0,-203.0,-405.251879588,-202.990272691,609.99371354,-203.0,-1e+200,275997832.718,310817.880666,275884325.965
17.0,rerun,203.0,-203.0,-405.61405713,-203.304064769,613.386371813,-203.0,-1e+200,276104489.94,213486.200219,276149752.131
18.0,rejected,203.0,-203.0,-406.51299242,-203.442838533,609.698833404,-203.0,-1e+200,276031211.082,222820.800503,276016722.584
19.0,rerun,203.0,-203.0,-405.61405713,-203.304064769,613.386371813,-203.0,-1e+200,275969269.881,311852.069878,276014190.203
20.0,accepted,203.0,-203.0,-406.331955798,-203.402675394,614.30478345,-203.0,-1e+200,276093185.009,276922.435208,276157168.451
21.0,rejected,203.0,-203.0,-405.180118922,-203.448547844,608.404709757,-203.0,-1e+200,275921849.586,228050.068959,275887023.886
22.0,rerun,203.0,-203.0,-406.331955798,-203.402675394,614.30478345,-203.0,-1e+200,276038239.276,233313.392765,276039672.706
23.0,accepted,203.0,-203.0,-406.046073775,-203.24548815,612.979749199,-203.0,-1e+200,276109678.554,302743.201287,276094547.342
24.0,rejected,203.0,-203.0,-405.681700874,-203.233479703,606.966520072,-203.0,-1e+200,276049075.192,285502.428908,276015625.741
25.0,rerun,203.0,-203.0,-406.046073775,-203.24548815,612.979749199,-203.0,-1e+200,276071169.787,227460.826703,276145960.265
26.0,accepted,203.0,-203.0,-405.876081868,-203.125189632,613.882470107,-203.0,-1e+200,276115166.666,257735.408436,276096104.33
27.0,rejected,203.0,-203.0,-405.949497966,-203.243206176,614.787489212,-203.0,-1e+200,276056691.584,269062.341941,276036236.638
28.0,rerun,203.0,-203.0,-405.876081868,-203.125189632,613.882470107,-203.0,-1e+200,276012228.89,222093.193615,276051017.384
29.0,rejected,203.0,-203.0,-405.872855318,-203.191362248,612.321610819,-203.0,-1e+200,276017237.268,221451.215421,276025088.233
30.0,rerun,203.0,-203.0,-405.876081868,-203.125189632,613.882470107,-203.0,-1e+200,276180170.097,224265.831437,276227921.841
31.0,rejected,203.0,-203.0,-405.676404736,-203.161057905,614.787473081,-203.0,-1e+200,275987650.846,265731.585658,276044956.807
32.0,rerun,203.0,-203.0,-405.876081868,-203.125189632,613.882470107,-203.0,-1e+200,276056549.007,298216.730047,276059388.385
33.0,accepted,203.0,-203.0,-405.946895619,-203.150452783,614.662113277,-203.0,-1e+200,276157104.98,290462.450737,276101484.971
34.0,accepted,203.0,-203.0,-405.712708546,-203.187182551,615.42054484,-203.0,-1e+200,276157998.53,374250.41105,276227562.133
