SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-TES_capacity,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight,ProbabilityWeight-Charger_capacity
203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,433694960.854,24152434.1373,440708801.305,473806882.711,377505001.925,399432028.751,462059323.872,14.0,5.83340074759e+14,3.26605264877e-08,3,0.111111111111,0.0185185185185,4.89907897315e-05,0.0238095238095
203.0,-203.0,-400.0,-203.0,400.0,-203.0,-1e+200,410408370.547,24800960.5659,407880768.736,450108428.783,368721183.318,372971202.405,443385541.806,16.0,6.15087644989e+14,3.26605264877e-08,1,0.0555555555556,0.0185185185185,2.44953948658e-05,0.0238095238095
203.0,-203.0,-400.0,-203.0,500.0,-203.0,-1e+200,424629676.916,23745107.2145,424875518.626,470733900.412,382458622.805,386075219.322,457222864.716,16.0,5.63830116626e+14,3.26605264877e-08,2,0.111111111111,0.0185185185185,4.89907897315e-05,0.0238095238095
203.0,-203.0,-400.0,-203.0,700.0,-203.0,-1e+200,431943510.147,23731825.08,429737904.315,472262128.542,396853939.113,399941005.096,464277438.224,16.0,5.63199521627e+14,3.26605264877e-08,4,0.111111111111,0.0185185185185,4.89907897315e-05,0.0238095238095
203.0,-203.0,-400.0,-203.0,800.0,-203.0,-1e+200,443023107.636,20744816.3137,441956265.889,482763513.707,405307774.546,412117612.187,475416251.607,15.0,4.30347403888e+14,3.26605264877e-08,5,0.111111111111,0.0185185185185,4.89907897315e-05,0.0238095238095
203.0,-203.0,-400.0,-203.0,900.0,-203.0,-1e+200,450459408.364,29987853.9803,449397553.012,513246587.77,409269863.301,411959580.797,503843324.788,16.0,8.99271386343e+14,3.26605264877e-08,6,0.111111111111,0.0185185185185,4.89907897315e-05,0.0238095238095
203.0,-203.0,-400.0,-203.0,1000.0,-203.0,-1e+200,432012230.77,20040686.2531,428531174.204,463504516.065,401280139.524,403215376.824,460538225.336,19.0,4.01629105495e+14,3.26605264877e-08,7,0.111111111111,0.0185185185185,4.89907897315e-05,0.0238095238095
203.0,-203.0,-400.0,-203.0,1100.0,-203.0,-1e+200,447902219.299,17645531.9674,450191455.368,471115721.949,406337625.589,420525738.228,470271628.49,18.0,3.11364798412e+14,3.26605264877e-08,8,0.111111111111,0.0185185185185,4.89907897315e-05,0.0238095238095
203.0,-203.0,-400.0,-203.0,1200.0,-203.0,-1e+200,441132201.082,21841087.1037,435393458.28,478110715.206,405824338.731,408872121.49,475862960.742,16.0,4.7703308587e+14,3.26605264877e-08,9,0.0655555555556,0.0185185185185,2.89045659416e-05,0.0238095238095
203.0,-203.0,-400.0,-203.0,1218.0,-203.0,-1e+200,440341601.777,26638907.4883,439270725.432,489742950.343,382210542.834,401134092.538,473441291.041,15.0,7.09631392171e+14,3.26605264877e-08,10,0.0555555555556,0.0185185185185,2.44953948658e-05,0.0238095238095
