SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-TES_capacity,prefix,ProbabilityWeight-Charger_capacity
203.0,-203.0,-400.0,-195.0,400.0,-203.0,-1e+200,410790209.476,23752155.8768,413631103.196,444148732.842,371840255.14,372921610.108,442230436.511,20.0,5.64164908798e+14,0.0185185185185,4.67639356528e-05,3.74111485223e-08,0.0555555555556,1,0.0454545454545
203.0,-203.0,-400.0,-195.0,500.0,-203.0,-1e+200,416904317.474,22828806.5232,414902390.977,469633567.841,372165731.427,389178471.043,444235393.142,20.0,5.21154407273e+14,0.0185185185185,9.35278713056e-05,3.74111485223e-08,0.111111111111,2,0.0454545454545
203.0,-203.0,-400.0,-195.0,600.0,-203.0,-1e+200,427065836.819,21768752.2285,418766829.249,483840063.544,391078787.959,409830092.461,457468387.709,20.0,4.73878573584e+14,0.0185185185185,9.35278713056e-05,3.74111485223e-08,0.111111111111,3,0.0454545454545
203.0,-203.0,-400.0,-195.0,700.0,-203.0,-1e+200,429700720.77,20721748.7048,432698823.591,460103146.856,386099155.085,395869676.826,455542170.124,20.0,4.29390869383e+14,0.0185185185185,9.35278713056e-05,3.74111485223e-08,0.111111111111,4,0.0454545454545
203.0,-203.0,-400.0,-195.0,800.0,-203.0,-1e+200,426444769.416,22589811.381,420036555.467,486367399.234,394236313.97,399474930.715,458027124.907,20.0,5.10299578228e+14,0.0185185185185,9.35278713056e-05,3.74111485223e-08,0.111111111111,5,0.0454545454545
203.0,-203.0,-400.0,-195.0,900.0,-203.0,-1e+200,439729072.145,23848162.5871,438964472.916,482167606.714,406886269.126,407864352.043,481619588.145,20.0,5.6873485878e+14,0.0185185185185,9.35278713056e-05,3.74111485223e-08,0.111111111111,6,0.0454545454545
203.0,-203.0,-400.0,-195.0,1000.0,-203.0,-1e+200,442889044.477,28385977.1734,442965175.904,495508960.662,387232384.768,404691661.818,479262544.609,20.0,8.05763700089e+14,0.0185185185185,9.35278713056e-05,3.74111485223e-08,0.111111111111,7,0.0454545454545
203.0,-203.0,-400.0,-195.0,1100.0,-203.0,-1e+200,454957900.1,24801096.2458,450888251.78,491774509.442,401508215.025,424279993.686,491723359.94,20.0,6.15094374992e+14,0.0185185185185,9.35278713056e-05,3.74111485223e-08,0.111111111111,8,0.0454545454545
203.0,-203.0,-400.0,-195.0,1218.0,-203.0,-1e+200,444152522.37,29214599.7211,438807628.077,497925432.631,404026261.022,408204592.303,491978806.689,20.0,8.53492836862e+14,0.0185185185185,4.67639356528e-05,3.74111485223e-08,0.0555555555556,10,0.0454545454545
203.0,-203.0,-400.0,-195.0,1200.0,-203.0,-1e+200,444195240.933,23192720.0994,444452280.327,513092026.202,413024028.871,417890118.693,480644485.612,20.0,5.37902265609e+14,0.0185185185185,5.51814440703e-05,3.74111485223e-08,0.0655555555556,9,0.0454545454545
203.0,-203.0,-380.0,-195.0,400.0,-203.0,-1e+200,401515497.942,14591591.3278,398346466.512,433161620.51,377005962.181,384073729.284,426549030.735,20.0,2.12914537477e+14,0.037037037037,9.35278713056e-05,3.74111485223e-08,0.0555555555556,12,0.0454545454545
203.0,-203.0,-400.0,-195.0,1300.0,-203.0,-1e+200,458667246.71,21129946.4935,452002862.466,495770378.847,430468559.601,435573650.066,493595308.823,20.0,4.46474638818e+14,0.0185185185185,3.83464272353e-05,3.74111485223e-08,0.0455555555556,11,0.0454545454545
203.0,-203.0,-380.0,-195.0,500.0,-203.0,-1e+200,405677642.259,24962174.4279,409963046.035,453307602.041,363108728.568,364696278.32,434452516.868,20.0,6.23110152169e+14,0.037037037037,0.000187055742611,3.74111485223e-08,0.111111111111,13,0.0454545454545
203.0,-203.0,-380.0,-195.0,600.0,-203.0,-1e+200,411603509.53,19079691.8138,410397088.527,451599607.386,378794378.957,383676648.157,441641060.186,20.0,3.64034639708e+14,0.037037037037,0.000187055742611,3.74111485223e-08,0.111111111111,14,0.0454545454545
203.0,-203.0,-380.0,-195.0,700.0,-203.0,-1e+200,423557552.708,21953813.8819,425394878.851,480253019.814,388234809.638,395770516.104,454584517.712,20.0,4.81969943961e+14,0.037037037037,0.000187055742611,3.74111485223e-08,0.111111111111,15,0.0454545454545
