iteration,accepted,SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV
0.0,first,203.0,-203.0,-400.0,-195.0,1200.0,-203.0,-1e+200,427773590.262,17903959.6937,430711542.846
1.0,accepted,203.0,-203.0,-406.983120573,-192.667280641,1218.0,-203.0,-1e+200,429437777.472,19038001.7448,426880520.871
2.0,accepted,203.0,-203.0,-413.231940678,-193.857257258,1184.32661411,-203.0,-1e+200,432752652.53,27299723.3924,433051416.94
3.0,accepted,203.0,-203.0,-417.37625018,-191.296630669,1196.93672968,-203.0,-1e+200,437933830.776,21894605.7823,435334587.661
4.0,rejected,203.0,-203.0,-418.954798837,-193.103806903,1216.45417017,-203.0,-1e+200,432104648.136,15574439.9934,429401389.533
5.0,rerun,203.0,-203.0,-417.37625018,-191.296630669,1196.93672968,-203.0,-1e+200,432983051.602,21667982.6226,431897481.143
6.0,rejected,203.0,-203.0,-420.0,-191.892135874,1188.21193253,-203.0,-1e+200,434836025.443,23751200.0542,433238541.619
7.0,rerun,203.0,-203.0,-417.37625018,-191.296630669,1196.93672968,-203.0,-1e+200,428454406.809,22671041.6133,428569399.338
8.0,accepted,203.0,-203.0,-415.121856395,-191.719275753,1206.94940355,-203.0,-1e+200,433292505.86,24629382.7813,437248312.163
9.0,accepted,203.0,-203.0,-415.656450229,-192.140708852,1215.78710262,-203.0,-1e+200,433379264.051,19774240.0273,433368551.446
10.0,rejected,203.0,-203.0,-413.979735165,-193.555068977,1214.01075009,-203.0,-1e+200,425011782.998,21350427.1461,424095240.894
11.0,rerun,203.0,-203.0,-415.656450229,-192.140708852,1215.78710262,-203.0,-1e+200,432106304.972,23707047.7059,438018445.962
12.0,rejected,203.0,-203.0,-417.196888392,-191.904709306,1205.41092569,-203.0,-1e+200,428868623.303,19891735.4902,428218785.886
13.0,rerun,203.0,-203.0,-415.656450229,-192.140708852,1215.78710262,-203.0,-1e+200,431281150.356,27258805.5013,430171259.083
14.0,rejected,203.0,-203.0,-415.808944728,-192.588448969,1210.09852698,-203.0,-1e+200,423867998.651,21945606.8832,422896760.473
15.0,rerun,203.0,-203.0,-415.656450229,-192.140708852,1215.78710262,-203.0,-1e+200,432496033.867,24401977.8302,427589103.751
16.0,accepted,203.0,-203.0,-415.405947652,-191.772298821,1218.0,-203.0,-1e+200,437051699.529,24890677.3222,433323392.976
17.0,accepted,203.0,-203.0,-415.275068985,-191.992443389,1215.61435253,-203.0,-1e+200,438324262.506,21933876.8073,438433117.327
18.0,accepted,203.0,-203.0,-415.717274081,-192.107436987,1214.07269461,-203.0,-1e+200,439580551.899,27209036.6058,438446021.393
19.0,rejected,203.0,-203.0,-415.073733653,-192.414174571,1213.26412481,-203.0,-1e+200,431696815.438,15160487.3618,430054745.331
20.0,rerun,203.0,-203.0,-415.717274081,-192.107436987,1214.07269461,-203.0,-1e+200,427036918.279,24112130.4262,420631292.48
21.0,accepted,203.0,-203.0,-415.714700739,-191.881100224,1213.3098846,-203.0,-1e+200,443434504.4,23698623.4748,440854855.356
22.0,rejected,203.0,-203.0,-416.064460352,-191.869155427,1215.04524486,-203.0,-1e+200,431443096.301,25608650.5854,427273376.875
23.0,rerun,203.0,-203.0,-415.714700739,-191.881100224,1213.3098846,-203.0,-1e+200,437652073.982,25123290.8332,440056981.228
24.0,rejected,203.0,-203.0,-415.298696963,-191.837190181,1213.52412854,-203.0,-1e+200,432350164.636,25731505.265,423845753.941
25.0,rerun,203.0,-203.0,-415.714700739,-191.881100224,1213.3098846,-203.0,-1e+200,426581246.951,20940534.764,426664757.177
26.0,accepted,203.0,-203.0,-415.862437331,-191.840202297,1212.68840788,-203.0,-1e+200,438647630.016,16385250.0507,433928627.344
27.0,rejected,203.0,-203.0,-415.98149839,-191.866102043,1213.31703165,-203.0,-1e+200,434931922.429,18904299.4201,430345931.109
28.0,rerun,203.0,-203.0,-415.862437331,-191.840202297,1212.68840788,-203.0,-1e+200,425922278.391,22564609.8531,423330709.808
29.0,rejected,203.0,-203.0,-415.952537375,-191.864746333,1212.34570789,-203.0,-1e+200,431448860.884,24609492.8865,431898179.072
30.0,rerun,203.0,-203.0,-415.862437331,-191.840202297,1212.68840788,-203.0,-1e+200,434248933.576,20692149.3105,440301592.87
31.0,rejected,203.0,-203.0,-415.903728969,-191.842135969,1213.01324185,-203.0,-1e+200,431240422.996,24648336.8465,426810696.534
32.0,rerun,203.0,-203.0,-415.862437331,-191.840202297,1212.68840788,-203.0,-1e+200,431103161.155,19856436.8825,430164267.522
33.0,accepted,203.0,-203.0,-415.866846564,-191.838857461,1212.9192789,-203.0,-1e+200,434598369.797,28876290.3633,430083758.421
34.0,rejected,203.0,-203.0,-415.910522664,-191.813246284,1213.22161299,-203.0,-1e+200,433410348.949,24236081.621,428460709.683
