iteration,accepted,npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,mean_NPV,std_NPV,med_NPV
37.0,accepted,1193.0,-1173.65653003,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33703.860142,2510433976.56,6628549.95867,2508142292.76
38.0,rejected,1193.0,-1173.94655797,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33744.8270836,2508352162.71,1471174.15229,2508349865.72
39.0,rerun,1193.0,-1173.65653003,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33703.860142,2511691272.97,4816279.05165,2514117310.04
40.0,rejected,1193.0,-1173.2763373,-2544.34106243,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33755.3720302,2506776170.72,3647844.76306,2504848666.54
41.0,rerun,1193.0,-1173.65653003,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33703.860142,2509714411.93,8100375.21133,2506984598.78
42.0,rejected,1193.0,-1174.10895782,-2530.27081782,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33658.1743691,2509459901.73,10084895.211,2504571826.14
43.0,rerun,1193.0,-1173.65653003,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33703.860142,2504958206.22,931388.085927,2504774045.99
44.0,rejected,1193.0,-1173.43799538,-2519.75657666,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33758.8041512,2506411445.4,6246086.78054,2504508935.67
45.0,rerun,1193.0,-1173.65653003,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33703.860142,2507252190.86,3454675.44254,2506087177.66
46.0,accepted,1193.0,-1173.87928241,-2519.27654271,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6199014,2513064197.17,5837964.91283,2512870551.86
47.0,rejected,1193.0,-1173.41378456,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33710.9114695,2511409676.07,5160101.57635,2511568300.2
48.0,rerun,1193.0,-1173.87928241,-2519.27654271,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6199014,2511009596.62,1402813.16284,2511257148.85
49.0,rejected,1193.0,-1174.14126656,-2522.07604079,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33698.9546831,2507981254.01,4927597.59168,2506988318.85
50.0,rerun,1193.0,-1173.87928241,-2519.27654271,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6199014,2511151404.18,5841225.0595,2513897364.03
51.0,rejected,1193.0,-1173.80941357,-2524.48507489,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33746.3910439,2506580682.76,3283396.65272,2506249466.64
52.0,rerun,1193.0,-1173.87928241,-2519.27654271,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6199014,2510430651.32,1778946.86863,2509554570.52
53.0,rejected,1193.0,-1173.74775998,-2517.40357024,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33719.2946851,2508736211.15,5963784.42021,2508554116.42
54.0,rerun,1193.0,-1173.87928241,-2519.27654271,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6199014,2515290780.62,3200941.61019,2514819938.55
55.0,rejected,1193.0,-1173.80950902,-2517.19372607,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33735.0147232,2507413579.86,2963516.97196,2508882908.19
56.0,rerun,1193.0,-1173.87928241,-2519.27654271,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6199014,2510201787.23,5646560.23415,2511329335.42
57.0,rejected,1193.0,-1173.95774916,-2518.95565223,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.1999635,2508904807.95,2431523.63179,2509813184.52
58.0,rerun,1193.0,-1173.87928241,-2519.27654271,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6199014,2511676354.84,3631864.20851,2509596449.51
59.0,rejected,1193.0,-1173.84182637,-2518.54121802,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33732.1567881,2508866613.97,2680443.69245,2509621079.54
60.0,rerun,1193.0,-1173.87928241,-2519.27654271,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6199014,2512612336.71,3688409.84755,2512999601.69
61.0,rejected,1193.0,-1173.90865412,-2518.7818881,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.4982386,2510471630.38,7645331.484,2511996869.82
62.0,rerun,1193.0,-1173.87928241,-2519.27654271,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6199014,2509947176.34,7965965.21312,2509869590.82
63.0,rejected,1193.0,-1173.89383107,-2518.81034427,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6856572,2505660218.75,5965729.27596,2503928597.88
64.0,rerun,1193.0,-1173.87928241,-2519.27654271,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6199014,2511202208.58,6901476.09864,2510834680.07
65.0,rejected,1193.0,-1173.89070856,-2519.04453974,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33730.2225423,2504311763.0,1982804.42617,2505266259.86
66.0,rerun,1193.0,-1173.87928241,-2519.27654271,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6199014,2510662488.09,5974909.28997,2508613320.95
67.0,rejected,1193.0,-1173.88379632,-2519.42820029,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33728.8365374,2509717353.07,1361375.98186,2510484324.02
68.0,rerun,1193.0,-1173.87928241,-2519.27654271,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6199014,2511171903.76,6556081.26788,2508918842.71
69.0,rejected,1193.0,-1173.88324939,-2519.15899365,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.2598379,2508676334.21,625882.721843,2508392378.05
70.0,rerun,1193.0,-1173.87928241,-2519.27654271,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6199014,2512902891.68,2226456.7111,2513097948.65
71.0,rejected,1193.0,-1173.88052373,-2519.27430916,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.1371652,2509879250.58,5573893.11216,2507788390.77
72.0,rerun,1193.0,-1173.87928241,-2519.27654271,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6199014,2504648678.47,1260650.08888,2504771677.76
73.0,rejected,1193.0,-1173.87831034,-2519.23138069,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.8714137,2505529381.55,6179893.10631,2503809800.59
74.0,rerun,1193.0,-1173.87928241,-2519.27654271,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6199014,2505951754.14,4056680.92891,2507821933.69
75.0,accepted,1193.0,-1173.87755537,-2519.3048373,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.5993874,2512571403.61,300360.184451,2512735743.23
76.0,rejected,1193.0,-1173.8763808,-2519.33832477,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6909177,2505886003.23,1461535.80827,2506380484.84
77.0,rerun,1193.0,-1173.87755537,-2519.3048373,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.5993874,2513119940.98,2328951.91055,2514391730.86
78.0,rejected,1193.0,-1173.87841895,-2519.31053772,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.70293,2509739649.5,5410613.43887,2509174562.75
79.0,rerun,1193.0,-1173.87755537,-2519.3048373,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.5993874,2509330229.26,6103163.63231,2511501009.73
80.0,rejected,1193.0,-1173.87758005,-2519.29464647,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6827746,2507044677.28,4437097.89764,2506252345.23
81.0,rerun,1193.0,-1173.87755537,-2519.3048373,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.5993874,2508192985.82,9075737.11788,2506441460.87
82.0,rejected,1193.0,-1173.87775265,-2519.3186406,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.5992765,2507394922.65,2882546.40475,2506951192.74
83.0,rerun,1193.0,-1173.87755537,-2519.3048373,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.5993874,2511095080.44,2227694.7446,2511445114.83
84.0,rejected,1193.0,-1173.87769924,-2519.31139247,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.626302,2506857963.93,3293201.17832,2507271868.07
85.0,rerun,1193.0,-1173.87755537,-2519.3048373,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.5993874,2511140661.99,7257114.4644,2512963414.65
86.0,rejected,1193.0,-1173.87748143,-2519.3078202,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.5758956,2508522152.64,3434036.33916,2507564907.02
87.0,rerun,1193.0,-1173.87755537,-2519.3048373,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.5993874,2506502552.07,2939318.64642,2505913280.09
88.0,rejected,1193.0,-1173.87758726,-2519.30088613,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.5924466,2505762533.5,6773756.81065,2503553137.76
89.0,rerun,1193.0,-1173.87755537,-2519.3048373,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.5993874,2514152937.43,4477757.19917,2513812750.12
90.0,accepted,1193.0,-1173.87747417,-2519.30556503,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6076173,2514877844.51,3001255.84214,2515198119.93
91.0,rejected,1193.0,-1173.87752242,-2519.30719433,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6033185,2513796978.28,1979730.51976,2513813889.45
92.0,rerun,1193.0,-1173.87747417,-2519.30556503,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6076173,2510980172.29,4316465.56425,2513232132.95
93.0,rejected,1193.0,-1173.87752318,-2519.30629324,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6096893,2508928447.94,6102583.90203,2512155462.46
94.0,rerun,1193.0,-1173.87747417,-2519.30556503,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6076173,2510201509.96,5759714.91829,2509210337.56
95.0,rejected,1193.0,-1173.8774947,-2519.30541519,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6112622,2508905165.26,6465374.35244,2506549745.75
96.0,rerun,1193.0,-1173.87747417,-2519.30556503,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6076173,2505816747.52,8878125.66255,2502796003.26
97.0,rejected,1193.0,-1173.87748651,-2519.30507276,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6090505,2509383226.11,6283998.13761,2506570450.85
98.0,rerun,1193.0,-1173.87747417,-2519.30556503,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6076173,2506803444.25,5290268.6592,2506381052.05
99.0,accepted,1193.0,-1173.8774836,-2519.30519134,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6073319,2510830172.31,4213124.49582,2509986770.25
100.0,rejected,1193.0,-1173.87748343,-2519.30444984,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6082195,2505379291.91,5439614.93615,2503457862.61
101.0,rerun,1193.0,-1173.8774836,-2519.30519134,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6073319,2511278791.42,8766303.46267,2514179280.68
102.0,rejected,1193.0,-1173.87749804,-2519.30522558,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6088789,2511001876.7,7151844.84589,2513101007.46
103.0,rerun,1193.0,-1173.8774836,-2519.30519134,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6073319,2507252011.39,2963918.58537,2507897251.08
104.0,accepted,1193.0,-1173.87747127,-2519.30504973,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.607469,2511946879.8,4985573.8103,2514772898.63
105.0,rejected,1193.0,-1173.87747185,-2519.30516927,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6084941,2510474550.43,5763402.74887,2509284900.62
106.0,rerun,1193.0,-1173.87747127,-2519.30504973,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.607469,2506323092.38,7240889.99607,2504723522.12
107.0,accepted,1193.0,-1173.877466,-2519.30504816,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6069552,2511186572.74,5845263.88547,2511563212.16
