npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-ft_capacity
1280.0,-1265.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,south_texas_project,west_south_central,covid,2735808100.17,8560.22285127,2735806739.73,2735819766.06,2735799155.15,2735800276.33,2735817828.62,4.0,73277415.2634,0.00945975151321,0.124990624766,1,0.263948497854,7.33015574597e-14,0.286736576035
1280.0,-1265.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,south_texas_project,west_south_central,covid,2770084262.67,3779635.27229,2769980540.67,2774814379.31,2765561590.01,2766215660.19,2774098075.93,4.0,1.42856427916e+13,0.0283820927489,0.375009375234,7,0.263948497854,7.33015574597e-14,0.286736576035
1280.0,-1265.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,400000.0,ref,south_texas_project,west_south_central,covid,2795512369.41,1953609.78231,2796395839.61,2796658456.89,2792599341.51,2793137087.36,2796650793.17,4.0,3.81659118155e+12,0.0189213951659,0.250006250156,10,0.263948497854,7.33015574597e-14,0.286736576035
1280.0,-1265.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,south_texas_project,west_south_central,covid,2752444512.57,806436.387103,2752271593.71,2753573089.56,2751661773.29,2751745859.5,2753385252.04,4.0,650339646444.0,0.0189204490962,0.249993749844,4,0.263948497854,7.33015574597e-14,0.286736576035
1280.0,-1265.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,south_texas_project,west_south_central,covid,1845246273.73,7346791.70602,1844662001.05,1854684416.16,1836976676.67,1837923299.58,1853387229.64,4.0,5.39753483717e+13,0.0164955438264,0.124990624766,13,0.263948497854,7.33015574597e-14,0.5
1280.0,-1265.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,south_texas_project,west_south_central,covid,2070085835.48,50771462.2322,2073401113.85,2128717789.11,2004823325.09,2014708330.19,2120821951.04,4.0,2.5777413772e+15,0.0494915806372,0.375009375234,19,0.263948497854,7.33015574597e-14,0.5
1280.0,-650.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,south_texas_project,west_south_central,covid,2458699861.01,51476833.2494,2464832138.51,2508601621.53,2396533545.48,2402643736.14,2506170797.37,4.0,2.64986436139e+15,0.0312476561914,0.124990624766,14,0.5,7.33015574597e-14,0.5
1280.0,-1265.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,south_texas_project,west_south_central,covid,2076273143.35,40726713.9007,2065197643.72,2130485209.94,2044212076.01,2044428567.87,2123623418.3,4.0,1.65866522515e+15,0.0329927373721,0.249993749844,16,0.263948497854,7.33015574597e-14,0.5
1280.0,-650.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,south_texas_project,west_south_central,covid,2535581639.7,55474101.3855,2516792785.75,2616852977.56,2491888009.73,2495257497.98,2602210176.95,4.0,3.07737592453e+15,0.0624984374609,0.249993749844,17,0.5,7.33015574597e-14,0.5
1280.0,-650.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,south_texas_project,west_south_central,covid,2530624717.83,41328940.5479,2539649101.62,2570242665.41,2472958002.64,2482097810.97,2566517487.37,4.0,1.70808132681e+15,0.0937523438086,0.375009375234,20,0.5,7.33015574597e-14,0.5
