,index,npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
0,3,1280.0,-1265.0,-31789.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,400000.0,ref,south_texas_project,west_south_central,covid,2797598309.83,4541151.85337,2797959426.35,2805002242.69,2788847658.46,2790699756.19,2803386560.25,10.0,20622060155400.0,0.286736576035,10,0.263948497854,7.33015574597e-14,0.250006250156,0.018921395165900003
1,2,1280.0,-1265.0,-31789.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,200000.0,ref,south_texas_project,west_south_central,covid,2768454338.29,2624526.3844,2768564904.35,2774309517.63,2764999664.17,2765004221.44,2772110466.01,10.0,6888138742440.0,0.286736576035,7,0.263948497854,7.33015574597e-14,0.375009375234,0.0283820927489
2,1,1280.0,-1265.0,-31789.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,100000.0,ref,south_texas_project,west_south_central,covid,2751967256.84,1149465.0548,2751832377.83,2753551369.19,2750057964.52,2750202028.53,2753330734.63,10.0,1321269912210.0,0.286736576035,4,0.263948497854,7.33015574597e-14,0.249993749844,0.0189204490962
3,0,1280.0,-1265.0,-31789.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,south_texas_project,west_south_central,covid,2735808448.15,5639.88201623,2735809119.48,2735816040.49,2735799569.99,2735800179.75,2735815156.96,10.0,31808269.156999998,0.286736576035,1,0.263948497854,7.33015574597e-14,0.12499062476600001,0.00945975151321
4,10,1280.0,-650.0,-15000.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,400000.0,ref,south_texas_project,west_south_central,covid,2557245875.02,34272377.8312,2548480239.33,2625220462.87,2522213452.46,2524685442.93,2614750368.76,10.0,1174595882200000.0,0.5,23,0.5,7.33015574597e-14,0.250006250156,0.0625015625391
5,6,1280.0,-650.0,-15000.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,200000.0,ref,south_texas_project,west_south_central,covid,2543883758.85,35868592.3259,2534469209.35,2609708651.0,2499649462.1,2504998774.81,2602871633.88,10.0,1286555915440000.0,0.5,20,0.5,7.33015574597e-14,0.375009375234,0.09375234380860001
6,9,1280.0,-650.0,-15000.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,100000.0,ref,south_texas_project,west_south_central,covid,2534381308.51,38481200.1899,2534728377.1,2602456548.29,2481605749.78,2484499826.43,2587378438.42,10.0,1480802768050000.0,0.5,17,0.5,7.33015574597e-14,0.249993749844,0.0624984374609
7,5,1280.0,-650.0,-15000.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,south_texas_project,west_south_central,covid,2469639355.27,40900925.2897,2477726409.25,2510601079.56,2368042444.4,2407556139.63,2509014534.62,10.0,1672885689550000.0,0.5,14,0.5,7.33015574597e-14,0.12499062476600001,0.031247656191400002
8,21,1280.0,-100.0,-2513.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,400000.0,ref,south_texas_project,west_south_central,covid,2463083693.25,28531088.5351,2467512707.95,2506869535.71,2413371210.41,2416423202.76,2500755925.6,10.0,814023012996000.0,0.21326342396499998,36,0.23605150214600001,7.33015574597e-14,0.250006250156,0.012585602535
9,23,1280.0,-100.0,-2513.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,200000.0,ref,south_texas_project,west_south_central,covid,2449137804.7,41954928.2631,2429255441.13,2518247034.8,2406165416.51,2408785426.41,2511313257.98,10.0,1760216005560000.0,0.21326342396499998,33,0.23605150214600001,7.33015574597e-14,0.375009375234,0.0188784038025
10,17,1280.0,-100.0,-2513.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,100000.0,ref,south_texas_project,west_south_central,covid,2431089729.29,51134909.6824,2430584463.14,2506771739.62,2365324869.01,2368491065.67,2502217153.27,10.0,2614778988230000.0,0.21326342396499998,30,0.23605150214600001,7.33015574597e-14,0.249993749844,0.0125849732549
