npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix
1280.0,-1265.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,500000.0,ref,south_texas_project,west_south_central,covid,2809791653.96,4238883.38797,2810659071.75,2814982999.12,2802602679.39,2803300281.56,2814740467.16,10.0,1.79681323768e+13,0.00126139176037,0.263948497854,0.286736576035,2.44332436764e-16,0.0166666263889,4
1280.0,-1265.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,south_texas_project,west_south_central,covid,2735806392.84,6251.61911461,2735805493.17,2735819582.06,2735797358.44,2735799324.52,2735816300.11,10.0,39082741.5542,0.000157671210744,0.263948497854,0.286736576035,2.44332436764e-16,0.00208329184027,1
1280.0,-1265.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,4000000.0,ref,south_texas_project,west_south_central,covid,2713954166.51,34670349.7978,2703520447.77,2771964214.68,2652099451.75,2670223551.84,2765963360.15,10.0,1.2020331551e+15,0.00236511546348,0.263948497854,0.286736576035,2.44332436764e-16,0.0312500026042,7
1280.0,-1265.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8000000.0,ref,south_texas_project,west_south_central,covid,2037217215.62,49479888.6252,2059273567.06,2092071339.71,1949752737.18,1955747631.34,2086856848.49,10.0,2.44825937836e+15,0.00378418474156,0.263948497854,0.286736576035,2.44332436764e-16,0.0500000041667,10
1280.0,-650.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8000000.0,ref,south_texas_project,west_south_central,covid,2678880168.86,96231544.6733,2702324095.07,2799093169.87,2485956220.45,2520550469.61,2792089909.39,10.0,9.26051019021e+15,0.00716841499824,0.5,0.286736576035,2.44332436764e-16,0.0500000041667,11
1280.0,-100.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8000000.0,ref,south_texas_project,west_south_central,covid,3290986571.86,92252786.2465,3287152173.55,3414496740.85,3094571458.97,3159630644.38,3412548303.77,10.0,8.51057657024e+15,0.00338423025668,0.236051502146,0.286736576035,2.44332436764e-16,0.0500000041667,12
1280.0,-650.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,4000000.0,ref,south_texas_project,west_south_central,covid,3053959196.15,49804650.6547,3051714436.22,3167622690.54,2970352537.01,2995162695.39,3125418128.53,10.0,2.48050322684e+15,0.0044802593739,0.5,0.286736576035,2.44332436764e-16,0.0312500026042,8
1280.0,-1265.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16000000.0,ref,south_texas_project,west_south_central,covid,-1585956556.12,55480725.0785,-1593832382.49,-1496014857.7,-1672974197.65,-1667614363.04,-1516432412.11,10.0,3.07811085523e+15,0.00756836948312,0.263948497854,0.286736576035,2.44332436764e-16,0.100000008333,13
1280.0,-650.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16000000.0,ref,south_texas_project,west_south_central,covid,-907563323.782,80306399.4296,-913543080.856,-733544341.598,-1033245283.21,-998988592.773,-780607906.899,10.0,6.44911778935e+15,0.0143368299965,0.5,0.286736576035,2.44332436764e-16,0.100000008333,14
1280.0,-100.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16000000.0,ref,south_texas_project,west_south_central,covid,-294840544.964,63664401.5251,-278317998.635,-210102207.718,-403028606.862,-390626119.368,-221198762.44,10.0,4.05315602155e+15,0.00676846051336,0.236051502146,0.286736576035,2.44332436764e-16,0.100000008333,15
1280.0,-650.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,32000000.0,ref,south_texas_project,west_south_central,covid,-8229749308.04,66767795.7254,-8214604294.08,-8158714490.86,-8363250510.47,-8339032569.56,-8161140219.07,10.0,4.45793854602e+15,0.028673659993,0.5,0.286736576035,2.44332436764e-16,0.200000016667,17
1280.0,-100.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,32000000.0,ref,south_texas_project,west_south_central,covid,-7530949308.08,61963051.337,-7528695664.81,-7424692141.79,-7620902267.2,-7606611602.74,-7436286179.9,10.0,3.83941973099e+15,0.0135369210267,0.236051502146,0.286736576035,2.44332436764e-16,0.200000016667,18
1280.0,-1265.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,64000000.0,ref,south_texas_project,west_south_central,covid,-23291418767.7,60603687.4928,-23308618074.5,-23172849119.3,-23366452793.0,-23362905405.6,-23203483346.9,10.0,3.67280693773e+15,0.0277506881048,0.263948497854,0.286736576035,2.44332436764e-16,0.366666697222,19
1280.0,-1265.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,32000000.0,ref,south_texas_project,west_south_central,covid,-8862262570.47,98711981.4231,-8883320662.25,-8666269466.96,-9009120737.06,-8973280779.18,-8701777394.4,10.0,9.74405527647e+15,0.0151367389662,0.263948497854,0.286736576035,2.44332436764e-16,0.200000016667,16
1280.0,-650.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,64000000.0,ref,south_texas_project,west_south_central,covid,-22594521641.4,45432079.0619,-22603376380.7,-22515050691.8,-22668313073.9,-22651325411.6,-22529054022.7,10.0,2.06407380789e+15,0.0525683766538,0.5,0.286736576035,2.44332436764e-16,0.366666697222,20
1280.0,-100.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,64000000.0,ref,south_texas_project,west_south_central,covid,-22017359935.2,73436138.8286,-22005529985.1,-21929971643.5,-22153915254.0,-22125658633.7,-21936726772.0,10.0,5.39286648605e+15,0.024817688549,0.236051502146,0.286736576035,2.44332436764e-16,0.366666697222,21
1280.0,-1265.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120000000.0,ref,south_texas_project,west_south_central,covid,-48575279110.6,48052646.1171,-48577951283.0,-48493926474.7,-48659353034.1,-48640138807.4,-48504473647.2,10.0,2.30905679886e+15,0.017659528794,0.263948497854,0.286736576035,2.44332436764e-16,0.233333352778,22
