npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,PointProbability,ProbabilityWeight-h2_storage_capacity
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,3390561973.38,160.401226858,3390562052.42,3390562078.92,3390561788.8,3390561815.16,3390562076.27,3.0,25728.5535777,0.5,0.0016392965666,0.131268436578,1,7.67977975791e-13,0.0249762488124
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,3390571137.38,7361.94890182,3390574453.36,3390575514.79,3390560128.0,3390562225.36,3390575407.03,4.0,54198291.633,0.5,0.00820304658301,0.131268436578,5,7.67977975791e-13,0.124981249062
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,50000.0,ref,braidwood,illinois,covid,3390670125.82,131175.70887,3390654179.83,3390819622.06,3390552521.54,3390554809.05,3390807766.96,4.0,17207066597.5,0.5,0.0147684375369,0.131268436578,9,7.67977975791e-13,0.225011250563
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,3391050192.33,359146.101189,3391002332.7,3391450571.62,3390745532.31,3390745919.4,3391421468.75,4.0,128985921999.0,0.5,0.0246140625615,0.131268436578,13,7.67977975791e-13,0.375018750938
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,3390704984.99,167941.577014,3390684827.13,3390927665.62,3390522620.08,3390543670.25,3390894520.73,4.0,28204373290.0,0.5,0.016409375041,0.131268436578,17,7.67977975791e-13,0.250012500625
1193.0,-1000.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,2671885160.24,3648532.20634,2673314922.18,2674439946.62,2666470849.99,2667489787.01,2674278866.76,4.0,1.33117872607e+13,0.5,0.0197241794243,0.315634218289,26,7.67977975791e-13,0.124981249062
1193.0,-1000.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2632190530.34,2598123.34326,2632789899.2,2634381678.0,2628800644.96,2629208120.23,2634333824.05,4.0,6.75024490677e+12,0.5,0.00394167938485,0.315634218289,22,7.67977975791e-13,0.0249762488124
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2454126357.65,5148251.59011,2452488573.23,2461304485.09,2450223799.03,2450275114.46,2460270499.02,4.0,2.65044944351e+13,0.5,0.0016392965666,0.131268436578,21,7.67977975791e-13,0.0249762488124
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,2501979826.8,2067149.88245,2502721972.96,2503536282.59,2498939078.69,2499483019.66,2503437629.32,4.0,4.27310863653e+12,0.5,0.00820304658301,0.131268436578,25,7.67977975791e-13,0.124981249062
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,50000.0,ref,braidwood,illinois,covid,2564085029.55,3016937.5978,2564061938.64,2567014630.33,2561201610.59,2561288475.55,2566913910.83,4.0,9.10191246902e+12,0.5,0.0147684375369,0.131268436578,29,7.67977975791e-13,0.225011250563
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,2563755617.9,824855.025533,2563753062.8,2564726304.61,2562790041.38,2562891205.41,2564623607.53,4.0,680385813147.0,0.5,0.016409375041,0.131268436578,37,7.67977975791e-13,0.250012500625
1193.0,-1000.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,50000.0,ref,braidwood,illinois,covid,2710372210.5,3733298.24687,2711624506.52,2713159962.69,2705079866.26,2705881075.86,2713110130.7,4.0,1.39375158001e+13,0.5,0.0355106250888,0.315634218289,30,7.67977975791e-13,0.225011250563
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2569814399.25,3129855.22496,2569413712.93,2573950580.09,2566479591.03,2566822617.23,2573367142.11,4.0,9.79599372923e+12,0.5,0.0246140625615,0.131268436578,33,7.67977975791e-13,0.375018750938
1193.0,-1000.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2712261959.12,3459434.07704,2710872064.85,2717400036.92,2709903669.86,2710019293.47,2716450476.75,4.0,1.19676841334e+13,0.5,0.059184375148,0.315634218289,34,7.67977975791e-13,0.375018750938
1193.0,-1000.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,2705580376.3,3226614.24268,2705835096.59,2708448581.21,2702202730.83,2702388394.96,2708415749.25,4.0,1.04110394711e+13,0.5,0.0394562500986,0.315634218289,38,7.67977975791e-13,0.250012500625
