iteration,accepted,turbine_capacity,htse_capacity,ft_capacity,CO2_source_capacity,elec_market_capacity,syngas_market_capacity,h2_storage_capacity,mean_NPV
0.0,first,5950.0,-5950.0,5000.95,5000.95,-1e+200,-1.0,500.95,60221298.6996
1.0,accepted,50223.5989384,-5950.0,5000.95,5000.95,-1e+200,-1.0,478.721498043,510004199.916
2.0,accepted,94497.1978767,-5950.0,5000.95,5000.95,-1e+200,-1.0,456.492996083,959787101.132
3.0,accepted,100000.0,-5950.0,5000.95,5000.95,-1e+200,-1.0,412.035992174,1015711835.95
4.0,accepted,100000.0,-5950.0,5000.95,5000.95,-1e+200,-1.0,323.294374678,1015756206.76
