RAVEN_sample_ID,hour,_ROM_Cluster,Year,scaling,Dispatch__npp__production__electricity,Dispatch__htse__production__h2,Dispatch__htse__production__electricity,Dispatch__ft__production__naphtha,Dispatch__ft__production__diesel,Dispatch__ft__production__jet_fuel,Dispatch__ft__production__h2,Dispatch__ft_elec_consumption__production__electricity,Dispatch__electricity_market__production__electricity,Dispatch__naphtha_market__production__naphtha,Dispatch__jet_fuel_market__production__jet_fuel,Dispatch__diesel_market__production__diesel,Dispatch__h2_storage__level__h2,Dispatch__h2_storage__charge__h2,Dispatch__h2_storage__discharge__h2,price,ProbabilityWeight,PointProbability,prefix
0,0.0,0,2012,1.0,894.0,22089.27,-879.0,15274.752,10252.63,18504.747,-22089.0,-14.9,-0.1,-15274.752,-18504.747,-10252.63,1.2561445,-0.27,0.0,21.920673614,1.0,1.0,1_0
0,0.0,0,2013,1.0,894.0,22089.27,-879.0,15274.752,10252.63,18504.747,-22089.0,-14.9,-0.1,-15274.752,-18504.747,-10252.63,1.2561445,-0.27,0.0,23.25991304,1.0,1.0,1_0
0,0.0,0,2014,1.0,894.0,22089.27,-879.0,15274.752,10252.63,18504.747,-22089.0,-14.9,-0.1,-15274.752,-18504.747,-10252.63,1.2561445,-0.27,0.0,23.9173865392,1.0,1.0,1_0
0,0.0,0,2015,1.0,894.0,22089.27,-879.0,15274.752,10252.63,18504.747,-22089.0,-14.9,-0.1,-15274.752,-18504.747,-10252.63,1.2561445,-0.27,0.0,17.9268994662,1.0,1.0,1_0
0,0.0,0,2016,1.0,894.0,22089.27,-879.0,15274.752,10252.63,18504.747,-22089.0,-14.9,-0.1,-15274.752,-18504.747,-10252.63,1.2561445,-0.27,0.0,22.0753297398,1.0,1.0,1_0
0,0.0,0,2017,1.0,894.0,22089.27,-879.0,15274.752,10252.63,18504.747,-22089.0,-14.9,-0.1,-15274.752,-18504.747,-10252.63,1.2561445,-0.27,0.0,16.8576828453,1.0,1.0,1_0
0,0.0,0,2018,1.0,894.0,22089.27,-879.0,15274.752,10252.63,18504.747,-22089.0,-14.9,-0.1,-15274.752,-18504.747,-10252.63,1.2561445,-0.27,0.0,95.4127930386,1.0,1.0,1_0
0,0.0,0,2019,1.0,894.0,22089.27,-879.0,15274.752,10252.63,18504.747,-22089.0,-14.9,-0.1,-15274.752,-18504.747,-10252.63,1.2561445,-0.27,0.0,19.2670409082,1.0,1.0,1_0
0,0.0,0,2020,1.0,894.0,22089.27,-879.0,15274.752,10252.63,18504.747,-22089.0,-14.9,-0.1,-15274.752,-18504.747,-10252.63,1.2561445,-0.27,0.0,13.6653639559,1.0,1.0,1_0
0,0.0,0,2021,1.0,894.0,22089.27,-879.0,15274.752,10252.63,18504.747,-22089.0,-14.9,-0.1,-15274.752,-18504.747,-10252.63,1.2561445,-0.27,0.0,22.6270275299,1.0,1.0,1_0
0,0.0,0,2022,1.0,894.0,22089.27,-879.0,15274.752,10252.63,18504.747,-22089.0,-14.9,-0.1,-15274.752,-18504.747,-10252.63,1.2561445,-0.27,0.0,19.8246483551,1.0,1.0,1_0
0,0.0,0,2023,1.0,894.0,22089.27,-879.0,15274.752,10252.63,18504.747,-22089.0,-14.9,-0.1,-15274.752,-18504.747,-10252.63,1.2561445,-0.27,0.0,23.8254688401,1.0,1.0,1_0
0,0.0,0,2024,1.0,894.0,22089.27,-879.0,15274.752,10252.63,18504.747,-22089.0,-14.9,-0.1,-15274.752,-18504.747,-10252.63,1.2561445,-0.27,0.0,24.9692159216,1.0,1.0,1_0
0,0.0,0,2025,1.0,894.0,22089.27,-879.0,15274.752,10252.63,18504.747,-22089.0,-14.9,-0.1,-15274.752,-18504.747,-10252.63,1.2561445,-0.27,0.0,24.2219580661,1.0,1.0,1_0
0,0.0,0,2026,1.0,894.0,22089.27,-879.0,15274.752,10252.63,18504.747,-22089.0,-14.9,-0.1,-15274.752,-18504.747,-10252.63,1.2561445,-0.27,0.0,21.2924667819,1.0,1.0,1_0
0,0.0,0,2027,1.0,894.0,22089.27,-879.0,15274.752,10252.63,18504.747,-22089.0,-14.9,-0.1,-15274.752,-18504.747,-10252.63,1.2561445,-0.27,0.0,17.9431280078,1.0,1.0,1_0
0,0.0,0,2028,1.0,894.0,22089.27,-879.0,15274.752,10252.63,18504.747,-22089.0,-14.9,-0.1,-15274.752,-18504.747,-10252.63,1.2561445,-0.27,0.0,85.5783748977,1.0,1.0,1_0
0,0.0,0,2029,1.0,894.0,22089.27,-879.0,15274.752,10252.63,18504.747,-22089.0,-14.9,-0.1,-15274.752,-18504.747,-10252.63,1.2561445,-0.27,0.0,19.6001445148,1.0,1.0,1_0
0,0.0,0,2030,1.0,894.0,22089.27,-879.0,15274.752,10252.63,18504.747,-22089.0,-14.9,-0.1,-15274.752,-18504.747,-10252.63,1.2561445,-0.27,0.0,13.270749126,1.0,1.0,1_0
