iteration,accepted,H2_storage_capacity,H2_market_capacity,Secondary_capacity,E_Penalty_capacity,IES_delta_cap,NPP_bid_adjust,mean_NPV
0.0,first,50000.0,-1.0,10000.0,-10000.0,0.25,5000.0,8205796777.89
1.0,rejected,0.0,0.0,10000.0,-10000.0,1.64806588783,4366.64469156,8174812873.26
2.0,rerun,50000.0,-1.0,10000.0,-10000.0,0.25,5000.0,8279856135.16
3.0,accepted,379862.475482,-0.6094810889,10000.0,-10000.0,0.0,42586.6037628,8224908921.22
4.0,rejected,509444.83119,-1.58432678501,10000.0,-10000.0,0.0,52953.4952485,7902826605.82
5.0,rerun,379862.475482,-0.6094810889,10000.0,-10000.0,0.0,42586.6037628,7872971380.34
6.0,rejected,666493.760241,-6.09954873114,10000.0,-10000.0,1.17405014986,27370.0052155,6773158562.66
7.0,rerun,379862.475482,-0.6094810889,10000.0,-10000.0,0.0,42586.6037628,7981650146.17
8.0,accepted,286039.574198,0.0,10000.0,-10000.0,1.15291939906,77447.9042706,8419866261.59
9.0,rejected,447770.209973,0.0,10000.0,-10000.0,0.310070687092,43793.0763704,8320534166.26
10.0,rerun,286039.574198,0.0,10000.0,-10000.0,1.15291939906,77447.9042706,8568030538.84
11.0,accepted,474464.941115,0.0,10000.0,-10000.0,0.0940860305781,96724.252672,8622996369.58
12.0,rejected,234691.345359,0.0,10000.0,-10000.0,1.15676746108,96407.3999395,8287899390.03
13.0,rerun,474464.941115,0.0,10000.0,-10000.0,0.0940860305781,96724.252672,8229680570.68
14.0,rejected,342021.32916,0.0,10000.0,-10000.0,0.0,100000.0,8489717731.32
15.0,rerun,474464.941115,0.0,10000.0,-10000.0,0.0940860305781,96724.252672,8246586920.44
16.0,rejected,555936.014878,-1.25685067764,10000.0,-10000.0,0.0,84376.1486768,7930030033.7
17.0,rerun,474464.941115,0.0,10000.0,-10000.0,0.0940860305781,96724.252672,8456894640.61
18.0,rejected,440983.712475,0.0,10000.0,-10000.0,0.145377334026,67519.8110022,8582585032.96
19.0,rerun,474464.941115,0.0,10000.0,-10000.0,0.0940860305781,96724.252672,8297568808.54
20.0,rejected,600420.710571,0.0,10000.0,-10000.0,0.0,78409.0805761,8289714083.6
21.0,rerun,474464.941115,0.0,10000.0,-10000.0,0.0940860305781,96724.252672,8723570730.49
22.0,rejected,385783.88326,0.0,10000.0,-10000.0,0.0,100000.0,7958976104.47
23.0,rerun,474464.941115,0.0,10000.0,-10000.0,0.0940860305781,96724.252672,8469072737.84
24.0,rejected,412341.298805,-3.51807330934,10000.0,-10000.0,0.698235253582,99055.4567559,7558051662.45
25.0,rerun,474464.941115,0.0,10000.0,-10000.0,0.0940860305781,96724.252672,8195694767.06
26.0,rejected,518409.004443,-1.20847074431,10000.0,-10000.0,1.03753923115,95773.4115083,8216162559.59
27.0,rerun,474464.941115,0.0,10000.0,-10000.0,0.0940860305781,96724.252672,8219770035.54
28.0,rejected,596082.021826,-1.87934186755,10000.0,-10000.0,0.469287646235,100000.0,7830714065.84
29.0,rerun,474464.941115,0.0,10000.0,-10000.0,0.0940860305781,96724.252672,8336563396.67
30.0,rejected,555924.997831,-0.830750962055,10000.0,-10000.0,0.298596547577,83248.9352441,7980167393.38
31.0,rerun,474464.941115,0.0,10000.0,-10000.0,0.0940860305781,96724.252672,8432276743.17
32.0,rejected,380695.310147,0.0,10000.0,-10000.0,0.0388700367592,84771.4136619,8254010839.25
33.0,rerun,474464.941115,0.0,10000.0,-10000.0,0.0940860305781,96724.252672,8342337379.7
34.0,rejected,401179.766082,0.0,10000.0,-10000.0,0.445031822195,88808.6131296,8609835345.41
35.0,rerun,474464.941115,0.0,10000.0,-10000.0,0.0940860305781,96724.252672,8245448875.47
36.0,rejected,447265.938746,-0.852329949551,10000.0,-10000.0,0.0,88943.8225127,8178707104.27
37.0,rerun,474464.941115,0.0,10000.0,-10000.0,0.0940860305781,96724.252672,8354045770.99
38.0,rejected,525385.942237,0.0,10000.0,-10000.0,0.0,96638.9167277,8080910224.52
39.0,rerun,474464.941115,0.0,10000.0,-10000.0,0.0940860305781,96724.252672,8336615087.46
40.0,rejected,464138.084543,0.0,10000.0,-10000.0,0.191683405507,89285.5678058,8378019408.25
