SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-TES_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-Charger_capacity,prefix
203.0,-203.0,-400.0,-195.0,300.0,-203.0,-1e+200,294763631.179,400820.098053,294830261.263,295713841.651,293896919.476,294169188.245,295184220.851,20.0,160656751003.0,0.0357142857143,0.05,5.95238095238e-05,4.7619047619e-08,0.0333333333333,1
203.0,-203.0,-400.0,-195.0,400.0,-203.0,-1e+200,298894163.165,419650.071697,298931426.302,299546966.413,298017702.253,298151018.046,299363984.663,20.0,176106182675.0,0.0357142857143,0.1,0.000119047619048,4.7619047619e-08,0.0333333333333,2
203.0,-203.0,-400.0,-195.0,500.0,-203.0,-1e+200,300481508.22,472687.762805,300418759.839,301442830.55,299742817.041,299784197.325,301326083.319,20.0,223433721106.0,0.0357142857143,0.1,0.000119047619048,4.7619047619e-08,0.0333333333333,3
203.0,-203.0,-400.0,-195.0,600.0,-203.0,-1e+200,301214145.416,440058.222818,301228996.698,302523028.246,300525083.954,300748752.557,301883055.837,20.0,193651239469.0,0.0357142857143,0.1,0.000119047619048,4.7619047619e-08,0.0333333333333,4
203.0,-203.0,-400.0,-195.0,700.0,-203.0,-1e+200,301481445.149,587222.897952,301316692.455,302434152.237,300620724.651,300834212.623,302399727.465,20.0,344830731879.0,0.0357142857143,0.1,0.000119047619048,4.7619047619e-08,0.0333333333333,5
203.0,-203.0,-400.0,-195.0,800.0,-203.0,-1e+200,301408512.255,374536.338171,301395883.06,302497435.597,300744374.057,300891713.297,301768531.921,20.0,140277468611.0,0.0357142857143,0.1,0.000119047619048,4.7619047619e-08,0.0333333333333,6
203.0,-203.0,-400.0,-195.0,900.0,-203.0,-1e+200,301217795.751,383678.753086,301205118.392,301877496.827,300481493.3,300791433.494,301822420.281,20.0,147209385570.0,0.0357142857143,0.1,0.000119047619048,4.7619047619e-08,0.0333333333333,7
203.0,-203.0,-400.0,-195.0,1000.0,-203.0,-1e+200,300672223.797,435514.301009,300677596.393,301554226.378,300050176.736,300132383.022,301389427.62,20.0,189672706384.0,0.0357142857143,0.1,0.000119047619048,4.7619047619e-08,0.0333333333333,8
203.0,-203.0,-400.0,-195.0,1100.0,-203.0,-1e+200,300015452.64,347441.996278,300071600.066,300639382.895,299432192.747,299446194.412,300481872.377,20.0,120715940778.0,0.0357142857143,0.1,0.000119047619048,4.7619047619e-08,0.0333333333333,9
203.0,-203.0,-400.0,-195.0,1200.0,-203.0,-1e+200,299024187.891,371679.473133,299014535.398,299927873.213,298478178.93,298526487.415,299597486.457,20.0,138145630748.0,0.0357142857143,0.059,7.02380952381e-05,4.7619047619e-08,0.0333333333333,10
203.0,-203.0,-400.0,-195.0,1218.0,-203.0,-1e+200,299018539.765,360678.417095,298989154.9,299600010.992,298480030.314,298520292.437,299592060.357,20.0,130088920558.0,0.0357142857143,0.05,5.95238095238e-05,4.7619047619e-08,0.0333333333333,11
203.0,-203.0,-400.0,-195.0,1300.0,-203.0,-1e+200,298329883.856,403321.814909,298263205.27,299167804.849,297433469.992,297880375.675,298984916.117,20.0,162668486382.0,0.0357142857143,0.041,4.88095238095e-05,4.7619047619e-08,0.0333333333333,12
203.0,-203.0,-380.0,-195.0,300.0,-203.0,-1e+200,293137191.82,446841.432237,293063620.407,293921979.278,292404391.695,292498662.029,293825804.399,20.0,199667265563.0,0.0714285714286,0.05,0.000119047619048,4.7619047619e-08,0.0333333333333,13
203.0,-203.0,-380.0,-195.0,400.0,-203.0,-1e+200,296828450.521,427822.709482,296945055.59,297400878.642,295978915.325,296064925.039,297388414.514,20.0,183032270749.0,0.0714285714286,0.1,0.000238095238095,4.7619047619e-08,0.0333333333333,14
203.0,-203.0,-380.0,-195.0,500.0,-203.0,-1e+200,297752499.138,351368.84017,297692925.892,298454525.712,297241870.356,297339754.309,298374171.199,20.0,123460061843.0,0.0714285714286,0.1,0.000238095238095,4.7619047619e-08,0.0333333333333,15
203.0,-203.0,-380.0,-195.0,600.0,-203.0,-1e+200,298273402.382,510885.632014,298242143.817,299249966.751,297552780.866,297592978.749,298900948.247,20.0,261004128998.0,0.0714285714286,0.1,0.000238095238095,4.7619047619e-08,0.0333333333333,16
203.0,-203.0,-380.0,-195.0,700.0,-203.0,-1e+200,298434068.432,420203.7707,298509373.733,299305987.133,297589188.941,297688568.865,298837354.415,20.0,176571208911.0,0.0714285714286,0.1,0.000238095238095,4.7619047619e-08,0.0333333333333,17
203.0,-203.0,-380.0,-195.0,800.0,-203.0,-1e+200,298190779.734,388130.399025,298163521.112,298729458.909,297454876.685,297570796.362,298712799.209,20.0,150645206647.0,0.0714285714286,0.1,0.000238095238095,4.7619047619e-08,0.0333333333333,18
