SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-TES_capacity,ProbabilityWeight,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-Charger_capacity,PointProbability
203.0,-203.0,-400.0,-203.0,800.0,-203.0,-1e+200,302079470.621,406157.069959,302132196.264,302619962.513,301231036.102,301478309.634,302521406.091,10.0,164963565477.0,3,0.161812297735,0.0134843581446,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-400.0,-203.0,700.0,-203.0,-1e+200,302273905.839,286168.787977,302278563.581,302619238.255,301764610.126,301849957.953,302600030.984,10.0,81892575212.1,2,0.161812297735,0.0134843581446,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,301895293.239,474899.897164,301889451.133,302524696.461,301042241.72,301256003.021,302509651.759,8.0,225529912327.0,1,0.0809061488673,0.00674217907228,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-400.0,-203.0,900.0,-203.0,-1e+200,301788065.869,306240.826343,301827816.16,302241571.541,301264000.888,301265019.122,302157464.632,13.0,93783443719.3,4,0.161812297735,0.0134843581446,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-400.0,-203.0,1000.0,-203.0,-1e+200,301157241.697,432512.495752,301202732.974,301679060.373,300239338.802,300394687.264,301676829.651,15.0,187067058982.0,5,0.161812297735,0.0134843581446,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-400.0,-203.0,1100.0,-203.0,-1e+200,300549657.249,458692.635635,300566775.009,301253304.455,299771686.248,299922575.033,301145094.317,17.0,210398933985.0,6,0.161812297735,0.0134843581446,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-400.0,-203.0,1200.0,-203.0,-1e+200,299948768.898,362457.401266,299939348.555,300543999.5,299279852.248,299288396.072,300463842.273,18.0,131375367733.0,7,0.0954692556634,0.00795577130529,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-400.0,-203.0,1218.0,-203.0,-1e+200,299847895.045,509333.422432,299789420.207,300798810.05,298928854.448,299137246.709,300580326.732,17.0,259420535207.0,8,0.0145631067961,0.00121359223301,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-380.0,-203.0,600.0,-203.0,-1e+200,298837544.59,483388.919099,298909409.002,299402009.608,297999041.94,298112406.875,299375300.701,9.0,233664847108.0,9,0.0809061488673,0.0134843581446,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-380.0,-203.0,700.0,-203.0,-1e+200,298775720.233,390284.071445,298859241.587,299470022.218,298058506.516,298164942.406,299416507.657,15.0,152321656423.0,10,0.161812297735,0.0269687162891,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-380.0,-203.0,800.0,-203.0,-1e+200,298670687.635,396785.098372,298650530.018,299298741.786,298146936.526,298214698.894,299287212.395,11.0,157438414290.0,11,0.161812297735,0.0269687162891,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-380.0,-203.0,900.0,-203.0,-1e+200,298339430.644,459463.376518,298363563.954,299212024.104,297487760.474,297725037.988,299034841.587,15.0,211106594361.0,12,0.161812297735,0.0269687162891,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-380.0,-203.0,1000.0,-203.0,-1e+200,297689647.913,313533.860435,297762417.509,298261688.938,297030363.965,297189969.214,298089872.641,17.0,98303481639.3,13,0.161812297735,0.0269687162891,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-380.0,-203.0,1100.0,-203.0,-1e+200,296916694.706,353952.164598,296962190.194,297341466.657,296292692.414,296329128.955,297339669.584,16.0,125282134824.0,14,0.161812297735,0.0269687162891,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-380.0,-203.0,1200.0,-203.0,-1e+200,296012056.741,434835.637622,296040637.575,296689769.342,295179239.264,295259555.131,296551484.215,17.0,189082031746.0,15,0.0954692556634,0.0159115426106,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-380.0,-203.0,1218.0,-203.0,-1e+200,295858202.039,436925.976225,295909150.556,296607537.035,295147692.049,295162586.256,296383710.103,20.0,190904308700.0,16,0.0145631067961,0.00242718446602,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-360.0,-203.0,600.0,-203.0,-1e+200,295115885.988,488171.818646,295084182.351,296004337.582,294535119.974,294618315.597,295783150.987,6.0,238311724520.0,17,0.0809061488673,0.0134843581446,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-360.0,-203.0,700.0,-203.0,-1e+200,295223274.426,341010.528306,295224646.213,295671067.827,294436090.209,294724019.949,295608418.673,10.0,116288180415.0,18,0.161812297735,0.0269687162891,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-360.0,-203.0,800.0,-203.0,-1e+200,294829504.039,361515.967238,294819763.381,295543494.395,294253616.538,294263561.909,295399099.712,17.0,130693794568.0,19,0.161812297735,0.0269687162891,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-360.0,-203.0,900.0,-203.0,-1e+200,294267000.833,479408.855754,294181047.09,294955113.431,293485030.088,293554029.4,294870966.959,13.0,229832850976.0,20,0.161812297735,0.0269687162891,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-360.0,-203.0,1000.0,-203.0,-1e+200,293326959.585,434466.385178,293457423.331,293962818.896,292307391.047,292663538.75,293875776.533,16.0,188761039850.0,21,0.161812297735,0.0269687162891,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-360.0,-203.0,1100.0,-203.0,-1e+200,292475705.714,405065.62228,292496921.966,293203031.866,291804513.593,291895208.404,293048149.112,11.0,164078158353.0,22,0.161812297735,0.0269687162891,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-340.0,-203.0,600.0,-203.0,-1e+200,291488405.345,526488.66477,291740537.833,291882419.411,290397357.09,290656647.237,291874866.56,7.0,277190314132.0,25,0.0809061488673,0.00674217907228,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-360.0,-203.0,1200.0,-203.0,-1e+200,291865588.322,328742.342077,291848417.972,292343730.267,291142058.244,291319154.032,292301568.998,13.0,108071527475.0,23,0.0954692556634,0.0159115426106,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-360.0,-203.0,1218.0,-203.0,-1e+200,291432260.22,366290.371122,291443710.371,292098593.529,290682161.184,290948573.995,291994061.588,19.0,134168635977.0,24,0.0145631067961,0.00242718446602,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-340.0,-203.0,700.0,-203.0,-1e+200,291170614.252,343067.740979,291107039.358,291925388.58,290697627.372,290761471.219,291857673.334,15.0,117695474901.0,26,0.161812297735,0.0134843581446,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-340.0,-203.0,800.0,-203.0,-1e+200,290708562.898,514225.93451,290868307.457,291437093.49,289724460.458,289845478.486,291263861.277,11.0,264428311723.0,27,0.161812297735,0.0134843581446,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-340.0,-203.0,900.0,-203.0,-1e+200,289881606.186,326414.199521,289772238.605,290508283.126,289450546.11,289486334.206,290368476.006,17.0,106546229649.0,28,0.161812297735,0.0134843581446,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-340.0,-203.0,1000.0,-203.0,-1e+200,289062634.048,386125.846718,289090247.885,289725352.499,288400861.827,288474769.636,289611367.997,13.0,149093169504.0,29,0.161812297735,0.0134843581446,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-340.0,-203.0,1100.0,-203.0,-1e+200,288047379.842,292852.813628,288048888.641,288487212.824,287506994.25,287677107.852,288443437.154,18.0,85762770449.6,30,0.161812297735,0.0134843581446,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-340.0,-203.0,1200.0,-203.0,-1e+200,287217229.564,266784.662777,287083665.033,287819389.358,286939368.347,286958073.368,287663511.731,13.0,71174056292.8,31,0.0954692556634,0.00795577130529,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-340.0,-203.0,1218.0,-203.0,-1e+200,286963941.69,245345.286822,287012414.727,287313825.717,286411835.962,286503975.441,287219558.58,14.0,60194309765.8,32,0.0145631067961,0.00121359223301,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-400.0,-200.0,600.0,-203.0,-1e+200,301804693.565,371470.4271,301691515.876,302629336.48,301111494.315,301423570.906,302399839.944,20.0,137990278210.0,33,0.0809061488673,0.00674217907228,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-400.0,-200.0,700.0,-203.0,-1e+200,302203168.754,424952.599537,302215897.841,303058132.379,301178851.796,301581478.345,302775406.25,20.0,180584711853.0,34,0.161812297735,0.0134843581446,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-400.0,-200.0,800.0,-203.0,-1e+200,301770650.274,481008.147453,301814724.051,302711172.866,300679789.244,301106484.723,302534949.943,20.0,231368837916.0,35,0.161812297735,0.0134843581446,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-400.0,-200.0,900.0,-203.0,-1e+200,301627900.7,370504.053567,301653325.169,302133810.982,300892654.525,301040829.491,302132704.757,20.0,137273253709.0,36,0.161812297735,0.0134843581446,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-400.0,-200.0,1000.0,-203.0,-1e+200,300953775.202,327155.113264,300945963.863,301574871.801,300197740.937,300439627.113,301367135.582,20.0,107030468135.0,37,0.161812297735,0.0134843581446,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-400.0,-200.0,1100.0,-203.0,-1e+200,300481873.426,429364.019894,300472592.476,301091309.012,299891301.743,299909393.924,301059703.903,20.0,184353461580.0,38,0.161812297735,0.0134843581446,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-400.0,-200.0,1200.0,-203.0,-1e+200,299627244.286,383662.312028,299666995.718,300208809.201,298963779.642,299002138.792,300130549.833,20.0,147196769670.0,39,0.0954692556634,0.00795577130529,0.166666666667,0.5,8.98957209637e-06
