npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2587092125.72,709.30261971,2587092326.95,2587092745.17,2587091103.81,2587091285.36,2587092684.36,4.0,503110.206328,0.00193094060277,1,0.0249762488124,0.315634218289,0.244938821026,3.76215239928e-13
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,2587093182.08,26534.5561316,2587094177.08,2587124644.59,2587059729.58,2587064775.36,2587120195.81,4.0,704082669.1,0.019326801889,4,0.249987499375,0.315634218289,0.244938821026,3.76215239928e-13
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2587394389.82,488602.668685,2587495805.27,2587870642.39,2586715306.34,2586823100.17,2587823697.83,4.0,238732567846.0,0.0367245960488,7,0.475023751188,0.315634218289,0.244938821026,3.76215239928e-13
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,2587523305.96,618321.359663,2587439845.04,2588309755.24,2586903778.5,2586945840.71,2588217616.48,4.0,382321303815.0,0.0193287347625,10,0.250012500625,0.315634218289,0.244938821026,3.76215239928e-13
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,1913064319.6,3961634.31912,1914762541.07,1915518032.79,1907214163.49,1908236669.1,1915514460.06,4.0,1.56945464784e+13,0.00394167938485,13,0.0249762488124,0.315634218289,0.5,3.76215239928e-13
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,1217841922.95,10687490.4195,1215021217.89,1231896443.23,1209428812.8,1209456808.49,1230176024.51,4.0,1.14222451466e+14,0.00201073878208,25,0.0249762488124,0.315634218289,0.255061178974,3.76215239928e-13
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,1956102452.18,1853049.53723,1955566868.24,1958765077.77,1954510994.48,1954634946.57,1958319775.31,4.0,3.43379258743e+12,0.0394523044736,16,0.249987499375,0.315634218289,0.5,3.76215239928e-13
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2029785744.66,3793476.84743,2029117940.29,2034850481.7,2026056616.35,2026340837.67,2034165577.76,4.0,1.4390466592e+13,0.0749668751874,19,0.475023751188,0.315634218289,0.5,3.76215239928e-13
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,2019016165.56,1549946.2769,2019268778.85,2020617709.41,2016909395.14,2017234072.1,2020444600.42,4.0,2.40233346129e+12,0.0394562500986,22,0.250012500625,0.315634218289,0.5,3.76215239928e-13
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,1667164207.97,9459541.58483,1668812091.36,1676842667.06,1654189982.08,1656276459.2,1675744919.97,4.0,8.94829269951e+13,0.00318523573423,26,0.0249762488124,0.5,0.255061178974,3.76215239928e-13
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,1953342160.68,6868393.9637,1953143960.04,1961894489.35,1945186233.28,1946238205.3,1960723596.94,4.0,4.71748356406e+13,0.0117555505751,30,0.249987499375,0.184365781711,0.255061178974,3.76215239928e-13
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,1918537181.18,12712988.2107,1918305186.92,1932687425.02,1904850925.87,1905823307.99,1931575846.34,4.0,1.61620069247e+14,0.00117449695215,27,0.0249762488124,0.184365781711,0.255061178974,3.76215239928e-13
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,1272094475.02,9311067.14833,1271197884.23,1283854932.86,1262127198.76,1263003773.18,1282440403.97,4.0,8.66959714408e+13,0.0201255025846,28,0.249987499375,0.315634218289,0.255061178974,3.76215239928e-13
