iteration,accepted,npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,mean_NPV,std_NPV,med_NPV
0.0,first,1193.0,-1000.0,-11025.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,43100.9,3117761791.86,4446356.14131,3117293916.22
1.0,accepted,1193.0,-1175.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,47668.6932366,3317719110.86,5511393.76996,3320758393.0
2.0,accepted,1193.0,-1175.0,-11327.7550497,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,51566.8637163,3332506752.09,2611234.24928,3332684173.32
3.0,rejected,1193.0,-1175.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40611.6651953,3316665572.54,2336953.26109,3316250269.41
4.0,rerun,1193.0,-1175.0,-11327.7550497,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,51566.8637163,3334139193.61,2628282.65887,3334383418.2
5.0,accepted,1193.0,-1175.0,-14358.5615495,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60873.4380424,3364100335.72,3580681.95656,3364951831.85
