iteration,accepted,SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV
0.0,first,203.0,-203.0,-400.0,-203.0,800.0,-203.0,-1e+200,283328439.097,329425.186927,283291370.329
1.0,rejected,203.0,-203.0,-389.121853252,-201.743404832,790.663580352,-203.0,-1e+200,281776392.823,367824.152052,281874492.701
2.0,rerun,203.0,-203.0,-400.0,-203.0,800.0,-203.0,-1e+200,283442133.678,503544.818204,283362275.161
3.0,accepted,203.0,-203.0,-403.640377704,-201.766092108,810.503620636,-203.0,-1e+200,283754651.418,404100.734863,283697804.201
4.0,rejected,203.0,-203.0,-399.552680095,-200.329318927,820.357779754,-203.0,-1e+200,283313410.776,394290.275879,283342624.712
5.0,rerun,203.0,-203.0,-403.640377704,-201.766092108,810.503620636,-203.0,-1e+200,283802042.52,456289.178615,283905475.853
6.0,accepted,203.0,-203.0,-405.422922422,-201.387841839,842.281365354,-203.0,-1e+200,284125740.058,461101.541132,284063618.668
7.0,rejected,203.0,-203.0,-396.156456349,-201.330062065,841.724509219,-203.0,-1e+200,282735975.107,345613.613158,282819582.371
8.0,rerun,203.0,-203.0,-405.422922422,-201.387841839,842.281365354,-203.0,-1e+200,284102614.405,390669.88273,284077493.683
9.0,accepted,203.0,-203.0,-407.29149462,-201.621443835,813.856968357,-203.0,-1e+200,284122229.28,350811.849869,284116380.463
10.0,rejected,203.0,-203.0,-405.319516135,-201.691326181,788.440421386,-203.0,-1e+200,284016682.647,299740.880243,284058688.63
11.0,rerun,203.0,-203.0,-407.29149462,-201.621443835,813.856968357,-203.0,-1e+200,284112345.774,442405.008771,283989752.083
12.0,rejected,203.0,-203.0,-409.401077605,-202.066619306,814.984374373,-203.0,-1e+200,283908085.723,498658.011906,284070449.473
13.0,rerun,203.0,-203.0,-407.29149462,-201.621443835,813.856968357,-203.0,-1e+200,284243484.117,375474.101209,284237856.471
14.0,rejected,203.0,-203.0,-409.158086995,-201.537532098,821.133827852,-203.0,-1e+200,283807733.321,310632.36857,283806684.145
15.0,rerun,203.0,-203.0,-407.29149462,-201.621443835,813.856968357,-203.0,-1e+200,283977956.32,519732.363921,283931437.702
16.0,rejected,203.0,-203.0,-406.951740598,-201.777875856,807.886304662,-203.0,-1e+200,283999953.542,500856.489357,284071428.753
17.0,rerun,203.0,-203.0,-407.29149462,-201.621443835,813.856968357,-203.0,-1e+200,283998427.826,428576.249677,283937204.837
18.0,accepted,203.0,-203.0,-406.516410202,-201.702857454,816.469898535,-203.0,-1e+200,284097253.895,361091.110478,284182728.74
19.0,accepted,203.0,-203.0,-407.613948841,-201.739943306,814.820914984,-203.0,-1e+200,284131583.933,379237.65195,284195077.086
20.0,rejected,203.0,-203.0,-406.770800971,-201.706556514,815.48845477,-203.0,-1e+200,283992204.116,435874.73745,284095305.243
21.0,rerun,203.0,-203.0,-407.613948841,-201.739943306,814.820914984,-203.0,-1e+200,284001098.638,397440.178053,284040116.61
22.0,accepted,203.0,-203.0,-407.269658435,-201.808703933,814.164698314,-203.0,-1e+200,284068011.214,400976.064351,284091228.029
23.0,rejected,203.0,-203.0,-407.645102729,-201.818216434,817.330363139,-203.0,-1e+200,284015159.175,319562.536841,284087438.169
24.0,rerun,203.0,-203.0,-407.269658435,-201.808703933,814.164698314,-203.0,-1e+200,284183992.196,372394.026303,284159149.895
25.0,rejected,203.0,-203.0,-407.689769083,-201.786676568,813.109511059,-203.0,-1e+200,284089802.459,425945.506549,284070801.074
26.0,rerun,203.0,-203.0,-407.269658435,-201.808703933,814.164698314,-203.0,-1e+200,284195346.428,313070.168696,284202066.686
27.0,rejected,203.0,-203.0,-407.508566312,-201.830018971,815.038630328,-203.0,-1e+200,284054618.492,442874.959466,284128309.789
28.0,rerun,203.0,-203.0,-407.269658435,-201.808703933,814.164698314,-203.0,-1e+200,284052815.261,359427.522732,284160000.56
29.0,rejected,203.0,-203.0,-407.422885459,-201.827328559,813.68970825,-203.0,-1e+200,283907849.813,457734.987474,283924664.562
30.0,rerun,203.0,-203.0,-407.269658435,-201.808703933,814.164698314,-203.0,-1e+200,284046954.076,415938.454733,284017427.978
31.0,accepted,203.0,-203.0,-407.303639938,-201.829942146,814.115760204,-203.0,-1e+200,284254096.717,427766.573647,284328903.692
32.0,rejected,203.0,-203.0,-407.150723173,-201.853875506,813.596977786,-203.0,-1e+200,284222276.986,345956.719824,284217480.498
33.0,rerun,203.0,-203.0,-407.303639938,-201.829942146,814.115760204,-203.0,-1e+200,283972497.689,493939.344541,284001397.349
34.0,accepted,203.0,-203.0,-407.33993923,-201.814502473,814.719488796,-203.0,-1e+200,284123542.543,291126.253957,284225333.651
35.0,accepted,203.0,-203.0,-407.332341053,-201.828211636,815.061952286,-203.0,-1e+200,284145857.874,482458.804555,284312189.476
