RAVEN_sample_ID,hour,_ROM_Cluster,Year,scaling,Dispatch__SteamGen__production__reactor_heat,Dispatch__Converter1__production__heat,Dispatch__Converter1__production__reactor_heat,Dispatch__NewBOP__production__electricity,Dispatch__NewBOP__production__heat,Dispatch__Charger__production__tes_heat,Dispatch__Charger__production__reactor_heat,Dispatch__TES__level__tes_heat,Dispatch__TES__charge__tes_heat,Dispatch__TES__discharge__tes_heat,Dispatch__Convert2__production__heat,Dispatch__Convert2__production__tes_heat,Dispatch__Grid__production__electricity,price,ProbabilityWeight,PointProbability,prefix
0,0.0,0,2018,1.0,203.0,202.999999977,-202.999999977,174.986000854,-406.000001982,2.25239516459e-08,-2.25239516459e-08,1011.95793057,5.43444115014e-09,203.000001977,203.000002005,-203.000002005,-174.986000854,26.039496499,1.0,1.0,1
0,0.0,1,2018,1.0,203.0,102.104762871,-102.104762871,87.4929999949,-202.999999988,100.895237129,-100.895237129,1225.93872101,-3.03083662675e-09,-8.73678993299e-09,100.895237118,-100.895237118,-87.4929999949,46.000494917,1.0,1.0,1
0,0.0,2,2018,1.0,203.0,102.104882146,-102.104882146,87.4929944309,-202.999987079,100.895117854,-100.895117854,1225.93873326,-1.29131601677e-05,-8.07998101168e-09,100.895104933,-100.895104933,-87.4929944309,29.7958307373,1.0,1.0,1
0,0.0,3,2018,1.0,203.0,102.104886402,-102.104886402,87.4930000005,-203.000000001,100.895113598,-100.895113598,1225.938721,5.24219634968e-09,-4.1297258245e-09,100.895113599,-100.895113599,-87.4930000005,23.26579704,1.0,1.0,1
0,0.0,4,2018,1.0,203.0,102.104886401,-102.104886401,87.4929999994,-202.999999999,100.895113599,-100.895113599,1225.938721,4.16900183053e-09,-5.53271752429e-09,100.895113597,-100.895113597,-87.4929999994,21.5741740343,1.0,1.0,1
0,0.0,5,2018,1.0,203.0,203.000000007,-203.000000007,174.986000877,-406.000002035,-7.30212206741e-09,7.30212206741e-09,1011.95793052,7.57053653882e-09,203.000002027,203.000002027,-203.000002027,-174.986000877,26.036774303,1.0,1.0,1
0,0.0,6,2018,1.0,203.0,3.54530640559,-3.54530640559,1.52802705656,-3.54530639573,199.454693594,-199.454693594,1070.45980104,-3469.54948172,3270.09478812,-9.86075615539e-09,9.86075615539e-09,-1.52802705656,-41.7552489178,1.0,1.0,1
0,0.0,7,2018,1.0,203.0,102.104886405,-102.104886405,87.493000004,-203.000000009,100.895113595,-100.895113595,1225.93872099,7.08620745077e-09,2.23356613421e-09,100.895113604,-100.895113604,-87.493000004,24.2312732061,1.0,1.0,1
0,0.0,8,2018,1.0,203.0,203.000000007,-203.000000007,174.986000877,-406.000002034,-6.91145137603e-09,6.91145137603e-09,1011.95793052,7.50990460441e-09,203.000002026,203.000002027,-203.000002027,-174.986000877,25.2465407193,1.0,1.0,1
0,0.0,9,2018,1.0,203.0,102.104886397,-102.104886397,87.4929999944,-202.999999987,100.895113603,-100.895113603,1225.93872101,-5.95563950153e-09,-7.05825852548e-09,100.89511359,-100.89511359,-87.4929999944,21.4314232888,1.0,1.0,1
