cfYears,NewBOP_NewBOP_capex_CashFlow,NewBOP_NewBOP_capex_intcp_CashFlow,Charger_TES_Charger_capex_CashFlow,TES_TES_capex_CashFlow,Grid_grid_sales_CashFlow
0,-37059642.9249,15328179.8,-215446.888,-25753172.7491,0.0
1,0.0,0.0,0.0,0.0,28177607.0301
