SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-TES_capacity,PointProbability,ProbabilityWeight-Charger_capacity,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight
203.0,-203.0,-400.0,-203.0,0.0,-203.0,-1e+200,296263568.11,24141686.6124,298098376.59,350370061.23,260631742.816,261037240.072,337207554.908,20.0,5.82821032491e+14,1,0.0384615384615,9.47328533535e-09,0.00738916256158,0.025,7.10496400152e-06
203.0,-203.0,-400.0,-203.0,100.0,-203.0,-1e+200,336771753.374,19472648.0213,334199002.369,373932090.968,296066905.042,302352800.513,363640656.355,18.0,3.79184020962e+14,2,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,200.0,-203.0,-1e+200,370603719.222,22847543.5404,371477686.63,412663924.276,330435466.875,334277628.885,405055838.351,14.0,5.22010245831e+14,3,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,300.0,-203.0,-1e+200,402080759.081,23710254.8622,405098850.613,434310494.115,363679765.855,364938050.075,428901387.618,15.0,5.62176185629e+14,4,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,400.0,-203.0,-1e+200,404482662.158,19763939.1027,407951934.261,431667769.913,357360167.258,376995603.254,428921038.235,18.0,3.90613288856e+14,5,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,500.0,-203.0,-1e+200,411372545.103,23382153.5554,409734240.187,448039089.831,377346722.628,383300967.336,444844064.184,15.0,5.46725104889e+14,6,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,415381310.593,16036736.1569,411773022.119,445537566.514,383853129.723,393015517.695,437464377.591,13.0,2.57176906565e+14,7,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,700.0,-203.0,-1e+200,420752886.438,21390634.9062,423821372.536,456071629.811,376584050.291,388229851.003,449592542.989,19.0,4.57559261691e+14,8,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,800.0,-203.0,-1e+200,423584720.213,23910372.8692,424451457.68,471773403.069,389975126.52,390202516.758,459510288.249,18.0,5.71705930746e+14,9,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,900.0,-203.0,-1e+200,435216055.855,26304752.5166,425779603.267,478982862.447,406317781.433,407594553.071,473135649.18,16.0,6.9194000496e+14,10,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,1000.0,-203.0,-1e+200,421886978.364,17790301.9197,418765008.422,454654580.536,398993431.386,399182221.798,451221257.161,17.0,3.16494842393e+14,11,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,1100.0,-203.0,-1e+200,428609230.294,24971208.8382,430509535.864,470279812.845,390377593.426,390660386.327,464791406.325,16.0,6.23561270839e+14,12,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,1200.0,-203.0,-1e+200,425106945.227,23708921.9791,420142035.759,480434452.8,379670446.778,398564397.175,468429974.255,20.0,5.6211298141e+14,13,0.0453846153846,9.47328533535e-09,0.00738916256158,0.025,8.38385752179e-06
203.0,-203.0,-400.0,-203.0,1218.0,-203.0,-1e+200,432482782.985,28491427.807,436339886.148,488929171.536,386017246.829,388117007.437,473659831.861,18.0,8.11761458479e+14,14,0.0384615384615,9.47328533535e-09,0.00738916256158,0.025,7.10496400152e-06
203.0,-203.0,-400.0,-203.0,1300.0,-203.0,-1e+200,427885571.546,17838996.7439,433012389.231,459560547.31,395105779.005,398407965.189,450026069.282,16.0,3.18229804827e+14,15,0.0315384615385,9.47328533535e-09,0.00738916256158,0.025,5.82607048124e-06
203.0,-203.0,-380.0,-203.0,0.0,-203.0,-1e+200,300917596.739,18925351.7701,301746029.824,334504305.633,271373324.344,274338881.481,334137424.953,20.0,3.58168939623e+14,16,0.0384615384615,9.47328533535e-09,0.00738916256158,0.05,1.4209928003e-05
203.0,-203.0,-380.0,-203.0,100.0,-203.0,-1e+200,340717659.937,15214810.8941,343064828.891,368630565.483,309163573.873,315404304.074,360028032.753,20.0,2.31490470544e+14,17,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,300.0,-203.0,-1e+200,388082538.771,18717941.412,391125450.012,421160492.662,354388392.442,357722099.559,415235552.652,19.0,3.50361330703e+14,19,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,200.0,-203.0,-1e+200,371521869.784,15031836.1644,367450694.678,402423646.165,350117946.052,352320473.305,393531752.598,18.0,2.25956098472e+14,18,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,400.0,-203.0,-1e+200,398605014.361,14763685.142,393228008.488,422204205.56,373143478.709,380232427.497,422144203.951,18.0,2.17966398973e+14,20,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,500.0,-203.0,-1e+200,405650063.283,20238431.4117,401244638.844,445748612.046,371018283.589,380107860.397,432851949.988,17.0,4.09594106004e+14,21,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,600.0,-203.0,-1e+200,410331192.152,23119774.8275,406304312.13,464623813.254,364313911.781,382834691.637,448617199.794,19.0,5.34523988072e+14,22,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
