SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight,prefix,ProbabilityWeight-Charger_capacity,ProbabilityWeight-TES_capacity
203.0,-203.0,-400.0,-195.0,400.0,-203.0,-1e+200,406767619.625,16823630.6127,403139203.241,448997374.957,383550882.427,387028621.574,434698952.856,20.0,2.83034546992e+14,4.7619047619e-08,0.0357142857143,0.000119047619048,2,0.0333333333333,0.1
203.0,-203.0,-400.0,-195.0,300.0,-203.0,-1e+200,376427209.647,18615206.9611,373383994.996,410746109.585,343610203.954,351822175.958,402420728.458,20.0,3.46525930206e+14,4.7619047619e-08,0.0357142857143,5.95238095238e-05,1,0.0333333333333,0.05
203.0,-203.0,-400.0,-195.0,500.0,-203.0,-1e+200,410312695.136,25176065.8387,411678590.281,471601551.014,373607263.843,377870420.393,442621275.566,20.0,6.33834291117e+14,4.7619047619e-08,0.0357142857143,0.000119047619048,3,0.0333333333333,0.1
203.0,-203.0,-400.0,-195.0,600.0,-203.0,-1e+200,408205628.779,20422014.0426,412220870.576,437454479.204,359338851.854,365988349.273,430741455.129,20.0,4.17058657557e+14,4.7619047619e-08,0.0357142857143,0.000119047619048,4,0.0333333333333,0.1
203.0,-203.0,-400.0,-195.0,800.0,-203.0,-1e+200,428618605.296,29729274.5299,426198582.932,492564784.376,387570147.372,390023998.181,475021876.527,20.0,8.83829764074e+14,4.7619047619e-08,0.0357142857143,0.000119047619048,6,0.0333333333333,0.1
203.0,-203.0,-400.0,-195.0,700.0,-203.0,-1e+200,424018523.56,24612905.5798,423469189.853,459389177.004,380959200.116,385055746.455,458373390.04,20.0,6.0579512108e+14,4.7619047619e-08,0.0357142857143,0.000119047619048,5,0.0333333333333,0.1
203.0,-203.0,-400.0,-195.0,1000.0,-203.0,-1e+200,431947863.535,21029835.4841,437035247.203,467083809.661,389596524.323,405620335.005,454048182.843,20.0,4.42253980489e+14,4.7619047619e-08,0.0357142857143,0.000119047619048,8,0.0333333333333,0.1
203.0,-203.0,-400.0,-195.0,900.0,-203.0,-1e+200,419654654.586,19874735.9067,420412733.43,457567305.02,380546600.5,389686099.83,443298602.594,20.0,3.9500512736e+14,4.7619047619e-08,0.0357142857143,0.000119047619048,7,0.0333333333333,0.1
203.0,-203.0,-400.0,-195.0,1100.0,-203.0,-1e+200,421424170.304,17737755.4695,423373320.477,468397643.331,391643175.112,397671976.756,441163902.554,20.0,3.14627969096e+14,4.7619047619e-08,0.0357142857143,0.000119047619048,9,0.0333333333333,0.1
203.0,-203.0,-400.0,-195.0,1200.0,-203.0,-1e+200,445154113.227,22454720.5855,450337376.972,476306556.338,408655310.173,410467853.166,470610394.389,20.0,5.04214476575e+14,4.7619047619e-08,0.0357142857143,7.02380952381e-05,10,0.0333333333333,0.059
203.0,-203.0,-400.0,-195.0,1218.0,-203.0,-1e+200,424659172.592,24514702.8687,424844192.378,470757897.489,385600782.27,387922752.197,467113451.146,20.0,6.0097065674e+14,4.7619047619e-08,0.0357142857143,5.95238095238e-05,11,0.0333333333333,0.05
203.0,-203.0,-400.0,-195.0,1300.0,-203.0,-1e+200,440232250.576,19022749.5311,438515087.109,484184009.152,408975300.554,416040240.79,474420757.025,20.0,3.61864999722e+14,4.7619047619e-08,0.0357142857143,4.88095238095e-05,12,0.0333333333333,0.041
203.0,-203.0,-380.0,-195.0,300.0,-203.0,-1e+200,387894340.759,22696058.9617,383983255.482,425541273.358,352412881.041,359269590.962,419906566.994,20.0,5.15111092392e+14,4.7619047619e-08,0.0714285714286,0.000119047619048,13,0.0333333333333,0.05
203.0,-203.0,-380.0,-195.0,400.0,-203.0,-1e+200,403088473.874,20060809.1756,404832599.249,441931840.303,354736945.62,368143799.994,433305967.991,20.0,4.0243606478e+14,4.7619047619e-08,0.0714285714286,0.000238095238095,14,0.0333333333333,0.1
203.0,-203.0,-380.0,-195.0,500.0,-203.0,-1e+200,398047975.516,22389274.5239,396900029.229,440453912.821,354879573.982,371491338.887,433905775.729,20.0,5.01279613708e+14,4.7619047619e-08,0.0714285714286,0.000238095238095,15,0.0333333333333,0.1
203.0,-203.0,-380.0,-195.0,600.0,-203.0,-1e+200,406975473.742,19585375.4181,404411666.303,443391014.888,374220996.984,380704834.2,440396692.681,20.0,3.8358693027e+14,4.7619047619e-08,0.0714285714286,0.000238095238095,16,0.0333333333333,0.1
203.0,-203.0,-380.0,-195.0,700.0,-203.0,-1e+200,416475643.406,23150972.8351,413202009.475,463549730.388,383792495.812,387971910.704,452768189.794,20.0,5.35967543212e+14,4.7619047619e-08,0.0714285714286,0.000238095238095,17,0.0333333333333,0.1
203.0,-203.0,-380.0,-195.0,800.0,-203.0,-1e+200,412582128.177,18293043.3589,408412585.835,444571462.825,383908714.78,392487537.534,444334247.861,20.0,3.34635435331e+14,4.7619047619e-08,0.0714285714286,0.000238095238095,18,0.0333333333333,0.1
203.0,-203.0,-380.0,-195.0,900.0,-203.0,-1e+200,416438624.089,21899784.2712,408083939.703,460382163.704,386383544.367,387567461.771,458156108.656,20.0,4.79600551123e+14,4.7619047619e-08,0.0714285714286,0.000238095238095,19,0.0333333333333,0.1
203.0,-203.0,-380.0,-195.0,1000.0,-203.0,-1e+200,424847849.401,22861579.4119,426888285.977,461206481.196,380949821.033,381160381.751,454445240.793,20.0,5.22651813209e+14,4.7619047619e-08,0.0714285714286,0.000238095238095,20,0.0333333333333,0.1
203.0,-203.0,-380.0,-195.0,1100.0,-203.0,-1e+200,421611101.17,24175345.5912,417873145.284,459837084.597,379679171.3,388269140.588,454144791.455,20.0,5.84447334453e+14,4.7619047619e-08,0.0714285714286,0.000238095238095,21,0.0333333333333,0.1
203.0,-203.0,-380.0,-195.0,1200.0,-203.0,-1e+200,420456485.942,17223052.8065,422991211.578,451200201.186,393270871.559,394573053.504,450644819.532,20.0,2.96633547974e+14,4.7619047619e-08,0.0714285714286,0.000140476190476,22,0.0333333333333,0.059
203.0,-203.0,-380.0,-195.0,1218.0,-203.0,-1e+200,425196484.718,21436611.3983,427016094.481,458037719.725,378214017.81,389084071.992,457115168.469,20.0,4.5952830824e+14,4.7619047619e-08,0.0714285714286,0.000119047619048,23,0.0333333333333,0.05
203.0,-203.0,-380.0,-195.0,1300.0,-203.0,-1e+200,434349672.353,30646047.5349,430822788.523,480589996.606,385122885.794,396281123.585,474356899.81,20.0,9.39180229513e+14,4.7619047619e-08,0.0714285714286,9.7619047619e-05,24,0.0333333333333,0.041
203.0,-203.0,-360.0,-195.0,300.0,-203.0,-1e+200,384764603.031,21264739.0985,382779366.407,426309958.523,353987290.299,355763583.621,417233102.648,20.0,4.52189128926e+14,4.7619047619e-08,0.0714285714286,0.000119047619048,25,0.0333333333333,0.05
203.0,-203.0,-360.0,-195.0,400.0,-203.0,-1e+200,387761583.267,22789802.6115,385955578.331,436301174.519,348477104.733,358302397.09,416250722.033,20.0,5.19375103072e+14,4.7619047619e-08,0.0714285714286,0.000238095238095,26,0.0333333333333,0.1
203.0,-203.0,-360.0,-195.0,500.0,-203.0,-1e+200,395445918.691,25550111.5346,385660008.816,445642865.906,355148831.222,367063111.46,444024012.587,20.0,6.52808199431e+14,4.7619047619e-08,0.0714285714286,0.000238095238095,27,0.0333333333333,0.1
