turbine_capacity,htse_ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,scenario_label,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-turbine_capacity,ProbabilityWeight,prefix
1193.0,-1000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,737712123.239,1297677.82295,737541728.909,739566576.008,736042179.348,736276876.191,739292154.48,5.0,1.68396773219e+12,0.000838222967309,0.5,0.5,1
2386.0,-1000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,2595348735.37,10560994.3871,2596263476.97,2608070306.38,2581442125.73,2582908590.87,2606894908.36,5.0,1.11534602445e+14,0.000838222967309,0.5,0.5,2
