npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,3408336786,1283.927096,3408337024,3408338079,3408335016,3408335300,3408337939,4,1648468.788,1,3.76E-13,0.244938821,0.001930941,0.024976249,0.315634218
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,3407341185,29040.95625,3407337694,3407377683,3407311670,3407313729,3407373530,4,843377139.7,4,3.76E-13,0.244938821,0.019326802,0.249987499,0.315634218
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,3398183061,380903.7514,3398113219,3398645458,3397860347,3397863494,3398600407,4,1.45088E+11,7,3.76E-13,0.244938821,0.036724596,0.475023751,0.315634218
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,3388525834,473823.3905,3388714398,3388845266,3387829274,3387948974,3388838704,4,2.24509E+11,10,3.76E-13,0.244938821,0.019328735,0.250012501,0.315634218
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,2378098357,5156005.706,2378808703,2382659128,2372116896,2372621305,2382580925,4,2.66E+13,19,3.76E-13,0.5,0.074966875,0.475023751,0.315634218
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,2361665823,3966152.343,2361429139,2365996223,2357808792,2357962855,2365700150,4,1.57E+13,22,3.76E-13,0.5,0.03945625,0.250012501,0.315634218
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,2329048941,3863902.627,2328425027,2333940357,2325405352,2325581534,2333389827,4,1.49E+13,16,3.76E-13,0.5,0.039452304,0.249987499,0.315634218
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,2300886063,5396476.46,2301446440,2306878808,2293772563,2294873562,2306114036,4,2.91E+13,13,3.76E-13,0.5,0.003941679,0.024976249,0.315634218
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,1871159672,9619687.723,1869388808,1883765294,1862095777,1862606008,1882192544,4,9.25E+13,30,3.76E-13,0.255061179,0.011755551,0.249987499,0.184365782
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,1861620827,3512126.228,1861589329,1865574329,1857730320,1858044284,1865241466,4,1.23E+13,33,3.76E-13,0.255061179,0.02233778,0.475023751,0.184365782
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,1854102743,10323905.82,1855930757,1863711224,1840838236,1842392218,1863254050,4,1.07E+14,36,3.76E-13,0.255061179,0.011756726,0.250012501,0.184365782
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,1850457940,9387024.671,1847422652,1864079068,1842907387,1843389770,1861775513,4,8.81E+13,27,3.76E-13,0.255061179,0.001174497,0.024976249,0.184365782
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,1636423254,7196310.077,1633652359,1647078846,1631309454,1631601615,1645124148,4,5.18E+13,32,3.76E-13,0.255061179,0.060580059,0.475023751,0.5
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,1622431595,3931083.228,1622961196,1626657346,1617146643,1618007401,1626114348,4,1.55E+13,29,3.76E-13,0.255061179,0.031881053,0.249987499,0.5
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,1620777819,2755576.24,1620513127,1624394100,1617690921,1618094969,1623831237,4,7.59E+12,35,3.76E-13,0.255061179,0.031884242,0.250012501,0.5
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,1589625859,6259817.412,1587791906,1598170519,1584749108,1584808165,1597011089,4,3.92E+13,26,3.76E-13,0.255061179,0.003185236,0.024976249,0.5
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,1232390200,7033353.177,1230493878,1242426846,1226146200,1226668869,1240766384,4,4.95E+13,31,3.76E-13,0.255061179,0.038242279,0.475023751,0.315634218
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,1208350869,5936412.019,1207731786,1216186126,1201753775,1202628346,1214940106,4,3.52E+13,34,3.76E-13,0.255061179,0.020127515,0.250012501,0.315634218
