npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,-1371909840.67,1877.3872141,-1371909167.69,-1371908430.51,-1371912596.79,-1371912113.02,-1371908510.49,4.0,3524582.75167,0.315634218289,1,0.0249762488124,0.00193094060277,3.76215239928e-13,0.244938821026
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,-760918084.415,7133032.00847,-759356115.57,-754697424.538,-770262681.984,-769121274.461,-754901650.754,4.0,5.08801456339e+13,0.315634218289,13,0.0249762488124,0.00394167938485,3.76215239928e-13,0.5
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,-1371888887.89,18707.7959235,-1371892258.07,-1371864608.82,-1371906426.61,-1371905511.36,-1371867546.18,4.0,349981628.314,0.315634218289,4,0.249987499375,0.019326801889,3.76215239928e-13,0.244938821026
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,-1371808418.47,73294.0542289,-1371819799.28,-1371710151.7,-1371883923.6,-1371876675.78,-1371724228.02,4.0,5372018385.32,0.315634218289,7,0.475023751188,0.0367245960488,3.76215239928e-13,0.244938821026
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,-1371766356.93,306646.405738,-1371723842.21,-1371486044.84,-1372131698.46,-1372097857.86,-1371494376.61,4.0,94032018152.0,0.315634218289,10,0.250012500625,0.0193287347625,3.76215239928e-13,0.244938821026
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,-719183598.368,2778599.76088,-719666240.745,-715488485.724,-721913426.258,-721710098.68,-715981398.728,4.0,7.72061663115e+12,0.315634218289,16,0.249987499375,0.0394523044736,3.76215239928e-13,0.5
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,318867711.298,11603351.7414,321761372.592,329566600.397,302381499.61,305187558.323,328496738.461,4.0,1.34637771635e+14,0.5,26,0.0249762488124,0.00318523573423,3.76215239928e-13,0.255061178974
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,-645970970.021,2376825.34176,-646986936.536,-642457150.796,-647452856.215,-647444870.117,-643074716.803,4.0,5.64929870522e+12,0.315634218289,19,0.475023751188,0.0749668751874,3.76215239928e-13,0.5
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,-651237327.905,4830577.06776,-650697252.433,-645933688.488,-657621118.265,-656660386.148,-646570375.323,4.0,2.33344748075e+13,0.315634218289,22,0.250012500625,0.0394562500986,3.76215239928e-13,0.5
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,-108990929.86,8258235.72243,-106059183.329,-103039184.271,-120806168.512,-118967345.879,-103118958.985,4.0,6.81984572472e+13,0.315634218289,25,0.0249762488124,0.00201073878208,3.76215239928e-13,0.255061178974
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,580182978.212,14043003.5131,575897676.125,600215113.96,568721446.638,569297714.316,597067665.029,4.0,1.9720594767e+14,0.184365781711,27,0.0249762488124,0.00117449695215,3.76215239928e-13,0.255061178974
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,-3847609.69776,12043867.609,-7754898.77333,13729375.201,-13610016.4454,-12796738.9211,10571724.2313,4.0,1.45054746983e+14,0.315634218289,31,0.475023751188,0.0382422791387,3.76215239928e-13,0.255061178974
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,-73509655.7432,4219819.27326,-74083904.1396,-67853973.7953,-78016840.8983,-77498810.1198,-68716553.6116,4.0,1.78068746989e+13,0.315634218289,28,0.249987499375,0.0201255025846,3.76215239928e-13,0.255061178974
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,368625106.48,9534618.11228,372509573.054,375045011.35,354436268.462,357136466.408,374675493.347,4.0,9.0908942547e+13,0.5,29,0.249987499375,0.0318810531597,3.76215239928e-13,0.255061178974
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,610618098.385,7424999.51416,611281080.272,618881295.357,601028937.639,602347319.354,617960702.774,4.0,5.51306177853e+13,0.184365781711,30,0.249987499375,0.0117555505751,3.76215239928e-13,0.255061178974
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,390603549.734,12176977.0545,389133714.255,405615172.455,378531597.972,379238094.324,404026774.816,4.0,1.48278770187e+14,0.5,32,0.475023751188,0.0605800590094,3.76215239928e-13,0.255061178974
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,602631161.247,8409295.8602,602463204.241,610293977.014,595304259.49,595319085.711,610178376.59,4.0,7.07162568644e+13,0.184365781711,36,0.250012500625,0.0117567262477,3.76215239928e-13,0.255061178974
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,606846871.323,4320528.0441,607826365.488,610834733.474,600900020.844,601761047.154,610561403.662,4.0,1.86669625798e+13,0.184365781711,33,0.475023751188,0.0223377798707,3.76215239928e-13,0.255061178974
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,-20635156.6206,5864027.06215,-21417689.5204,-12934542.1226,-26770705.3188,-26204717.4212,-13970049.7602,4.0,3.43868133856e+13,0.315634218289,34,0.250012500625,0.0201275153361,3.76215239928e-13,0.255061178974
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,394966145.112,9576659.96568,390909832.247,409236044.629,388808871.324,389036047.946,406575080.289,4.0,9.17124160982e+13,0.5,35,0.250012500625,0.0318842415839,3.76215239928e-13,0.255061178974
