cfYears,NewBOP_NewBOP_capex_CashFlow,NewBOP_NewBOP_capex_intcp_CashFlow,Charger_TES_Charger_capex_CashFlow,TES_TES_capex_CashFlow,Grid_grid_sales_CashFlow
0,-36948858.8893,15328179.8,-215446.888,-18685124.8552,0.0
1,0.0,0.0,0.0,0.0,25577184.9772
