iteration,accepted,turbine_capacity,htse_capacity,ft_capacity,CO2_source_capacity,elec_market_capacity,h2_market_capacity,syngas_market_capacity,mean_NPV
0.0,first,5950.0,-5950.0,5000.95,5000.95,-1e+200,-1e+200,-1.0,60465869.9588
1.0,accepted,45550.0,-5950.0,5000.95,5000.95,-1e+200,-1e+200,-1.0,462758956.379
2.0,accepted,85150.0,-5950.0,5000.95,5000.95,-1e+200,-1e+200,-1.0,865052042.798
3.0,accepted,100000.0,-5950.0,5000.95,5000.95,-1e+200,-1e+200,-1.0,1015911950.21
4.0,accepted,100000.0,-5950.0,5000.95,5000.95,-1e+200,-1e+200,-1.0,1015911950.21
