turbine_capacity,htse_ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,scenario_label,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-turbine_capacity,PointProbability,ProbabilityWeight
500.0,-400.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,4395472613.02,0.0,4395472613.02,4395472613.02,4395472613.02,4395472613.02,4395472613.02,10.0,0.0,1,0.5,0.002,0.5
1000.0,-400.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,7331000591.9,0.0,7331000591.9,7331000591.9,7331000591.9,7331000591.9,7331000591.9,10.0,0.0,2,0.5,0.002,0.5
