npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,3742129513.64,1367.42398762,3742129829.84,3742130793.79,3742127601.09,3742127899.75,3742130684.84,4.0,1869848.36192,0.244938821026,1,3.76215239928e-13,0.315634218289,0.0249762488124,0.00193094060277
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,3742152106.38,27456.0214856,3742147050.27,3742188254.73,3742126070.24,3742127623.48,3742183667.83,4.0,753833115.815,0.244938821026,4,3.76215239928e-13,0.315634218289,0.249987499375,0.019326801889
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,3742422830.87,193006.732434,3742442028.74,3742623331.47,3742183934.52,3742210213.25,3742608571.47,4.0,37251598764.8,0.244938821026,7,3.76215239928e-13,0.315634218289,0.475023751188,0.0367245960488
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2690961339.62,5556871.40831,2690576491.04,2697031034.05,2685661342.37,2685843320.0,2696618147.26,4.0,3.08788198485e+13,0.5,13,3.76215239928e-13,0.315634218289,0.0249762488124,0.00394167938485
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,2741864249.36,6270664.09493,2741826755.6,2748532779.59,2735270706.63,2735673004.1,2748107985.87,4.0,3.93212281914e+13,0.5,16,3.76215239928e-13,0.315634218289,0.249987499375,0.0394523044736
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2813916751.77,5338401.84649,2813800527.69,2820324068.35,2807741883.33,2808384754.88,2819611462.35,4.0,2.84985342746e+13,0.5,19,3.76215239928e-13,0.315634218289,0.475023751188,0.0749668751874
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,3742626656.95,413660.580941,3742718656.24,3743021465.95,3742047849.39,3742140586.38,3742983928.52,4.0,171115076224.0,0.244938821026,10,3.76215239928e-13,0.315634218289,0.250012500625,0.0193287347625
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,2803723268.21,1122763.71391,2803462098.79,2805288313.48,2802680561.79,2802762811.01,2805049362.61,4.0,1.26059835727e+12,0.5,22,3.76215239928e-13,0.315634218289,0.250012500625,0.0394562500986
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,1613415336.42,8335184.08116,1613463117.46,1623324005.97,1603411104.77,1604580908.18,1622182871.19,4.0,6.94752936669e+13,0.255061178974,25,3.76215239928e-13,0.315634218289,0.0249762488124,0.00201073878208
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2055507269.47,4390717.71904,2056278208.74,2059242233.32,2050230427.07,2050728841.01,2059206382.95,4.0,1.92784020883e+13,0.255061178974,26,3.76215239928e-13,0.5,0.0249762488124,0.00318523573423
