npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-h2_storage_capacity
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,3178471619,1262.402019,3178471647,3178472887,3178470295,3178470371,3178472827,4,1593658.858,0.244938821,0.315634218,0.001930941,1,3.76E-13,0.024976249
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,3177452292,34960.69469,3177441109,3177500672,3177426280,3177426385,3177493857,4,1222250173,0.244938821,0.315634218,0.019326802,4,3.76E-13,0.249987499
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,3167811970,420164.7409,3167717563,3168372462,3167440290,3167456010,3168300098,4,1.76538E+11,0.244938821,0.315634218,0.036724596,7,3.76E-13,0.475023751
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,3157243744,463544.7,3157054348,3157922512,3156943768,3156944563,3157808079,4,2.14874E+11,0.244938821,0.315634218,0.019328735,10,3.76E-13,0.250012501
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,2360848987,4618904.457,2360319494,2366547707,2356209254,2356499914,2365939351,4,2.13E+13,0.5,0.315634218,0.074966875,19,3.76E-13,0.475023751
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,2340357932,5227906.404,2339827416,2346230911,2335545984,2335670933,2345787652,4,2.73E+13,0.5,0.315634218,0.03945625,22,3.76E-13,0.250012501
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,2296719549,2549403.493,2296076085,2300110532,2294615495,2294658870,2299681079,4,6.50E+12,0.5,0.315634218,0.039452304,16,3.76E-13,0.249987499
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,2250453255,2744906.447,2250122908,2253468525,2248098679,2248107050,2253261946,4,7.53E+12,0.5,0.315634218,0.003941679,13,3.76E-13,0.024976249
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,2112771421,7988913.384,2113534691,2121294479,2102721824,2103910748,2120563517,4,6.38E+13,0.255061179,0.184365782,0.02233778,33,3.76E-13,0.475023751
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,2111166108,5676907.457,2112017344,2116568599,2104061145,2104836115,2116304371,4,3.22E+13,0.255061179,0.184365782,0.011755551,30,3.76E-13,0.249987499
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,2096378304,8774546.867,2096331177,2107151553,2085699307,2087195172,2105627412,4,7.70E+13,0.255061179,0.184365782,0.011756726,36,3.76E-13,0.250012501
