RAVEN_sample_ID,hour,_ROM_Cluster,Year,scaling,Dispatch__npp__production__electricity,Dispatch__htse__production__electricity,Dispatch__htse__production__h2,Dispatch__ft__production__jet_fuel,Dispatch__ft__production__naphtha,Dispatch__ft__production__h2,Dispatch__ft__production__diesel,Dispatch__ft_elec_consumption__production__electricity,Dispatch__electricity_market__production__electricity,Dispatch__naphtha_market__production__naphtha,Dispatch__jet_fuel_market__production__jet_fuel,Dispatch__diesel_market__production__diesel,Dispatch__h2_storage__level__h2,Dispatch__h2_storage__charge__h2,Dispatch__h2_storage__discharge__h2,price,PointProbability,ProbabilityWeight,prefix
0,0.0,0,2013,1.0,522.0,-507.0,12740.91,10673.592,8810.5217,-12741.0,5913.7472,-14.9,-0.1,-8810.5217,-10673.592,-5913.7472,199.90513,0.0,0.09,27.4212323673,1.0,1.0,1
0,0.0,0,2014,1.0,522.0,-507.0,12740.91,10673.592,8810.5217,-12741.0,5913.7472,-14.9,-0.1,-8810.5217,-10673.592,-5913.7472,199.90513,0.0,0.09,14.6063564585,1.0,1.0,1
0,0.0,0,2015,1.0,522.0,-507.0,12740.91,10673.592,8810.5217,-12741.0,5913.7472,-14.9,-0.1,-8810.5217,-10673.592,-5913.7472,199.90513,0.0,0.09,22.6784312876,1.0,1.0,1
0,0.0,0,2016,1.0,522.0,-507.0,12740.91,10673.592,8810.5217,-12741.0,5913.7472,-14.9,-0.1,-8810.5217,-10673.592,-5913.7472,199.90513,0.0,0.09,22.5476634671,1.0,1.0,1
0,0.0,0,2017,1.0,522.0,-507.0,12740.91,10673.592,8810.5217,-12741.0,5913.7472,-14.9,-0.1,-8810.5217,-10673.592,-5913.7472,199.90513,0.0,0.09,24.385245419,1.0,1.0,1
0,0.0,0,2018,1.0,522.0,-507.0,12740.91,10673.592,8810.5217,-12741.0,5913.7472,-14.9,-0.1,-8810.5217,-10673.592,-5913.7472,199.90513,0.0,0.09,36.03257017,1.0,1.0,1
0,0.0,0,2019,1.0,522.0,-507.0,12740.91,10673.592,8810.5217,-12741.0,5913.7472,-14.9,-0.1,-8810.5217,-10673.592,-5913.7472,199.90513,0.0,0.09,18.1924292996,1.0,1.0,1
0,0.0,0,2020,1.0,522.0,-507.0,12740.91,10673.592,8810.5217,-12741.0,5913.7472,-14.9,-0.1,-8810.5217,-10673.592,-5913.7472,199.90513,0.0,0.09,19.2173824365,1.0,1.0,1
0,0.0,0,2021,1.0,522.0,-507.0,12740.91,10673.592,8810.5217,-12741.0,5913.7472,-14.9,-0.1,-8810.5217,-10673.592,-5913.7472,199.90513,0.0,0.09,3.40029171659,1.0,1.0,1
0,0.0,0,2022,1.0,522.0,-507.0,12740.91,10673.592,8810.5217,-12741.0,5913.7472,-14.9,-0.1,-8810.5217,-10673.592,-5913.7472,199.90513,0.0,0.09,19.7399584954,1.0,1.0,1
