npp_capacity,elec_market_capacity,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight,ProbabilityWeight-npp_capacity
1193.0,-1e+200,braidwood,2102483898.88,10442175.4814,2099970200.05,2122577693.27,2083167617.85,2087270609.46,2119537728.22,25.0,1.09039028785e+14,1,0.000838222967309,0.5,0.5
2386.0,-1e+200,braidwood,4196512540.25,24844222.8621,4195938013.12,4237786820.05,4148581071.64,4166692495.88,4234378333.8,25.0,6.17235409622e+14,2,0.000838222967309,0.5,0.5
