SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-NewBOP_capacity,PointProbability,prefix,ProbabilityWeight-TES_capacity,ProbabilityWeight,ProbabilityWeight-Charger_capacity
203.0,-203.0,-400.0,-203.0,300.0,-203.0,-1e+200,271840201.561,2280475.454,271893662.053,276837962.23,268758851.145,269224207.567,275838780.542,13.0,5.20056829631e+12,0.047619047619,1.443001443e-07,1,0.15,0.000324675324675,0.0454545454545
203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,289712796.977,2125638.01437,289268616.81,293418995.913,287099574.871,287258436.153,292824668.941,13.0,4.51833696812e+12,0.047619047619,1.443001443e-07,2,0.25,0.000541125541126,0.0454545454545
203.0,-203.0,-400.0,-203.0,800.0,-203.0,-1e+200,296484096.916,1957092.18769,296091421.576,299302975.161,294104121.64,294246229.808,299116756.246,9.0,3.83020983111e+12,0.047619047619,1.443001443e-07,3,0.15,0.000324675324675,0.0454545454545
203.0,-203.0,-400.0,-203.0,900.0,-203.0,-1e+200,300765139.973,2093589.27193,300051744.064,303836246.028,296000826.777,298093581.101,303707539.941,13.0,4.38311603952e+12,0.047619047619,1.443001443e-07,4,0.1,0.00021645021645,0.0454545454545
203.0,-203.0,-400.0,-203.0,1000.0,-203.0,-1e+200,303124288.712,2644578.79543,303256494.503,309534204.525,299050746.554,299853093.31,307132046.118,16.0,6.99379700526e+12,0.047619047619,1.443001443e-07,5,0.1,0.00021645021645,0.0454545454545
203.0,-203.0,-400.0,-203.0,1218.0,-203.0,-1e+200,311200955.276,2415750.29602,310323345.949,315519511.004,308348518.04,308398653.23,315124293.574,20.0,5.83584949274e+12,0.047619047619,1.443001443e-07,8,0.05,0.000108225108225,0.0454545454545
203.0,-203.0,-400.0,-203.0,1100.0,-203.0,-1e+200,306557386.906,2866902.33012,305955131.265,312711820.647,302529436.956,302552680.445,310621721.588,14.0,8.21912897048e+12,0.047619047619,1.443001443e-07,6,0.1,0.00021645021645,0.0454545454545
203.0,-203.0,-400.0,-203.0,1200.0,-203.0,-1e+200,309474055.853,1381260.31667,309572931.045,311660029.585,306691007.499,307540209.747,311574435.292,14.0,1.90788006239e+12,0.047619047619,1.443001443e-07,7,0.059,0.000127705627706,0.0454545454545
203.0,-203.0,-400.0,-203.0,1300.0,-203.0,-1e+200,314407808.155,2819823.28173,314296913.317,318580117.352,309188299.153,310832233.822,318493236.385,15.0,7.95140334021e+12,0.047619047619,1.443001443e-07,9,0.041,8.87445887446e-05,0.0454545454545
203.0,-203.0,-380.0,-203.0,300.0,-203.0,-1e+200,270901051.166,2404147.70898,270986272.264,276071687.336,267223774.161,267729626.587,274399193.517,14.0,5.77992620659e+12,0.0952380952381,1.443001443e-07,10,0.15,0.000649350649351,0.0454545454545
203.0,-203.0,-380.0,-203.0,600.0,-203.0,-1e+200,287676087.731,2636515.33661,287657738.963,292391448.348,283799439.009,284068676.733,292117855.951,12.0,6.95121312018e+12,0.0952380952381,1.443001443e-07,11,0.25,0.00108225108225,0.0454545454545
203.0,-203.0,-380.0,-203.0,800.0,-203.0,-1e+200,294676595.862,2112792.49918,294034198.571,299467510.853,292484834.401,292507599.995,298452293.742,16.0,4.4638921446e+12,0.0952380952381,1.443001443e-07,12,0.15,0.000649350649351,0.0454545454545
203.0,-203.0,-380.0,-203.0,900.0,-203.0,-1e+200,297244134.822,2854356.80228,297536755.494,301165359.962,292475209.316,292978164.559,300734655.993,14.0,8.14735275475e+12,0.0952380952381,1.443001443e-07,13,0.1,0.0004329004329,0.0454545454545
203.0,-203.0,-380.0,-203.0,1000.0,-203.0,-1e+200,300190299.992,2316645.56231,300534108.55,304427944.671,296546206.12,297212964.003,303338948.071,14.0,5.36684666138e+12,0.0952380952381,1.443001443e-07,14,0.1,0.0004329004329,0.0454545454545
203.0,-203.0,-380.0,-203.0,1100.0,-203.0,-1e+200,303759630.639,2490859.94231,303703720.497,308817094.966,298477521.231,300116350.796,307129150.305,18.0,6.2043832522e+12,0.0952380952381,1.443001443e-07,15,0.1,0.0004329004329,0.0454545454545
203.0,-203.0,-380.0,-203.0,1200.0,-203.0,-1e+200,305977228.496,2796541.86814,306060945.595,310118131.159,301391524.825,302240716.563,310085445.409,16.0,7.82064642026e+12,0.0952380952381,1.443001443e-07,16,0.059,0.000255411255411,0.0454545454545
203.0,-203.0,-380.0,-203.0,1218.0,-203.0,-1e+200,307347010.141,2085302.64931,307334492.022,312408326.94,304334028.139,304511505.105,310916536.055,18.0,4.34848713922e+12,0.0952380952381,1.443001443e-07,17,0.05,0.00021645021645,0.0454545454545
203.0,-203.0,-380.0,-203.0,1300.0,-203.0,-1e+200,309110958.359,3127579.65632,309486304.449,314521586.85,303623800.909,303760197.689,314030442.3,19.0,9.78175450663e+12,0.0952380952381,1.443001443e-07,18,0.041,0.000177489177489,0.0454545454545
203.0,-203.0,-360.0,-203.0,300.0,-203.0,-1e+200,270558874.59,1730949.68097,270335509.718,273649941.187,268708861.949,268719986.156,273471693.512,12.0,2.99618679807e+12,0.0952380952381,1.443001443e-07,19,0.15,0.000649350649351,0.0454545454545
