iteration,accepted,npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,mean_NPV,std_NPV,med_NPV
0.0,first,1193.0,-1170.0,-3863.75,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8292.0,2343418476.88,5865214.57194,2346128556.74
1.0,accepted,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,4910.22266335,2373382918.9,1341158.21349,2373507946.91
2.0,rejected,1193.0,-803.019843407,-2831.48379239,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,6205.76018348,2184869265.97,6685753.1668,2187920280.05
3.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,4910.22266335,2374946610.97,4413101.24579,2377106855.24
4.0,rejected,1193.0,-1175.0,-3688.48676983,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2513.0,2348469237.01,1706153.34852,2348806510.93
5.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,4910.22266335,2372321903.92,1092113.57012,2372095617.85
6.0,rejected,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,20529.4618424,2372335122.65,3064908.17861,2373386029.67
7.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,4910.22266335,2380239189.65,1781188.39049,2380790259.21
8.0,accepted,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,14211.9972371,2379946127.27,2204191.60207,2379092683.85
9.0,rejected,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,32469.6082334,2366571971.86,3630161.41831,2365314909.84
10.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,14211.9972371,2373097032.71,4952263.76791,2370431618.3
11.0,rejected,1193.0,-1094.90253091,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,27118.6173557,2328456600.07,831730.57364,2328689202.38
12.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,14211.9972371,2377585582.85,5857701.9507,2377672879.58
13.0,rejected,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8812.52833547,2372958687.25,3433316.52383,2373189114.67
14.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,14211.9972371,2377048564.73,4171509.32426,2378847633.9
15.0,accepted,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,19271.6952544,2377227091.15,5068533.73448,2379176476.23
16.0,rejected,1193.0,-1169.15792252,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,19289.821397,2375501467.24,4213619.54002,2375396563.34
17.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,19271.6952544,2369238529.37,5118683.28988,2367396796.88
18.0,rejected,1193.0,-1150.55564613,-2900.89502931,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,19589.2185332,2357975770.27,9395990.83897,2362877059.6
19.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,19271.6952544,2378071818.09,6887483.08979,2381414630.28
20.0,rejected,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,20597.2815433,2373381772.01,2359482.28138,2374534863.08
21.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,19271.6952544,2374270027.67,6569224.4125,2376959065.89
22.0,rejected,1193.0,-1166.83882602,-2651.94137696,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,20169.0723771,2365355960.87,244601.528558,2365452174.29
23.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,19271.6952544,2372527388.15,4404454.31109,2372415537.4
