SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-TES_capacity,PointProbability,ProbabilityWeight-Charger_capacity,ProbabilityWeight-NewBOP_capacity,prefix,ProbabilityWeight
203.0,-203.0,-400.0,-203.0,300.0,-203.0,-1e+200,266805437.278,1763625.23633,266525794.865,271288374.32,265095456.435,265102490.285,269613399.728,14.0,3.11037397423e+12,0.15,1.443001443e-07,0.0454545454545,0.047619047619,1,0.000324675324675
203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,279355575.651,2095093.91579,279289949.534,282761269.488,275372885.138,275855433.776,282033667.666,20.0,4.38941851598e+12,0.25,1.443001443e-07,0.0454545454545,0.047619047619,2,0.000541125541126
203.0,-203.0,-400.0,-203.0,800.0,-203.0,-1e+200,282345353.255,2448806.74931,283011105.146,286294436.771,277914622.772,278406714.791,286248268.453,19.0,5.99665449545e+12,0.15,1.443001443e-07,0.0454545454545,0.047619047619,3,0.000324675324675
203.0,-203.0,-400.0,-203.0,900.0,-203.0,-1e+200,283908150.702,2456846.05852,283498709.908,288910710.582,278053330.477,280305819.56,287638329.029,20.0,6.03609255525e+12,0.1,1.443001443e-07,0.0454545454545,0.047619047619,4,0.00021645021645
203.0,-203.0,-400.0,-203.0,1000.0,-203.0,-1e+200,284157893.49,2667770.59863,283838287.932,288434405.767,278848144.889,279656051.097,288302690.564,17.0,7.1169999669e+12,0.1,1.443001443e-07,0.0454545454545,0.047619047619,5,0.00021645021645
203.0,-203.0,-400.0,-203.0,1100.0,-203.0,-1e+200,285823962.441,2841382.93399,285083945.552,290983513.283,280407379.231,281976308.948,290747239.476,19.0,8.0734569776e+12,0.1,1.443001443e-07,0.0454545454545,0.047619047619,6,0.00021645021645
203.0,-203.0,-400.0,-203.0,1200.0,-203.0,-1e+200,287423600.498,2434750.8844,286897547.499,291784586.923,282505122.808,284069847.498,290614802.795,16.0,5.92801186906e+12,0.059,1.443001443e-07,0.0454545454545,0.047619047619,7,0.000127705627706
203.0,-203.0,-400.0,-203.0,1218.0,-203.0,-1e+200,287218442.939,2342435.92365,286760075.145,291625077.71,282397130.084,283402313.125,289904832.645,20.0,5.4870060564e+12,0.05,1.443001443e-07,0.0454545454545,0.047619047619,8,0.000108225108225
203.0,-203.0,-380.0,-203.0,300.0,-203.0,-1e+200,266208410.688,2968743.08325,266123062.9,270735101.189,258993487.981,261682207.816,269500444.686,18.0,8.81343549436e+12,0.15,1.443001443e-07,0.0454545454545,0.0952380952381,10,0.000649350649351
203.0,-203.0,-400.0,-203.0,1300.0,-203.0,-1e+200,288060714.014,2631782.59282,287693917.58,294787052.809,284475955.071,284991544.102,293272190.146,19.0,6.92627961585e+12,0.041,1.443001443e-07,0.0454545454545,0.047619047619,9,8.87445887446e-05
203.0,-203.0,-380.0,-203.0,600.0,-203.0,-1e+200,276082193.347,1468195.78196,276416079.456,278370797.377,272422192.398,273539478.809,277897151.677,20.0,2.15559885415e+12,0.25,1.443001443e-07,0.0454545454545,0.0952380952381,11,0.00108225108225
