scaling,Year,filename
1,2018,2018_Braidwood.csv
1,2019,2019_Braidwood.csv
1,2020,2020_Braidwood.csv
1,2021,2021_Braidwood.csv
1,2022,2018_Braidwood.csv
1,2023,2019_Braidwood.csv
1,2024,2020_Braidwood.csv
1,2025,2021_Braidwood.csv
1,2026,2018_Braidwood.csv
1,2027,2019_Braidwood.csv
1,2028,2020_Braidwood.csv
1,2029,2021_Braidwood.csv
1,2030,2018_Braidwood.csv
1,2031,2019_Braidwood.csv
1,2032,2020_Braidwood.csv
1,2033,2021_Braidwood.csv
1,2034,2018_Braidwood.csv
1,2035,2019_Braidwood.csv
1,2036,2020_Braidwood.csv
1,2037,2021_Braidwood.csv
1,2038,2018_Braidwood.csv
1,2039,2019_Braidwood.csv
1,2040,2020_Braidwood.csv
1,2041,2021_Braidwood.csv
1,2042,2018_Braidwood.csv
1,2043,2019_Braidwood.csv
1,2044,2020_Braidwood.csv
1,2045,2021_Braidwood.csv
1,2046,2018_Braidwood.csv
1,2047,2019_Braidwood.csv
1,2048,2020_Braidwood.csv
1,2049,2021_Braidwood.csv
