npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,2998892843,193066.2429,2998960036,2999040387,2998610912,2998659119,2999032496,4,37274574145,10,0.315634218,3.76E-13,0.250012501,0.019328735,0.244938821
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,2997989475,215627.2317,2997961611,2998265099,2997769580,2997786010,2998231950,4,46495103056,7,0.315634218,3.76E-13,0.475023751,0.036724596,0.244938821
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,2997752593,26899.14423,2997752221,2997780535,2997725394,2997726714,2997778992,4,723563960.3,4,0.315634218,3.76E-13,0.249987499,0.019326802,0.244938821
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,2997735054,482.7701577,2997734987,2997735650,2997734590,2997734613,2997735587,4,233067.0251,1,0.315634218,3.76E-13,0.024976249,0.001930941,0.244938821
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,2309090182,3386406.546,2309182998,2313120680,2304874051,2305456283,2312594138,4,1.15E+13,19,0.315634218,3.76E-13,0.475023751,0.074966875,0.5
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,2299305140,4134898.436,2299546929,2304112926,2294013776,2294817361,2303454414,4,1.71E+13,22,0.315634218,3.76E-13,0.250012501,0.03945625,0.5
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,2239637981,1830732.605,2239368316,2242086974,2237728318,2237919725,2241733769,4,3.35E+12,16,0.315634218,3.76E-13,0.249987499,0.039452304,0.5
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,2188587169,5973919.219,2186348422,2197192707,2184459126,2184483947,2195824638,4,3.57E+13,13,0.315634218,3.76E-13,0.024976249,0.003941679,0.5
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,2089657617,9747514.992,2087703651,2102779547,2080443617,2081054462,2100996323,4,9.50E+13,33,0.184365782,3.76E-13,0.475023751,0.02233778,0.255061179
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,2081254147,10285069.29,2078285700,2095191796,2073253391,2073325330,2093338789,4,1.06E+14,36,0.184365782,3.76E-13,0.250012501,0.011756726,0.255061179
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,2076820994,4237798.421,2075275784,2082900464,2073831946,2073858575,2081946709,4,1.80E+13,30,0.184365782,3.76E-13,0.249987499,0.011755551,0.255061179
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,2057949559,7358342.313,2058705126,2065521444,2048866539,2049850987,2064990337,4,5.41E+13,27,0.184365782,3.76E-13,0.024976249,0.001174497,0.255061179
