npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability,prefix,ProbabilityWeight-ft_capacity
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,221519402.882,666.103797795,221519596.425,221519948.223,221518470.456,221518607.647,221519927.158,4.0,443694.269436,0.0249762488124,0.00193094060277,0.315634218289,3.76215239928e-13,1,0.244938821026
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,221535838.09,21434.7104007,221528581.739,221566425.932,221519762.949,221520143.003,221561692.068,4.0,459446809.961,0.249987499375,0.019326801889,0.315634218289,3.76215239928e-13,4,0.244938821026
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,221727670.695,334627.78632,221784459.697,222072319.526,221269443.861,221343844.98,222031991.808,4.0,111975755377.0,0.475023751188,0.0367245960488,0.315634218289,3.76215239928e-13,7,0.244938821026
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,222005290.18,745823.646368,222155021.877,222681940.822,221029176.144,221149071.071,222651884.913,4.0,556252911481.0,0.250012500625,0.0193287347625,0.315634218289,3.76215239928e-13,10,0.244938821026
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,312323958.814,3456045.29893,312096142.176,316440142.053,308663408.853,308932155.277,316034705.645,4.0,1.19442491083e+13,0.0249762488124,0.00394167938485,0.315634218289,3.76215239928e-13,13,0.5
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,362355634.173,3580193.60065,361159432.719,367579560.333,359524110.918,359712821.766,366673128.614,4.0,1.28177862181e+13,0.249987499375,0.0394523044736,0.315634218289,3.76215239928e-13,16,0.5
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,433726113.994,3559397.40016,433803112.447,437859314.27,429438916.814,429924748.904,437419681.252,4.0,1.26693098523e+13,0.475023751188,0.0749668751874,0.315634218289,3.76215239928e-13,19,0.5
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,424508051.997,5923710.92371,424944113.14,430125654.998,418018326.708,418464583.068,429941035.325,4.0,3.50903511076e+13,0.250012500625,0.0394562500986,0.315634218289,3.76215239928e-13,22,0.5
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,424025137.404,3691492.06882,424081535.33,428487562.134,419449916.821,420126565.537,427844752.173,4.0,1.36271136941e+13,0.0249762488124,0.00201073878208,0.315634218289,3.76215239928e-13,25,0.255061178974
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,866524293.355,9473732.21763,869409925.684,874421660.33,852855661.721,855143191.807,873865509.641,4.0,8.97516021314e+13,0.0249762488124,0.00318523573423,0.5,3.76215239928e-13,26,0.255061178974
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,1117823359.14,7279437.77714,1116940155.75,1126519057.73,1110894067.33,1111184516.29,1125698686.74,4.0,5.29902143513e+13,0.0249762488124,0.00117449695215,0.184365781711,3.76215239928e-13,27,0.255061178974
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,467764594.451,9254301.87677,467514465.317,477550943.129,458478504.039,458916583.015,476962786.673,4.0,8.56421032264e+13,0.249987499375,0.0201255025846,0.315634218289,3.76215239928e-13,28,0.255061178974
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,1140565729.42,9525584.04179,1137685438.28,1154298833.7,1132593207.41,1133159780.93,1152004085.5,4.0,9.07367513372e+13,0.249987499375,0.0117555505751,0.184365781711,3.76215239928e-13,30,0.255061178974
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,908346142.445,7509397.82943,907913711.866,917903970.667,899653175.379,900746847.963,916550839.735,4.0,5.63910557606e+13,0.249987499375,0.0318810531597,0.5,3.76215239928e-13,29,0.255061178974
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,544992575.806,13315741.0084,550980714.909,552861403.73,525147469.677,528798344.068,552803412.801,4.0,1.77308958603e+14,0.475023751188,0.0382422791387,0.315634218289,3.76215239928e-13,31,0.255061178974
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,933151199.685,10037102.2604,931358169.212,946482410.393,923406049.924,924088964.598,944723677.435,4.0,1.00743421786e+14,0.475023751188,0.0605800590094,0.5,3.76215239928e-13,32,0.255061178974
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,519522378.034,615543.021566,519707271.943,520022690.379,518652277.871,518784347.494,520001557.101,4.0,378893211399.0,0.250012500625,0.0201275153361,0.315634218289,3.76215239928e-13,34,0.255061178974
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,929572620.27,6494911.76654,927940638.253,938218955.704,924190248.869,924309153.683,937120861.68,4.0,4.21838788552e+13,0.250012500625,0.0318842415839,0.5,3.76215239928e-13,35,0.255061178974
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,1156267235.41,4555459.51788,1156768455.88,1160957918.14,1150574111.73,1151215904.13,1160616858.03,4.0,2.0752211419e+13,0.475023751188,0.0223377798707,0.184365781711,3.76215239928e-13,33,0.255061178974
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,1141664061.0,13255420.8339,1136837735.44,1160906482.51,1132074290.6,1132335107.21,1157749870.56,4.0,1.75706181483e+14,0.250012500625,0.0117567262477,0.184365781711,3.76215239928e-13,36,0.255061178974
