iteration,accepted,npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,mean_NPV,std_NPV,med_NPV
0.0,first,1193.0,-1170.0,-3863.75,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8292.0,2572322631.39,3991659.67714,2570621242.72
1.0,accepted,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,4777.81017647,2599467970.24,4353238.06746,2601506184.12
2.0,rejected,1193.0,-1175.0,-8860.13235232,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2513.0,2498342577.55,3178457.4369,2496801441.32
3.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,4777.81017647,2596673601.79,3310149.34429,2597191365.18
4.0,rejected,1193.0,-1138.08356517,-2886.0121269,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2513.0,2566944913.61,6782334.38911,2566421343.57
5.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,4777.81017647,2597518626.48,3990429.85783,2597778712.7
6.0,rejected,1193.0,-1175.0,-5670.12636371,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,6133.99061458,2550889095.9,6010371.13935,2548010317.56
7.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,4777.81017647,2595440882.33,1920710.93764,2595009590.96
8.0,rejected,1193.0,-1065.90423321,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3499.11306644,2523520373.11,6354233.0859,2522405193.41
9.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,4777.81017647,2596375190.71,4994887.76342,2593948616.94
10.0,rejected,1193.0,-1107.63614746,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3609.43976209,2556289602.11,1920076.83502,2557104876.74
