turbine_capacity,htse_ft_capacity,ft_elec_consumption_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,scenario_label,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-turbine_capacity,ProbabilityWeight-htse_ft_capacity
1000.0,-985.1,-14.9,-1e+200,-1e+200,-1e+200,low,braidwood,3421173409.85,0.0,3421173409.85,3421173409.85,3421173409.85,3421173409.85,3421173409.85,500.0,0.0,0.135734072022,3,1.108033241e-06,0.368421052632,0.368421052632
300.0,-285.1,-14.9,-1e+200,-1e+200,-1e+200,low,braidwood,470750392.406,1.19328677953e-07,470750392.406,470750392.406,470750392.406,470750392.406,470750392.406,500.0,1.4239333382e-14,0.25,5,1.108033241e-06,0.5,0.5
50.0,-35.1,-14.9,-1e+200,-1e+200,-1e+200,low,braidwood,-583131503.81,0.0,-583131503.81,-583131503.81,-583131503.81,-583131503.81,-583131503.81,500.0,0.0,0.0173130193906,7,0.0,0.131578947368,0.131578947368
