iteration,accepted,turbine_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,h2_export_capacity,elec_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,mean_NPV
0.0,first,1000.0,-58.755,-1470.0,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,2500.0,2917685720.51
1.0,accepted,1000.0,-356.191835376,-1527.29192894,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,0.0,3094172456.82
2.0,accepted,1000.0,-428.786465234,-5513.37072818,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,14812.9738326,3341517586.04
3.0,rejected,1000.0,-505.237946422,-2139.14540207,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,0.0,3192370178.03
4.0,rerun,1000.0,-428.786465234,-5513.37072818,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,14812.9738326,3337280871.37
5.0,rejected,1000.0,-484.981894462,-5677.94452027,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,2980.68733974,3261513259.5
6.0,rerun,1000.0,-428.786465234,-5513.37072818,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,14812.9738326,3339428291.72
7.0,accepted,1000.0,-490.415268038,-8742.8223025,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,11322.4633583,3375717264.15
8.0,rejected,1000.0,-369.206893382,-5642.10103129,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,3647.17876763,3208372864.0
9.0,rerun,1000.0,-490.415268038,-8742.8223025,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,11322.4633583,3382637668.11
10.0,rejected,1000.0,-445.082524075,-6491.33802419,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,5439.93316818,3300176959.3
11.0,rerun,1000.0,-490.415268038,-8742.8223025,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,11322.4633583,3385451881.24
12.0,accepted,1000.0,-544.789022976,-6692.26293737,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,12668.4130694,3444201629.52
13.0,rejected,1000.0,-501.148984385,-6121.46233979,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,7580.28670949,3367933183.87
14.0,rerun,1000.0,-544.789022976,-6692.26293737,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,12668.4130694,3437345287.01
15.0,accepted,1000.0,-600.577292209,-7164.82411685,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,14952.8817221,3504858387.46
16.0,accepted,1000.0,-642.537640639,-6553.78498772,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,15828.6813693,3525144280.41
17.0,rejected,1000.0,-568.441474096,-7010.63327565,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,17541.6536744,3482249934.21
18.0,rerun,1000.0,-642.537640639,-6553.78498772,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,15828.6813693,3521310067.21
