turbine_capacity,htse_ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,scenario_label,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-turbine_capacity,prefix
1193.0,-1000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,4261163085.5,2715298.369,4260311827.43,4265085794.92,4258478304.3,4258627414.93,4264611764.61,5.0,7.37284523272e+12,0.5,0.000838222967309,0.5,1
2386.0,-1000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,6130113246.04,14708518.7024,6132716226.99,6150743547.03,6112959969.06,6114231758.91,6147560351.38,5.0,2.1634052242e+14,0.5,0.000838222967309,0.5,2
