turbine_capacity,elec_market_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-turbine_capacity
894.0,-1e+200,1769188440.02,7495423.46284,1770011723.83,1782974981.15,1752412199.31,1757699889.85,1780462209.85,50.0,5.61813728873e+13,0.5,0.00111856823266,1,0.5
1788.0,-1e+200,3534318864.42,14885617.6078,3531632280.01,3570192751.76,3508478781.3,3514129438.46,3562231807.81,50.0,2.21581611567e+14,0.5,0.00111856823266,2,0.5
