turbine_capacity,htse_ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,scenario_label,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-turbine_capacity
1000.0,-100.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,3943999060.51,10118657.0623,3946177715.7,3958111987.83,3922602615.04,3926287869.77,3958109791.12,20.0,1.02387220744e+14,0.001,0.5,1,0.5
2000.0,-100.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,7847975564.78,29280947.1176,7848222176.74,7908470062.52,7789128654.52,7796250567.45,7894689053.41,20.0,8.57373864106e+14,0.001,0.5,2,0.5
