turbine_capacity,htse_ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,scenario_label,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-turbine_capacity,prefix,ProbabilityWeight,PointProbability
1193.0,-400.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,2381684175.29,6425937.00814,2383896640.4,2385683476.64,2370268198.09,2372980730.85,2385495121.19,5.0,4.12926664326e+13,0.5,1,0.5,0.000838222967309
2386.0,-400.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,4264366311.04,16034539.4296,4260644287.19,4281890006.83,4248046160.57,4248602397.44,4281596756.6,5.0,2.57106454718e+14,0.5,2,0.5,0.000838222967309
