npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,3591087912,1074.587578,3591087850,3591089226,3591086722,3591086832,3591089079,4,1154738.462,0.315634218,1,0.024976249,0.244938821,0.001930941,3.76E-13
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,3591026276,14336.80586,3591030948,3591037851,3591005358,3591009069,3591036943,4,205544002.2,0.315634218,4,0.249987499,0.244938821,0.019326802,3.76E-13
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,3590774558,111918.8575,3590819392,3590850068,3590609379,3590638345,3590848002,4,12525830659,0.315634218,7,0.475023751,0.244938821,0.036724596,3.76E-13
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,3590259177,345007.2639,3590376939,3590514870,3589767960,3589843333,3590510154,4,1.1903E+11,0.315634218,10,0.250012501,0.244938821,0.019328735,3.76E-13
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,2751852946,1979837.354,2751939536,2753640353,2749892358,2749969353,2753615312,4,3.92E+12,0.315634218,19,0.475023751,0.5,0.074966875,3.76E-13
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,2743569696,1363489.772,2743754381,2744947338,2741822685,2742033127,2744847707,4,1.86E+12,0.315634218,22,0.250012501,0.5,0.03945625,3.76E-13
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,2677963284,4376977.312,2677539627,2682666706,2674107176,2674146245,2682373443,4,1.92E+13,0.315634218,16,0.249987499,0.5,0.039452304,3.76E-13
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,2633217086,3743753.786,2632719501,2637687879,2629741464,2629861529,2637269263,4,1.40E+13,0.315634218,13,0.024976249,0.5,0.003941679,3.76E-13
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,2335030983,5674827.094,2335368223,2341538164,2327849321,2328810668,2340779161,4,3.22E+13,0.184365782,36,0.250012501,0.255061179,0.011756726,3.76E-13
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,2328710253,8060372.551,2328333005,2338883970,2319291031,2320483082,2337465571,4,6.50E+13,0.184365782,30,0.249987499,0.255061179,0.011755551,3.76E-13
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,2328331650,6632221.075,2326849079,2337498543,2322129899,2322598965,2336139934,4,4.40E+13,0.184365782,33,0.475023751,0.255061179,0.02233778,3.76E-13
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,2304396715,7568890.536,2306952324,2310316976,2293365235,2295251102,2309964474,4,5.73E+13,0.184365782,27,0.024976249,0.255061179,0.001174497,3.76E-13
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,2129354067,9913068.498,2128108871,2142605657,2118592868,2119962396,2140489011,4,9.83E+13,0.5,35,0.250012501,0.255061179,0.031884242,3.76E-13
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,2127614198,2400248.198,2127478223,2130515845,2124984503,2125211908,2130206855,4,5.76E+12,0.5,32,0.475023751,0.255061179,0.060580059,3.76E-13
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,2096162961,6319737.223,2096455696,2103525684,2088214770,2089291371,2102624723,4,3.99E+13,0.5,29,0.249987499,0.255061179,0.031881053,3.76E-13
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,2060825860,4596410.095,2059224183,2067541559,2057313515,2057504477,2066389591,4,2.11E+13,0.5,26,0.024976249,0.255061179,0.003185236,3.76E-13
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,1762909681,14101474.5,1760259819,1782400019,1748719066,1750330914,1779198254,4,1.99E+14,0.315634218,31,0.475023751,0.255061179,0.038242279,3.76E-13
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,1748702714,10668917.55,1751232195,1757666989,1734679479,1736399953,1757464203,4,1.14E+14,0.315634218,34,0.250012501,0.255061179,0.020127515,3.76E-13
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,1707138831,2270337.473,1707207445,1709844818,1704295615,1704709239,1709472363,4,5.15E+12,0.315634218,28,0.249987499,0.255061179,0.020125503,3.76E-13
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,1654701175,6278302.836,1653501159,1663234971,1648567410,1649072149,1662010223,4,3.94E+13,0.315634218,25,0.024976249,0.255061179,0.002010739,3.76E-13
