npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-ft_capacity
522.0,-507.0,-12741.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,35000.0,ref,prairie_island,minnesota,covid,1177078719.72,45333.174797,1177087754.28,1177118966.7,1177020403.63,1177027183.37,1177117607.7,4.0,2055096737.17,0.052021435833,0.5,4,0.315724815725,3.43224971717e-12,0.329536566289
522.0,-250.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,prairie_island,minnesota,covid,523417135.737,314729.890005,523349762.768,523829235.289,523139782.125,523149714.821,523778878.811,4.0,99054903662.7,0.0624910701529,0.249964280612,11,0.5,3.43224971717e-12,0.5
522.0,-507.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,prairie_island,minnesota,covid,251352004.368,144596.145613,251328975.124,251543872.912,251206194.312,251218256.908,251517992.77,4.0,20908045326.1,0.0394599632169,0.249964280612,10,0.315724815725,3.43224971717e-12,0.5
522.0,-507.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,35000.0,ref,prairie_island,minnesota,covid,268330426.712,599943.231899,268233094.957,269148637.004,267706879.929,267780435.117,269016682.764,4.0,359931881502.0,0.0789312039312,0.5,13,0.315724815725,3.43224971717e-12,0.5
522.0,-507.0,-12741.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,70000.0,ref,prairie_island,minnesota,covid,1167372480.17,63043.339712,1167387075.05,1167431228.54,1167284542.03,1167298045.85,1167426481.66,4.0,3974462682.04,0.0260144342643,0.250035719388,7,0.315724815725,3.43224971717e-12,0.329536566289
522.0,-250.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,35000.0,ref,prairie_island,minnesota,covid,515659552.523,148676.287174,515641343.076,515857379.997,515498143.943,515517343.251,515827255.021,4.0,22104638367.8,0.125,0.5,14,0.5,3.43224971717e-12,0.5
522.0,-507.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,70000.0,ref,prairie_island,minnesota,covid,257573124.08,205500.413593,257599248.044,257795959.361,257298040.871,257343216.442,257766458.169,4.0,42230419987.0,0.0394712407143,0.250035719388,16,0.315724815725,3.43224971717e-12,0.5
522.0,-250.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,70000.0,ref,prairie_island,minnesota,covid,505931584.978,328816.411863,505986317.931,506260024.819,505493679.23,505553057.107,506233486.714,4.0,108120232710.0,0.0625089298471,0.250035719388,17,0.5,3.43224971717e-12,0.5
522.0,-507.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,prairie_island,minnesota,covid,-221979211.692,354713.614712,-221968376.89,-221654611.718,-222325481.272,-222313262.686,-221660329.422,4.0,125821748462.0,0.0134529616482,0.249964280612,19,0.315724815725,3.43224971717e-12,0.170463433711
522.0,-250.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,prairie_island,minnesota,covid,49812976.562,441305.880956,49824136.6956,50341687.6851,49261945.1719,49343213.5696,50267115.3674,4.0,194750880567.0,0.0213048847891,0.249964280612,20,0.5,3.43224971717e-12,0.170463433711
