iteration,accepted,RX_capacity,RXcondturb_capacity,RXBPturb_capacity,RXHX_capacity,RX_storage_capacity,import_rate1_capacity,import_rate2_capacity,import_steam_capacity,mean_NPV,std_NPV,med_NPV,mean_TotalActivity__RX__production__RXheat,mean_TotalActivity__RXcondturb__production__RXheat,mean_TotalActivity__RXcondturb__production__electricity,mean_TotalActivity__RXBPturb__production__RXheat,mean_TotalActivity__RXBPturb__production__electricity,mean_TotalActivity__RXBPturb__production__steam,mean_TotalActivity__RXHX__production__RXheat,mean_TotalActivity__RXHX__production__steam,mean_TotalActivity__RX_storage__level__RXheat,mean_TotalActivity__RX_storage__charge__RXheat,mean_TotalActivity__RX_storage__discharge__RXheat,mean_TotalActivity__steamdemand__production__steam,mean_TotalActivity__electricitydemand__production__electricity,mean_TotalActivity__import_rate1__production__electricity,mean_TotalActivity__import_rate2__production__electricity,mean_TotalActivity__import_steam__production__steam,std_TotalActivity__RX__production__RXheat,std_TotalActivity__RXcondturb__production__RXheat,std_TotalActivity__RXcondturb__production__electricity,std_TotalActivity__RXBPturb__production__RXheat,std_TotalActivity__RXBPturb__production__electricity,std_TotalActivity__RXBPturb__production__steam,std_TotalActivity__RXHX__production__RXheat,std_TotalActivity__RXHX__production__steam,std_TotalActivity__RX_storage__level__RXheat,std_TotalActivity__RX_storage__charge__RXheat,std_TotalActivity__RX_storage__discharge__RXheat,std_TotalActivity__steamdemand__production__steam,std_TotalActivity__electricitydemand__production__electricity,std_TotalActivity__import_rate1__production__electricity,std_TotalActivity__import_rate2__production__electricity,std_TotalActivity__import_steam__production__steam,med_TotalActivity__RX__production__RXheat,med_TotalActivity__RXcondturb__production__RXheat,med_TotalActivity__RXcondturb__production__electricity,med_TotalActivity__RXBPturb__production__RXheat,med_TotalActivity__RXBPturb__production__electricity,med_TotalActivity__RXBPturb__production__steam,med_TotalActivity__RXHX__production__RXheat,med_TotalActivity__RXHX__production__steam,med_TotalActivity__RX_storage__level__RXheat,med_TotalActivity__RX_storage__charge__RXheat,med_TotalActivity__RX_storage__discharge__RXheat,med_TotalActivity__steamdemand__production__steam,med_TotalActivity__electricitydemand__production__electricity,med_TotalActivity__import_rate1__production__electricity,med_TotalActivity__import_rate2__production__electricity,med_TotalActivity__import_steam__production__steam
0.0,first,174.144298812,1000.0,1000.0,1000.0,226.266128724,10.0,1000.0,100.0,817330960.676,5101961.10349,815904756.567,4538374.57135,-365063.462961,137738.444575,-1975199.84756,362646.692013,595720.274025,-1769573.33503,824656.565592,96918.6699741,-42855324.1539,42426786.2281,-1420376.83936,-500956.661473,571.52513998,-0.000254876904679,-0.000260037277477,9.6401045007e-10,10368.3178034,3911.96630722,42514.6921205,7805.69747333,12822.4311436,34247.7940706,15960.1569928,64320.1378722,1711070.01626,1693998.89069,8110.803496,5153.75071713,893.254593447,7.65817649947e-07,7.6616846631e-08,4538374.57135,-366153.609639,138149.756917,-1980364.5409,363594.929709,597277.945535,-1774371.06253,826892.402562,73526.4129151,-43154531.2493,42722984.4314,-1419016.03336,-498426.314044,-8.64988829501e-05,-0.000254847670559,-0.000260034728336
0.0,rejected,150.097924136,1000.0,1000.0,1000.0,194.277125194,10.0,1000.0,100.0,826114152.151,18941350.8903,836545223.578,3911702.0009,-66741.9226018,25181.7273977,-2049222.57665,376237.265073,618045.529118,-1722822.70224,802869.835696,1059996.58511,-7364780.19175,7291865.39234,-1420915.36455,-499859.003467,96529.0847827,1910.92621353,-0.000259961706367,4.82005225035e-10,15877.8025531,5990.69490329,72004.4624645,13220.0193085,21716.5458793,36287.7290427,16910.8074885,187917.959984,2866808.54797,2837969.16033,9090.45168461,6020.13188261,8903.99150743,2073.37055255,2.52767011632e-08,3911702.0009,-66719.3679946,25173.2175443,-2035681.05287,373751.041307,613961.405546,-1728845.71731,805676.681182,1017204.78001,-7383504.02362,7309553.73955,-1425299.35443,-499813.110154,96593.6292148,808.483944105,-0.000259953256506
0.0,rejected,187.464931467,1000.0,1000.0,1000.0,116.738196686,10.0,1000.0,100.0,792741603.711,6099149.40351,794233616.218,4885523.57896,-631164.704581,238138.443039,-1430738.76638,262683.637507,431510.81194,-2125966.87082,990743.081142,9393.32811816,-69765409.142,69067755.9048,-1422253.89282,-500822.080188,-0.000103258811919,-0.000254321238925,-0.000259981135824,9.6401045007e-10,36131.2557118,13632.3227801,86218.9505787,15829.7993262,26003.6354945,58293.9905734,27166.165487,7574.171187,2016845.05549,1996680.00289,7398.72069015,4534.06782647,2.03113382463e-05,8.15370595672e-07,8.15483362264e-08,4885523.57896,-627009.723688,236570.768747,-1430875.42407,262708.72786,431552.0279,-2122773.04531,989254.694576,7172.15099224,-70738494.4973,70031109.5523,-1423890.93708,-499060.396008,-9.73145822472e-05,-0.000254079416392,-0.000259956936798
0.0,accepted,166.965380958,1000.0,1000.0,1000.0,61.8535818056,10.0,1000.0,100.0,834034852.272,7132735.51986,833551470.501,4351284.79314,-232772.431937,87825.0385697,-2209259.97081,405620.130641,666312.807197,-1631065.70138,760109.238155,224607.945134,-27853072.2488,27574885.5598,-1426422.04509,-501309.011255,7863.84229809,-0.000254385274197,-0.000259991652631,1.92802090014e-09,11048.2682128,4168.5115967,58627.7877375,10764.0618286,17682.1407816,40206.4856771,18737.0264552,42925.5160936,2185380.29386,2163856.215,8410.78162807,6302.80810296,3005.1118948,5.40796069588e-07,5.38023472601e-08,4351284.79314,-228988.876969,86397.5032805,-2204423.85032,404732.218918,664854.233256,-1623200.92086,756444.093137,236809.695407,-28278437.8367,27996068.0658,-1427379.01994,-499329.707703,8396.45696425,-0.000254042211426,-0.000259956532362
1.0,rejected,174.144298812,1000.0,1000.0,1000.0,226.266128724,10.0,1000.0,100.0,817330960.676,5101961.10349,815904756.567,4538374.57135,-365063.462961,137738.444575,-1975199.84756,362646.692013,595720.274025,-1769573.33503,824656.565592,96918.6699741,-42855324.1539,42426786.2281,-1420376.83936,-500956.661473,571.52513998,-0.000254876904679,-0.000260037277477,9.6401045007e-10,10368.3178034,3911.96630722,42514.6921205,7805.69747333,12822.4311436,34247.7940706,15960.1569928,64320.1378722,1711070.01626,1693998.89069,8110.803496,5153.75071713,893.254593447,7.65817649947e-07,7.6616846631e-08,4538374.57135,-366153.609639,138149.756917,-1980364.5409,363594.929709,597277.945535,-1774371.06253,826892.402562,73526.4129151,-43154531.2493,42722984.4314,-1419016.03336,-498426.314044,-8.64988829501e-05,-0.000254847670559,-0.000260034728336
2.0,rejected,158.506420784,1000.0,1000.0,1000.0,5.0,10.0,1000.0,100.0,771298154.981,24378294.2095,769736998.676,4130835.83205,-185310.314567,69917.5816863,-1932535.45238,354813.509058,582852.692439,-1797778.63307,837800.798581,25607.7932544,-21525748.7476,21310537.3156,-1421214.28997,-501200.549267,72280.2754578,4189.18306529,560.798946473,4.82005225035e-10,11970.361238,4516.41729511,34826.3635147,6394.12034131,10503.631236,15292.2289752,7126.48454702,2233.66253243,2706044.44613,2678951.33125,12376.1582165,5140.90595621,3062.43353537,1220.32536186,402.687830734,4130835.83205,-183579.746122,69264.6382117,-1940307.28235,356240.417039,585196.676357,-1800575.3015,839104.102004,25940.1508097,-21238523.1336,21025988.7743,-1424100.86808,-499379.051611,71032.554818,4310.53765447,747.044811447
3.0,rejected,165.768660187,1000.0,1000.0,1000.0,83.3167004281,10.0,1000.0,100.0,833968530.364,5393803.87882,833064519.114,4320097.05313,-219037.794315,82642.9597952,-2222772.89207,408101.102985,670388.30425,-1618899.5853,754439.584743,291502.61121,-25963359.9144,25703973.1329,-1424827.88873,-499941.634116,9159.6594905,37.9118452074,-0.000259997160645,0.0,9808.91210251,3700.90253628,47822.7027518,8780.24822523,14423.3271499,28431.1242111,13249.4725049,52871.5490838,1735933.11402,1718451.66512,5277.0705837,4932.69079226,2975.77785175,127.363983498,5.2218198249e-08,4320097.05313,-220086.925776,83038.7970952,-2231005.53584,409612.616381,672871.26961,-1617559.07377,753814.879558,282254.79137,-26167648.3992,25905527.416,-1424412.41077,-498565.424556,8855.76896836,-0.000254035416725,-0.000259956471414
4.0,rejected,167.37640341,1000.0,1000.0,1000.0,300.0,10.0,1000.0,100.0,829919241.823,5627440.5064,829609645.965,4361996.44927,-236344.831166,89172.9047988,-2223127.6048,408166.228241,670495.285607,-1612956.26355,751669.877939,452569.972947,-28952894.706,28663326.9563,-1422165.16329,-500552.653578,3213.5207928,-0.000254818849151,-0.000260033703416,9.6401045007e-10,9652.71742893,3641.97028594,39360.8333775,7226.6490081,11871.2273466,29615.5356043,13801.4319023,161042.415911,2040819.85428,2020215.66937,9243.29413798,5030.54215983,2945.36942446,9.3736082083e-07,9.3953293936e-08,4361996.44927,-234869.172136,88616.1386468,-2225770.90684,408651.538496,671292.505503,-1622659.94505,756191.987593,450822.669655,-29249049.8167,28958382.6076,-1422379.05266,-499590.404856,2437.29087717,-0.000254650160442,-0.000260017337156
5.0,rejected,179.142357676,1000.0,1000.0,1000.0,5.0,10.0,1000.0,100.0,798314837.547,16477960.5831,804712892.15,4668628.98339,-510607.032979,192652.033543,-1648864.24981,302731.476265,497297.457742,-1971003.25846,918526.938505,4597.79701271,-53814748.7052,53276594.263,-1415869.16005,-499225.298602,3429.62162419,412.167170365,44.7638017841,9.6401045007e-10,55183.1289271,20820.5945442,116831.203989,21450.2090524,35236.2911232,90785.1055314,42307.6748798,1165.17301775,5964531.97288,5904891.92871,27090.8328975,5136.37523483,1291.35413757,301.040413434,32.0932291486,4668628.98339,-519044.953915,195835.661112,-1639639.55134,301037.821627,494515.288685,-1967485.71351,916887.692208,4390.47398677,-52063878.7822,51543239.9944,-1426149.38858,-498224.163816,3186.00042396,337.214742476,73.3745341007
6.0,rejected,170.683572073,1000.0,1000.0,1000.0,5.0,10.0,1000.0,100.0,803716974.613,9235682.65635,804173636.766,4448184.57179,-321997.300997,121489.581666,-1995412.11876,366357.665004,601816.295018,-1752586.88021,816740.537916,15305.2435485,-37823665.7958,37445477.524,-1418751.55163,-501293.140188,12573.2691835,872.624333606,194.718700201,1.92802090014e-09,11081.4448757,4181.0291516,43633.079277,8011.03335525,13159.7367099,25245.4272385,11764.8740017,1964.33737415,1721941.60571,1704679.37171,6659.40202191,4852.90349728,1880.10858243,330.306168063,149.257526186,4448184.57179,-319272.451344,120461.495892,-1999534.27781,367114.493405,603059.538187,-1755125.13147,817923.413767,14858.4298449,-38034698.5963,37654323.4791,-1419010.46218,-499530.301102,12237.3609072,989.666736038,329.602146448
